f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.35213688,0.73264813,5.2967596e-07,0.43584332,0.7040595,-0.038539518,0.5050328,0.6361635,-0.05983735,0.5582659,0.5757768,-0.07924501,0.59547013,0.51834935,-0.099076785,0.4702779,0.46990016,-0.043255292,0.50238097,0.35915327,-0.07490167,0.5242064,0.29034638,-0.10024794,0.5441803,0.2284961,-0.11924278,0.42381665,0.44661027,-0.049117234,0.4402464,0.30808693,-0.07770611,0.45505363,0.21876922,-0.103309415,0.46722624,0.14220086,-0.12300546,0.37668726,0.4561051,-0.059771527,0.38324797,0.3310809,-0.0897285,0.39203104,0.24092539,-0.116085246,0.40176865,0.15951931,-0.13514048,0.33046764,0.48998186,-0.07377602,0.3071706,0.3986981,-0.106466524,0.29209876,0.32983586,-0.12686154,0.2805889,0.26139402,-0.14058694,0.0,Hello
0.3530113,0.7319057,5.337906e-07,0.4358411,0.7019318,-0.037496734,0.5038424,0.6357087,-0.05958953,0.5575512,0.57711315,-0.0801116,0.5963439,0.5199819,-0.10101857,0.46948716,0.4666129,-0.042784516,0.50209427,0.35472274,-0.07441531,0.52429914,0.2856998,-0.09985641,0.54445475,0.22298118,-0.11892001,0.42248437,0.44307306,-0.049388357,0.43845403,0.30268466,-0.07754818,0.45342526,0.2140981,-0.10250512,0.46512198,0.13727045,-0.12180217,0.3750043,0.45176944,-0.06075597,0.38096184,0.32391432,-0.090528764,0.38988265,0.23345345,-0.116140984,0.39866933,0.15234062,-0.13458383,0.3283789,0.4847097,-0.07538846,0.30305204,0.3887515,-0.107618876,0.2876953,0.3189646,-0.12723677,0.27570042,0.25078195,-0.14035705,0.0,Hello
0.35379598,0.73162556,5.4225603e-07,0.43650824,0.7023247,-0.03785599,0.50465333,0.6358619,-0.05988688,0.5579693,0.5766697,-0.080107994,0.5972966,0.52066267,-0.10068705,0.46946132,0.46699172,-0.043261632,0.50237054,0.35474643,-0.07469084,0.52460474,0.28570482,-0.09992909,0.5444072,0.22284299,-0.11878614,0.42259634,0.44371876,-0.04960068,0.4393691,0.30187374,-0.077624775,0.45457318,0.21316335,-0.10249572,0.46599925,0.13634232,-0.121649235,0.3751378,0.45240912,-0.06062635,0.38166484,0.32398403,-0.09031742,0.39062315,0.23318082,-0.11586631,0.39908198,0.15204722,-0.13415149,0.32816944,0.4849509,-0.07489316,0.30276912,0.38815063,-0.106891416,0.28755713,0.3184987,-0.12618084,0.2757033,0.2505155,-0.13902266,0.0,Hello
0.35367256,0.733269,5.2260276e-07,0.43629885,0.70464355,-0.037299205,0.5049387,0.6368457,-0.058786172,0.5589268,0.5779499,-0.07857817,0.597833,0.5243312,-0.098849714,0.47018966,0.46981955,-0.04330651,0.50298095,0.357805,-0.07479998,0.5251024,0.28824365,-0.1000778,0.5446382,0.22487664,-0.119067326,0.42371023,0.4462615,-0.049809273,0.44079584,0.30438215,-0.07831686,0.45543972,0.21544892,-0.103354245,0.4661202,0.1382851,-0.12258261,0.3765738,0.45477954,-0.06088463,0.3835256,0.32497674,-0.0908155,0.39228782,0.23458526,-0.11631658,0.40021363,0.15410638,-0.13454033,0.32969612,0.48684427,-0.07518615,0.30457085,0.38911566,-0.10742813,0.28957185,0.31867343,-0.12700488,0.2779587,0.25000298,-0.14006485,0.0,Hello
0.35425684,0.7342309,5.179103e-07,0.437315,0.7058274,-0.036923572,0.50540024,0.637796,-0.058138445,0.55918926,0.5782777,-0.077709794,0.59888303,0.524661,-0.09777321,0.47102663,0.4706433,-0.0430041,0.50330365,0.35816008,-0.07434996,0.5256067,0.28918648,-0.099465184,0.54558766,0.22632992,-0.11830856,0.42434093,0.44748613,-0.049634382,0.440608,0.30515945,-0.07772535,0.4556791,0.21640453,-0.10241492,0.4669943,0.13966474,-0.12141694,0.37730247,0.45661968,-0.060826164,0.383993,0.32709956,-0.09058491,0.39260346,0.23623073,-0.11606641,0.40058553,0.15526986,-0.13428342,0.33082217,0.48958296,-0.07519161,0.30590376,0.39259246,-0.107366994,0.29088748,0.32249105,-0.1268592,0.2791702,0.25436312,-0.13984124,0.0,Hello
0.3533901,0.7337877,5.210574e-07,0.43697426,0.7050955,-0.036986962,0.50588924,0.6378579,-0.058360506,0.55959886,0.578571,-0.07806891,0.5991284,0.52470416,-0.098187506,0.47173303,0.4707228,-0.043427557,0.50390613,0.35862273,-0.07537205,0.52645516,0.28985417,-0.10080554,0.54700035,0.22718167,-0.119708255,0.4247942,0.44726208,-0.05005176,0.44068325,0.30590984,-0.07850909,0.45553076,0.2169353,-0.10311312,0.46702662,0.1399441,-0.12199656,0.37738743,0.4560844,-0.06130092,0.383704,0.32785136,-0.09113413,0.39240542,0.2372266,-0.116198376,0.40108484,0.15600592,-0.13410366,0.33041567,0.48887262,-0.07577878,0.30581886,0.39283755,-0.107677884,0.29098934,0.32300997,-0.1267684,0.27966365,0.2547301,-0.1394469,0.0,Hello
0.3535724,0.7337192,5.16254e-07,0.43702304,0.70592767,-0.03704003,0.5053015,0.6381669,-0.05820566,0.55928373,0.5785869,-0.07766791,0.5993602,0.5255049,-0.09758767,0.47134465,0.47019887,-0.043871105,0.5036998,0.35832188,-0.07552791,0.52558005,0.28943974,-0.1005808,0.5454827,0.22697172,-0.11936076,0.42438185,0.44656277,-0.05041069,0.44058076,0.30626893,-0.078981295,0.45538828,0.2174848,-0.103563406,0.46723685,0.1407471,-0.12248465,0.37696883,0.4556216,-0.06153956,0.38315082,0.3284182,-0.09144641,0.3922951,0.23826256,-0.11678073,0.40192217,0.15702653,-0.13501501,0.3302185,0.48893568,-0.07589453,0.30590463,0.3942489,-0.108147815,0.2909421,0.32472903,-0.12779541,0.2797929,0.2560502,-0.14095938,0.0,Hello
0.35240412,0.7327279,5.205378e-07,0.43651116,0.70468557,-0.03705557,0.50494003,0.63731754,-0.05829185,0.558628,0.5776284,-0.07778398,0.5992848,0.52424127,-0.09772836,0.4711781,0.4695577,-0.044132352,0.5035638,0.35695833,-0.07576004,0.52530843,0.28777587,-0.10061672,0.54512185,0.225339,-0.11917886,0.42392266,0.4460726,-0.05052177,0.43983677,0.30579507,-0.07902484,0.454583,0.21696988,-0.10344209,0.46646237,0.14065188,-0.12212557,0.37644738,0.4553304,-0.0614538,0.38220924,0.3281487,-0.091313176,0.3914164,0.23812011,-0.11646842,0.4014023,0.15692666,-0.13449875,0.32996228,0.48890015,-0.07558458,0.30523187,0.39501548,-0.10796756,0.28989506,0.32611054,-0.1274894,0.27842402,0.25789392,-0.14039648,0.0,Hello
0.35212213,0.7320497,5.270906e-07,0.4360084,0.7041178,-0.03734992,0.5047002,0.63569844,-0.058531385,0.5586731,0.57584333,-0.077984124,0.5990411,0.5223243,-0.097896196,0.4705151,0.4681608,-0.04418507,0.50312495,0.355415,-0.07568344,0.5244106,0.28574735,-0.10054359,0.54335684,0.22268271,-0.119190775,0.42307124,0.44470182,-0.050503533,0.4401464,0.30523115,-0.07901498,0.45484257,0.21585849,-0.10367184,0.4662502,0.13853699,-0.122647084,0.37520403,0.4535486,-0.06142174,0.3813959,0.32654047,-0.09125267,0.39075464,0.23661515,-0.11661678,0.4004588,0.1556195,-0.13487227,0.32830578,0.4864788,-0.075597234,0.3039598,0.39195538,-0.107929714,0.2888152,0.32300118,-0.12764628,0.2775076,0.25483236,-0.14080387,0.0,Hello
0.3527267,0.7309964,5.273137e-07,0.4363489,0.7030383,-0.037351284,0.5047425,0.6349808,-0.05853838,0.55835146,0.5747062,-0.07791757,0.5987646,0.5214915,-0.09779031,0.46989137,0.46727952,-0.044109493,0.50316447,0.35579297,-0.07560162,0.5251539,0.2863019,-0.100571774,0.5443783,0.2233544,-0.1193516,0.42268556,0.44346678,-0.050525557,0.43933168,0.30207753,-0.07892088,0.45398495,0.21321562,-0.10350242,0.46502435,0.13653448,-0.122378334,0.37518993,0.45253175,-0.061496723,0.3813806,0.32504314,-0.091492824,0.39042842,0.2346968,-0.11695008,0.39943007,0.15364957,-0.13520151,0.32852373,0.48579055,-0.07566469,0.3034891,0.39095637,-0.10809942,0.28816652,0.32171786,-0.12775695,0.27654648,0.25371528,-0.14085844,0.0,Hello
0.35337314,0.7322273,5.2567674e-07,0.4369444,0.70396245,-0.0372171,0.5052294,0.6360518,-0.058422748,0.55915385,0.57742405,-0.07797578,0.59820855,0.5243219,-0.09801544,0.47056824,0.4672832,-0.04336689,0.5025807,0.35485637,-0.07497989,0.5248337,0.28556797,-0.100267805,0.54488266,0.22257552,-0.11934028,0.42322135,0.44391558,-0.050069127,0.43892348,0.3022692,-0.078719355,0.45368117,0.21319866,-0.103719145,0.46495926,0.13644955,-0.12296979,0.37539414,0.45328614,-0.061439328,0.38147572,0.32375598,-0.09191538,0.39030838,0.2328763,-0.117925115,0.39891395,0.15165189,-0.13650407,0.32837877,0.48696324,-0.07601052,0.30336863,0.3907662,-0.10908194,0.28806984,0.32028556,-0.12939483,0.27648073,0.25107944,-0.14299333,0.0,Hello
0.35329297,0.7342193,5.188115e-07,0.436595,0.706652,-0.037068672,0.504919,0.63803756,-0.057937905,0.5588846,0.5786543,-0.07714737,0.59857154,0.5273667,-0.09684168,0.47091463,0.4696638,-0.042750344,0.5030719,0.35707247,-0.0738619,0.5256783,0.28796715,-0.09894068,0.54599226,0.22487035,-0.11790579,0.42406648,0.44614145,-0.04931235,0.4400429,0.30410025,-0.077297255,0.45499235,0.21537566,-0.101953566,0.46628597,0.13857126,-0.12101781,0.3767741,0.45502475,-0.060511164,0.38329923,0.32508606,-0.090398856,0.39187026,0.23415259,-0.116200164,0.39981204,0.15301439,-0.13464871,0.32976174,0.48787692,-0.07492222,0.3046804,0.39027154,-0.10731883,0.28946847,0.31986827,-0.12721863,0.2777888,0.25127757,-0.14055976,0.0,Hello
