f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.844693,0.6387995,-2.9248932e-07,0.77771205,0.60074407,-0.0038905567,0.72112745,0.5535184,-0.018926175,0.67611146,0.52977484,-0.039140742,0.6365251,0.50374293,-0.058083728,0.76240826,0.42312637,0.00021604815,0.72617614,0.34459922,-0.034340806,0.6801523,0.3414586,-0.06300459,0.6441059,0.35680073,-0.079213455,0.78425664,0.41928965,-0.016579006,0.7381453,0.3257341,-0.049811687,0.68294203,0.33074793,-0.07142135,0.6477766,0.35780767,-0.08229209,0.803285,0.4320685,-0.037509177,0.7600965,0.341232,-0.064084716,0.7039602,0.34422144,-0.07529461,0.6667893,0.36806118,-0.078799315,0.81696427,0.46024737,-0.05959981,0.7772718,0.3966413,-0.07798353,0.7357192,0.38399068,-0.0842415,0.7032408,0.38696027,-0.08597596,1.0,No
0.844721,0.63402164,-2.8186918e-07,0.77879965,0.5969756,-0.0037720879,0.7226112,0.54957247,-0.018531227,0.6779624,0.5258271,-0.038346805,0.6379538,0.5001822,-0.056776747,0.76276654,0.4213474,0.000417188,0.7290568,0.3412727,-0.033717074,0.6840491,0.3388248,-0.06141472,0.64908934,0.3548217,-0.07682611,0.7849071,0.41698363,-0.015999721,0.7413634,0.3216706,-0.04858938,0.6881332,0.32756752,-0.06901279,0.6547124,0.35493332,-0.07882757,0.80432576,0.42904574,-0.03655968,0.7632803,0.3373356,-0.062457725,0.709224,0.34055644,-0.07280198,0.6733923,0.36378634,-0.07561585,0.8187058,0.45654467,-0.0582522,0.77993536,0.3941393,-0.0759016,0.7396419,0.38058567,-0.08187069,0.7079514,0.3813289,-0.08337054,1.0,No
0.8437999,0.6348102,-2.7890613e-07,0.7786314,0.59720343,-0.003948079,0.72319955,0.5501234,-0.018632088,0.67853504,0.5259379,-0.038509306,0.63874525,0.49962175,-0.057035323,0.76190144,0.4230134,0.0016882251,0.7288095,0.34249115,-0.032256115,0.6838533,0.33922118,-0.060061533,0.64909697,0.3551992,-0.075523406,0.7836166,0.41820008,-0.014695552,0.7413318,0.32270128,-0.04645363,0.6883602,0.32736647,-0.06682752,0.6546447,0.35375345,-0.07689684,0.80304766,0.42959255,-0.035357498,0.76342857,0.3372459,-0.060697917,0.7095364,0.34004298,-0.070987724,0.673623,0.36302322,-0.07407514,0.8177122,0.4561031,-0.057231627,0.7796004,0.39343932,-0.07442713,0.73958,0.38073015,-0.08008972,0.7081393,0.3823949,-0.08156906,1.0,No
0.8444657,0.6345013,-2.9663747e-07,0.7780117,0.5968842,-0.0034051351,0.7214093,0.5494311,-0.017835088,0.6764537,0.5255531,-0.03754639,0.63704747,0.49851876,-0.055886485,0.763999,0.42110267,0.001617423,0.729027,0.34233165,-0.03224132,0.6831869,0.33976933,-0.06020619,0.6467985,0.35548013,-0.075979136,0.7852544,0.41702276,-0.015138918,0.74000394,0.3226698,-0.04769868,0.6854732,0.32776862,-0.068893574,0.6503874,0.35419187,-0.079485774,0.80394673,0.4287849,-0.0360379,0.76139516,0.33760968,-0.062143844,0.70556253,0.34059864,-0.073328555,0.6682224,0.36404175,-0.076777995,0.8173708,0.45531023,-0.05805565,0.7777333,0.39117914,-0.076065294,0.7357565,0.37835902,-0.082524166,0.702588,0.3808787,-0.084425755,1.0,No
0.8431112,0.63354164,-2.8977993e-07,0.7767921,0.59653413,-0.004305892,0.72140354,0.5493219,-0.01902834,0.6765861,0.5253132,-0.0389123,0.63677543,0.49833745,-0.057348594,0.7619016,0.42064884,0.001393028,0.7277021,0.34160632,-0.0330265,0.6816065,0.33842874,-0.06144617,0.64516217,0.35433072,-0.07737486,0.7829184,0.41668594,-0.014908853,0.7387378,0.32230523,-0.04750382,0.68409956,0.326554,-0.06892511,0.6487327,0.3518052,-0.07973307,0.8016101,0.4279582,-0.035498727,0.7604159,0.33627957,-0.0618221,0.7044358,0.3384077,-0.07321939,0.6665591,0.3609993,-0.07679996,0.8151247,0.45400017,-0.057297304,0.77606744,0.3898552,-0.07548401,0.7341747,0.37630785,-0.08204647,0.7007709,0.3778986,-0.08398783,1.0,No
0.8421555,0.6345706,-2.8769068e-07,0.7758191,0.59708995,-0.004274456,0.719533,0.5501268,-0.019521216,0.67427045,0.5264,-0.039862603,0.6347086,0.49968964,-0.058780406,0.76134914,0.42003936,0.0002573303,0.72547776,0.34065932,-0.034800727,0.67909926,0.33833444,-0.0638092,0.64231503,0.3548587,-0.08009179,0.782466,0.4161037,-0.01627116,0.73687136,0.32155055,-0.049787767,0.68179995,0.3265239,-0.07186436,0.6464021,0.35325918,-0.08296786,0.80125326,0.42804024,-0.036996093,0.7588921,0.3369078,-0.06355581,0.7021092,0.33925304,-0.07540681,0.6639201,0.3624164,-0.079288036,0.8147319,0.45511577,-0.05889969,0.77544856,0.39136934,-0.077065684,0.7335847,0.37760335,-0.0838695,0.700472,0.3790939,-0.086008154,1.0,No
0.8428993,0.6349656,-2.9111249e-07,0.77622277,0.5980718,-0.0040105074,0.71988714,0.5501703,-0.019403365,0.67457837,0.52629894,-0.039852448,0.6338027,0.50210035,-0.059183877,0.75995094,0.42092416,-0.0009878915,0.72149175,0.34288228,-0.03610846,0.67538226,0.33964342,-0.06508707,0.63944566,0.35492238,-0.08140252,0.7822762,0.41617033,-0.017771589,0.73463356,0.32238996,-0.051603254,0.6797064,0.32780692,-0.07345808,0.64458287,0.35482034,-0.08436751,0.80182076,0.4286556,-0.03857413,0.758241,0.33690852,-0.0654456,0.70268065,0.34063107,-0.076557405,0.66557646,0.36415413,-0.07997336,0.815726,0.45702732,-0.060477998,0.7759209,0.39448667,-0.079041205,0.73494995,0.3809613,-0.08536684,0.70257187,0.38113326,-0.08716932,1.0,No
0.8436603,0.6371055,-2.9129703e-07,0.7771159,0.5997816,-0.0033527883,0.7207243,0.5513507,-0.018231533,0.6759737,0.52831143,-0.03829213,0.63487786,0.5053906,-0.057392474,0.7601992,0.42302936,-0.0010561844,0.72157556,0.34451288,-0.03658477,0.674911,0.34114385,-0.065668985,0.63878417,0.35656717,-0.08189855,0.78212553,0.41818506,-0.018421832,0.73573637,0.32276398,-0.052811828,0.6802991,0.3287744,-0.07464937,0.6449108,0.35710192,-0.085167065,0.8011935,0.43043676,-0.039781384,0.75794697,0.33780998,-0.06695349,0.7019756,0.3410627,-0.07829602,0.6646702,0.36448947,-0.08164381,0.8145459,0.45877028,-0.062188398,0.77427024,0.3959216,-0.08059489,0.7335507,0.3815502,-0.086800754,0.7017296,0.38096434,-0.088446125,1.0,No
0.84229505,0.63548046,-2.7952524e-07,0.77577966,0.59799767,-0.005448456,0.7191828,0.5524645,-0.021540353,0.6731254,0.52973706,-0.042493246,0.6328831,0.5034398,-0.062124312,0.759539,0.42090806,-0.0017069172,0.7211412,0.342611,-0.03691934,0.6746647,0.33959883,-0.066042155,0.6376321,0.35411036,-0.082499035,0.78109175,0.41644546,-0.017676946,0.7331593,0.3223054,-0.052049156,0.67743313,0.32740965,-0.074409254,0.64121157,0.3540845,-0.085558586,0.8002623,0.42811498,-0.037759185,0.75623405,0.33709145,-0.06491987,0.6996642,0.33994704,-0.07660131,0.6615954,0.3633617,-0.080207035,0.81404436,0.45503068,-0.05906864,0.7735112,0.39215106,-0.077524126,0.7317632,0.3785424,-0.084021725,0.6988769,0.3795412,-0.08583246,1.0,No
0.84309906,0.6352174,-2.8008708e-07,0.7758992,0.5980011,-0.0048411437,0.71912414,0.55110604,-0.020460133,0.67311853,0.52829397,-0.04117382,0.631953,0.5044022,-0.06073479,0.75804406,0.42121264,-0.00029936014,0.7191735,0.34345818,-0.03526127,0.6731932,0.33971584,-0.06443885,0.6370819,0.35365358,-0.081033505,0.7801229,0.41629705,-0.016819151,0.7328016,0.32251155,-0.050870843,0.677723,0.3276012,-0.073262066,0.6422785,0.3542142,-0.08454478,0.7998475,0.4281467,-0.037524797,0.75640047,0.33567396,-0.06478737,0.70008284,0.33938277,-0.07643162,0.66266775,0.3635191,-0.080036335,0.81402946,0.45574737,-0.05943231,0.77377254,0.39185908,-0.07819493,0.7319359,0.37879246,-0.08467291,0.69933325,0.38064298,-0.0865079,1.0,No
