f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.38303682,0.70899713,3.8366917e-07,0.3619351,0.6309302,-0.009727754,0.3606118,0.561454,-0.021244472,0.37876093,0.52006334,-0.03115287,0.40437722,0.52058583,-0.041566238,0.44200003,0.5469731,-0.029189745,0.4973566,0.49157605,-0.043900695,0.5305437,0.46265802,-0.05263853,0.55772734,0.44241446,-0.057237953,0.47038007,0.581848,-0.032303166,0.5290948,0.51350194,-0.042880032,0.5638786,0.47397238,-0.048310574,0.59124607,0.4450693,-0.051606305,0.48925212,0.61775964,-0.035231818,0.538241,0.5546519,-0.043013968,0.57093173,0.5160897,-0.047885932,0.5950787,0.4892279,-0.050770603,0.49949536,0.65263385,-0.038705878,0.5381351,0.6048637,-0.04480657,0.5617251,0.5747758,-0.045400187,0.58175075,0.55148166,-0.04436899,0.0,Thanks
0.38323814,0.7104063,3.7182073e-07,0.36004195,0.63157314,-0.009358909,0.3601639,0.5611774,-0.019359412,0.38149667,0.5202161,-0.027568223,0.40829834,0.5219854,-0.0363684,0.44164422,0.54858786,-0.027567897,0.4977064,0.49357525,-0.040863674,0.53130865,0.46499988,-0.048783902,0.55871665,0.44505113,-0.05302278,0.47045115,0.5831384,-0.029833827,0.5286903,0.51515263,-0.038892526,0.56309533,0.47591975,-0.043530945,0.5902138,0.4477459,-0.046492487,0.48930958,0.6189397,-0.031877074,0.537645,0.5560285,-0.038519718,0.56996703,0.5174568,-0.0431386,0.59388435,0.49092525,-0.046077233,0.49907297,0.65353125,-0.034437917,0.5369511,0.6056496,-0.040298138,0.5602875,0.5748938,-0.041290615,0.58003676,0.5511643,-0.04064229,0.0,Thanks
0.3834216,0.7106845,3.779244e-07,0.3607546,0.63159126,-0.010156287,0.36090744,0.55970496,-0.020347036,0.38209105,0.51883787,-0.028550155,0.40967533,0.5224751,-0.037242536,0.44100046,0.5479266,-0.02833383,0.49742356,0.49323142,-0.041300986,0.53088987,0.4646753,-0.048768807,0.5579056,0.4446357,-0.052721273,0.4698824,0.58246136,-0.030197334,0.528558,0.515348,-0.038948216,0.5630992,0.47706556,-0.04312233,0.5903449,0.44986877,-0.045784015,0.48889282,0.61810654,-0.031912897,0.5375575,0.5553985,-0.03842429,0.5699228,0.51777285,-0.042898245,0.59403896,0.4920351,-0.04575698,0.49882403,0.6522463,-0.03420238,0.53674334,0.6043021,-0.040033422,0.5600926,0.5738204,-0.04105035,0.5799298,0.55054015,-0.04046174,0.0,Thanks
0.38322648,0.71119195,3.8731636e-07,0.36093822,0.63190925,-0.010132459,0.3603159,0.56153893,-0.02092269,0.38014203,0.51949763,-0.029850448,0.40771505,0.5195899,-0.039282843,0.4420071,0.5482191,-0.028209485,0.49768382,0.49273467,-0.04194994,0.53116786,0.46370977,-0.05013907,0.5583411,0.44338906,-0.05452468,0.47074986,0.5825301,-0.030456066,0.52930903,0.5144234,-0.0395047,0.5637591,0.47558278,-0.043993052,0.590881,0.44778192,-0.04681237,0.48940322,0.6185656,-0.03260932,0.5378802,0.5542257,-0.03916024,0.56981844,0.5155567,-0.04342679,0.59361386,0.48883283,-0.046164773,0.49916542,0.6536933,-0.03537644,0.536714,0.6053382,-0.041224904,0.5595467,0.574578,-0.04198568,0.5791592,0.55070966,-0.04111715,0.0,Thanks
0.3813641,0.71287215,3.5896974e-07,0.35983238,0.63387465,-0.0073874835,0.36009777,0.56226116,-0.016514203,0.38136768,0.5214209,-0.024274077,0.40836436,0.5263033,-0.032635547,0.44223824,0.5492005,-0.024275323,0.4969913,0.49367782,-0.036531497,0.52994716,0.46491128,-0.043842793,0.5570747,0.44460464,-0.04794707,0.4709315,0.5825902,-0.027543526,0.52875113,0.5141749,-0.036094666,0.56297445,0.475601,-0.040177505,0.59025633,0.44797772,-0.042688258,0.4895024,0.61834395,-0.030574942,0.53783536,0.5547045,-0.03656927,0.56995636,0.5169819,-0.040680397,0.59400433,0.490709,-0.043309595,0.4984758,0.6540796,-0.034044053,0.5361255,0.605744,-0.039160524,0.5589517,0.5752454,-0.039726585,0.57856053,0.5517809,-0.038880777,0.0,Thanks
0.38272446,0.7123189,3.722083e-07,0.35995004,0.6322408,-0.009341916,0.36012614,0.5616396,-0.019293087,0.38056433,0.52086806,-0.027647158,0.40664476,0.5237579,-0.03652867,0.44233662,0.54897517,-0.025811007,0.49812847,0.49451834,-0.03914766,0.5312389,0.4650943,-0.047359608,0.5581381,0.4443233,-0.051839955,0.4710353,0.58300716,-0.028240053,0.5296146,0.5158137,-0.037360046,0.5639256,0.47660172,-0.04185405,0.59088564,0.4483235,-0.044680748,0.48973292,0.61854404,-0.030702852,0.5386819,0.556074,-0.0373528,0.57073903,0.51805216,-0.041669875,0.594308,0.49168855,-0.044312634,0.4993539,0.6532362,-0.03379523,0.53805643,0.6060412,-0.03938817,0.56151074,0.5755818,-0.04007514,0.5811691,0.55185896,-0.039245803,0.0,Thanks
0.3827684,0.71213776,3.7456675e-07,0.36025742,0.63163126,-0.010046509,0.3608732,0.5603651,-0.020182809,0.38300636,0.5207889,-0.028623989,0.41078424,0.5263943,-0.03767367,0.44177872,0.5502876,-0.026362155,0.49687636,0.4948474,-0.03961243,0.5299228,0.46546662,-0.047767747,0.5571695,0.4445592,-0.052373238,0.47052604,0.58443487,-0.028634451,0.5283675,0.51629686,-0.037812855,0.56278026,0.47689128,-0.042729937,0.5901723,0.44831598,-0.045932207,0.48910892,0.6199384,-0.03094591,0.5371548,0.55671185,-0.038001098,0.5694327,0.51839024,-0.043072682,0.59347504,0.49144185,-0.046271518,0.49871936,0.65443456,-0.033896092,0.5365391,0.6065559,-0.04011183,0.5597878,0.5757386,-0.041454613,0.57968515,0.55156296,-0.04113586,0.0,Thanks
0.38148433,0.7118554,3.76302e-07,0.35929602,0.6326194,-0.009887733,0.35956895,0.5616176,-0.020614851,0.38151512,0.5196128,-0.029512625,0.40967277,0.5228326,-0.038970053,0.43995836,0.5503391,-0.028584069,0.4960101,0.49518025,-0.04273226,0.5293931,0.46668702,-0.05116722,0.55678916,0.4464507,-0.055747177,0.4682538,0.5846121,-0.03096091,0.52734846,0.5167748,-0.04101064,0.562176,0.47758198,-0.045958415,0.58958745,0.44882354,-0.049011365,0.48707393,0.62040746,-0.033190638,0.5362625,0.55744284,-0.040745664,0.5693782,0.51961064,-0.04549823,0.5940695,0.4931205,-0.048302412,0.49714983,0.65546,-0.03597247,0.5359516,0.60713893,-0.042281166,0.5597092,0.5766392,-0.04332428,0.580104,0.553102,-0.042653926,0.0,Thanks
0.38289,0.71130216,3.833054e-07,0.35983855,0.6316097,-0.010768189,0.3594672,0.5615953,-0.021684293,0.37982544,0.5197072,-0.030707838,0.40745515,0.5210804,-0.040231593,0.4403201,0.5491557,-0.027733576,0.49553257,0.4950332,-0.041518535,0.52893275,0.46649456,-0.049945597,0.55617076,0.44649917,-0.054552056,0.46951586,0.58326524,-0.029867893,0.5280207,0.51608044,-0.039169814,0.56259066,0.47708264,-0.044147395,0.5897656,0.44870347,-0.047339473,0.48865533,0.61910987,-0.032032903,0.5369324,0.5558658,-0.039075583,0.5693679,0.5170765,-0.043895055,0.59363663,0.49003148,-0.046947297,0.49872163,0.6539333,-0.034864184,0.5361432,0.6057257,-0.041030377,0.55912447,0.57496303,-0.041997526,0.5786424,0.55120236,-0.041314207,0.0,Thanks
0.3827967,0.7101934,3.9260186e-07,0.35986605,0.6320083,-0.010922265,0.3587195,0.5623688,-0.022451838,0.37914446,0.5195372,-0.031930402,0.40713596,0.5208225,-0.041921802,0.43939006,0.549388,-0.030183325,0.49581724,0.49368876,-0.0445826,0.52975845,0.46472067,-0.052938584,0.5573777,0.4444493,-0.057318605,0.4685048,0.5836654,-0.03205107,0.5279159,0.5151706,-0.041782647,0.5628653,0.47610423,-0.046250902,0.5904453,0.44820476,-0.048945602,0.48785818,0.6194312,-0.033789147,0.5366997,0.5543573,-0.040760316,0.56927305,0.515258,-0.044867914,0.5938555,0.48838294,-0.047394942,0.49819368,0.65413624,-0.036184337,0.53579104,0.6046056,-0.042145997,0.5588623,0.5736441,-0.042763207,0.5788558,0.5498579,-0.04175592,0.0,Thanks
0.3833683,0.70763755,3.8571977e-07,0.36059648,0.6298191,-0.009423049,0.35905218,0.5605909,-0.019594718,0.3796698,0.51952773,-0.028083883,0.40687612,0.5246863,-0.03712142,0.44039935,0.5465766,-0.026469871,0.49610382,0.49243492,-0.03962129,0.52962494,0.46371862,-0.047617678,0.5569831,0.44366443,-0.05196516,0.47014245,0.58036953,-0.028733222,0.52880466,0.5135541,-0.03731059,0.5634859,0.47495288,-0.0414897,0.59082997,0.44719943,-0.044115495,0.48972037,0.6161117,-0.030910337,0.5377611,0.5525787,-0.03687844,0.5698902,0.51419073,-0.04103122,0.59405917,0.4873854,-0.04373069,0.4995486,0.65117127,-0.033707783,0.5369845,0.60382015,-0.03871081,0.5596902,0.57376224,-0.039180532,0.5791708,0.55043,-0.038255803,0.0,Thanks
0.38315138,0.71081114,3.845763e-07,0.36165234,0.63170505,-0.010149165,0.3605151,0.5584999,-0.021052254,0.38262942,0.51923454,-0.03024787,0.4105689,0.5300093,-0.040085934,0.44112292,0.5483229,-0.02830647,0.4963155,0.492234,-0.041557267,0.52957976,0.46310744,-0.04940975,0.55659515,0.4426645,-0.053934176,0.47017777,0.582456,-0.030995142,0.52832353,0.5136945,-0.04010321,0.563061,0.47511107,-0.044655394,0.5902837,0.4476982,-0.047595408,0.48920134,0.6183702,-0.03360617,0.5375913,0.55417466,-0.04024332,0.5699039,0.51606536,-0.04515356,0.5939219,0.48969457,-0.048398886,0.49924713,0.65381694,-0.03686911,0.53625375,0.6047641,-0.043142926,0.55873454,0.57373214,-0.044606287,0.5780295,0.55010945,-0.044364844,0.0,Thanks
0.38392597,0.71199447,3.7193772e-07,0.36069435,0.6321697,-0.009627025,0.36028558,0.5605442,-0.019780815,0.3830088,0.5198081,-0.028096566,0.41178313,0.52551484,-0.036963534,0.44074056,0.54961544,-0.027314976,0.49627626,0.49378788,-0.04040067,0.5297696,0.46507716,-0.048212644,0.5572931,0.44509947,-0.052436188,0.4706749,0.5840427,-0.029482717,0.5287741,0.51504564,-0.038089786,0.5633336,0.4760133,-0.042332027,0.5906301,0.44826686,-0.045030657,0.49039686,0.6195574,-0.031488054,0.538138,0.5557425,-0.037604604,0.57051325,0.51743144,-0.041821085,0.5946665,0.49117392,-0.04454502,0.5004699,0.65364265,-0.03409699,0.5377,0.60500735,-0.03939541,0.56051594,0.5743352,-0.039943244,0.57989836,0.551129,-0.039042503,0.0,Thanks
0.38433623,0.7103251,3.7846635e-07,0.36104706,0.63072586,-0.010070654,0.3605895,0.56105167,-0.020394841,0.38021937,0.51978964,-0.028925013,0.40695474,0.5196564,-0.037900973,0.4426056,0.5472018,-0.02643278,0.49779323,0.49314076,-0.039525237,0.5308706,0.46441093,-0.0475158,0.5578271,0.444184,-0.051813114,0.47164705,0.5812232,-0.028599162,0.5294276,0.51468766,-0.03754483,0.56366694,0.4758312,-0.042295117,0.5908144,0.44788772,-0.045297667,0.49055552,0.61693555,-0.030765511,0.53856593,0.55479157,-0.037535556,0.5707095,0.5167858,-0.042252906,0.5947542,0.4903379,-0.04519306,0.5001791,0.65162605,-0.03354684,0.53792155,0.60493314,-0.03934793,0.56112653,0.57434994,-0.040212676,0.5807744,0.5503717,-0.039458636,0.0,Thanks
0.38430116,0.70983475,3.763604e-07,0.36128044,0.63156825,-0.0104106,0.36021566,0.5610968,-0.02103202,0.3811952,0.51904327,-0.029679244,0.40957636,0.5213313,-0.03873074,0.4423472,0.54725415,-0.02766289,0.4974099,0.49259096,-0.040746674,0.5304902,0.46405533,-0.048399836,0.55763364,0.44407025,-0.052471306,0.4716758,0.58179903,-0.029620875,0.5294585,0.51423526,-0.03845568,0.5635271,0.47594106,-0.042769305,0.59055334,0.44851688,-0.045431506,0.4905295,0.61770123,-0.031515364,0.53819287,0.5554218,-0.038126666,0.57007074,0.5177532,-0.04253088,0.5938067,0.49170485,-0.045247924,0.50000477,0.65230787,-0.034042504,0.53711224,0.6046795,-0.03967236,0.5598037,0.57466394,-0.040359024,0.57905066,0.5517077,-0.03944853,0.0,Thanks
0.38247803,0.7107941,3.7957733e-07,0.3607075,0.63081235,-0.009936908,0.36044934,0.55899596,-0.020961406,0.38235575,0.5176774,-0.03011768,0.4115452,0.5235207,-0.039884582,0.43961993,0.5488869,-0.02961067,0.49541125,0.49283564,-0.04370823,0.5289356,0.46393245,-0.05184672,0.556538,0.44354331,-0.05626408,0.46872085,0.5838666,-0.03216235,0.5273181,0.51504296,-0.041950166,0.56212443,0.47628748,-0.046582133,0.5897751,0.44831768,-0.0494636,0.4879654,0.61995375,-0.034469128,0.5364926,0.55627036,-0.041682214,0.56911844,0.5176558,-0.046060696,0.5935073,0.49084473,-0.048749626,0.49832305,0.654827,-0.037335858,0.5364364,0.6058984,-0.043597713,0.5597494,0.5750532,-0.044372037,0.579652,0.551423,-0.04350321,0.0,Thanks
0.38301957,0.708529,3.8320454e-07,0.36007848,0.62916964,-0.010180173,0.3598911,0.5588386,-0.02083538,0.3824859,0.5168928,-0.029503826,0.41150475,0.5218819,-0.03859712,0.4402506,0.54787076,-0.02768628,0.4967826,0.49195516,-0.040773574,0.53014684,0.46313006,-0.048219305,0.5571747,0.44353473,-0.052105762,0.46954316,0.5819265,-0.029284513,0.5284989,0.5134419,-0.037971724,0.56295884,0.47492558,-0.041777976,0.58973676,0.4479179,-0.044003714,0.48878875,0.61763006,-0.030767364,0.5372109,0.55394834,-0.0369809,0.5693761,0.5156481,-0.040952418,0.59333265,0.48950893,-0.043362375,0.49873114,0.65251017,-0.032860138,0.5362892,0.60407746,-0.03827821,0.5591044,0.57333535,-0.038918745,0.57859325,0.5498128,-0.03794687,0.0,Thanks
0.38237172,0.7081114,3.746738e-07,0.36033508,0.62797153,-0.009098596,0.36030814,0.55824786,-0.019390978,0.3804506,0.5168899,-0.02795552,0.4075973,0.51928675,-0.037187897,0.44024563,0.54797405,-0.028200673,0.49591815,0.49164975,-0.04174737,0.52930254,0.46286497,-0.049419,0.5566506,0.4425946,-0.053356934,0.46858692,0.5828962,-0.030834636,0.5274959,0.5140242,-0.04032239,0.5622506,0.4748999,-0.044677474,0.58993787,0.4468488,-0.04725191,0.48720494,0.619282,-0.03322721,0.53625494,0.55541444,-0.040334944,0.5690843,0.51691777,-0.04471646,0.59388626,0.49003556,-0.04728172,0.4967384,0.6542611,-0.036062475,0.5349429,0.6050501,-0.042079855,0.5585353,0.57408214,-0.042790245,0.57892823,0.5498741,-0.041873008,0.0,Thanks
0.38361192,0.707216,3.8610315e-07,0.36066413,0.6278414,-0.010613971,0.35973862,0.55880105,-0.021825695,0.38047832,0.51803416,-0.031110251,0.40898377,0.51960754,-0.040880352,0.44003224,0.5465099,-0.029292667,0.49642965,0.49137998,-0.04312586,0.5297559,0.4629202,-0.051118534,0.55688024,0.44295454,-0.055359297,0.46941927,0.58060765,-0.03133036,0.5283725,0.5124645,-0.040645216,0.5630105,0.47411466,-0.04519026,0.5902792,0.44660956,-0.048061907,0.48875117,0.61608285,-0.033248138,0.53717136,0.55202764,-0.040114086,0.56909084,0.5141576,-0.044612546,0.5928431,0.4879394,-0.047513116,0.499142,0.6504973,-0.035788592,0.5364231,0.6023149,-0.04189458,0.5589166,0.572074,-0.04282765,0.57812464,0.54866105,-0.04209952,0.0,Thanks
0.3836007,0.70826447,3.8391767e-07,0.361176,0.62871414,-0.010609745,0.3603752,0.5589667,-0.02196508,0.380946,0.5170872,-0.031438217,0.40992153,0.519179,-0.041407723,0.44085425,0.5463454,-0.028532067,0.49579325,0.49125925,-0.04234131,0.529039,0.46278065,-0.050339565,0.55634546,0.4427808,-0.054591853,0.4699379,0.58048874,-0.030811133,0.528146,0.5127812,-0.040462673,0.5625869,0.47405696,-0.045164015,0.58979297,0.44614252,-0.047985397,0.48897925,0.6163926,-0.033034626,0.5370373,0.5523995,-0.0402559,0.5692687,0.51390827,-0.044773288,0.59362274,0.4868337,-0.047529798,0.49879324,0.65117484,-0.03587355,0.535811,0.6025998,-0.04194521,0.55861515,0.5720176,-0.042671278,0.57834226,0.5482808,-0.041776866,0.0,Thanks
0.3820498,0.7058525,3.7185524e-07,0.35923526,0.6271828,-0.008802311,0.3595655,0.55701387,-0.018411234,0.3822969,0.5154881,-0.026218398,0.410408,0.5195539,-0.034519155,0.43885082,0.54412574,-0.02646596,0.49490982,0.4886322,-0.038655914,0.52822626,0.46052107,-0.04547856,0.55540127,0.44135642,-0.048990075,0.46897724,0.5785564,-0.028615909,0.5274535,0.5101442,-0.036720045,0.561954,0.47161672,-0.040402554,0.5887594,0.44409078,-0.042563405,0.48889655,0.6144981,-0.030449625,0.5368761,0.550565,-0.036232363,0.5691557,0.5123787,-0.0402938,0.59314096,0.48577297,-0.042830735,0.4990018,0.6493218,-0.032744758,0.5365131,0.6017321,-0.037513666,0.5596123,0.57150805,-0.037892126,0.5791114,0.54818434,-0.036848333,0.0,Thanks
0.3809669,0.7062067,3.9228888e-07,0.35949346,0.62533367,-0.010216569,0.35960957,0.5557075,-0.021287642,0.3795998,0.5168077,-0.03076394,0.40578178,0.5203258,-0.040777396,0.43922922,0.544708,-0.027928235,0.49437213,0.4895412,-0.041980393,0.52767193,0.46068692,-0.05041758,0.5550177,0.44051355,-0.05498038,0.4683893,0.57889056,-0.03082298,0.52679825,0.5112667,-0.04059736,0.5616828,0.4718093,-0.045864575,0.5889511,0.44327304,-0.049228195,0.4876521,0.6143301,-0.033685308,0.536221,0.55226207,-0.040822007,0.5687704,0.5144617,-0.045827225,0.5927684,0.48823252,-0.0489848,0.49787584,0.64875895,-0.037226275,0.5362,0.60236645,-0.042908013,0.55955374,0.5724215,-0.04363364,0.5789593,0.54926395,-0.04288665,0.0,Thanks
0.38104936,0.7055693,3.768137e-07,0.35880232,0.6265776,-0.009461048,0.35893014,0.5572189,-0.019683216,0.3785798,0.51697266,-0.028286558,0.40424395,0.51773727,-0.037428975,0.43965802,0.5427137,-0.027012438,0.49540493,0.4876531,-0.04025363,0.5287485,0.45920038,-0.048231345,0.55572766,0.43952078,-0.052489314,0.46853507,0.57647496,-0.02959504,0.52667826,0.5091126,-0.038532272,0.5612473,0.4702784,-0.043485697,0.5882951,0.44245285,-0.04671435,0.48781222,0.61189413,-0.032036114,0.5363505,0.5496338,-0.038647834,0.56866264,0.5119295,-0.043678235,0.5923643,0.48603824,-0.04700854,0.49805737,0.6464461,-0.035041053,0.5356519,0.6001458,-0.040815458,0.5587086,0.5700779,-0.04187973,0.5779609,0.5466871,-0.041353047,0.0,Thanks
0.38078922,0.7054774,3.7987172e-07,0.35847303,0.6262767,-0.010528522,0.35808596,0.5570555,-0.021723319,0.37794358,0.5162325,-0.03122654,0.4048289,0.51750463,-0.041257087,0.43915105,0.54328865,-0.02812886,0.49411243,0.48792452,-0.042395007,0.52724385,0.45951682,-0.051147595,0.55452484,0.43953627,-0.05592485,0.4680029,0.5776489,-0.030701187,0.5259696,0.50948656,-0.040583268,0.56028235,0.47032744,-0.045983516,0.5873157,0.44169402,-0.04945066,0.4871636,0.6133616,-0.033279352,0.5353993,0.5502204,-0.04070681,0.5678055,0.51209116,-0.04566032,0.59193903,0.48549494,-0.048720088,0.4973725,0.64788157,-0.036532484,0.5353766,0.5993357,-0.04264535,0.5586667,0.5689672,-0.043470275,0.5784625,0.5454572,-0.04269177,0.0,Thanks
