f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.7831703,0.47507858,-2.7858658e-07,0.71401614,0.50240207,-0.0501313,0.65831673,0.54469675,-0.09179145,0.6481008,0.59920937,-0.12612377,0.6918376,0.6147927,-0.1551132,0.6178218,0.36921814,-0.08739709,0.63332,0.53064877,-0.12669294,0.65535843,0.5611308,-0.1446344,0.6594803,0.5328424,-0.15657431,0.68598354,0.33882517,-0.08689462,0.7089539,0.5489699,-0.12436164,0.7136275,0.56220335,-0.12885302,0.7070702,0.5199422,-0.1301073,0.76018685,0.3401444,-0.08963502,0.77659756,0.54008067,-0.12038799,0.76844245,0.529366,-0.106290855,0.75600797,0.47078294,-0.09300025,0.8243512,0.359681,-0.09845643,0.8324499,0.5164689,-0.1218603,0.82373494,0.50953454,-0.11541423,0.8123674,0.4572682,-0.1051847,1.0,Yes
0.79370934,0.4754266,-2.8572612e-07,0.7277741,0.5013875,-0.052934553,0.6744307,0.5432892,-0.09665856,0.66244674,0.5947768,-0.13211271,0.69661355,0.6091879,-0.16162694,0.6307565,0.36147568,-0.09504588,0.6481235,0.5309652,-0.13788076,0.6703996,0.55942035,-0.15795903,0.67442226,0.52760506,-0.17115851,0.6988402,0.3305534,-0.09355674,0.72466093,0.549515,-0.13458107,0.72685415,0.56043756,-0.14053802,0.71850747,0.5142794,-0.14285418,0.7729009,0.3320384,-0.09515996,0.7915562,0.5387212,-0.12871332,0.7831795,0.52587855,-0.11293926,0.7709503,0.4650092,-0.09835173,0.8369571,0.35153934,-0.103205845,0.84532416,0.51139235,-0.13063517,0.83665305,0.50245917,-0.12465947,0.82524806,0.4461805,-0.11399093,1.0,Yes
0.794851,0.47679073,-3.074556e-07,0.72895014,0.50428885,-0.053319015,0.675064,0.546738,-0.096514314,0.6627444,0.5975154,-0.13151395,0.6978722,0.60933006,-0.1603752,0.6313271,0.3630051,-0.09351905,0.6460084,0.5281842,-0.13602921,0.66839063,0.5581597,-0.15537779,0.6731794,0.52745056,-0.16778259,0.6998815,0.331297,-0.09157099,0.7245958,0.5505774,-0.13321136,0.7268915,0.5634349,-0.13860059,0.71963245,0.5191946,-0.13961336,0.7738218,0.33286244,-0.09296375,0.791641,0.54008186,-0.127026,0.78330386,0.52670324,-0.11090771,0.7716497,0.46493936,-0.09525681,0.83739465,0.3524205,-0.100864135,0.84496737,0.51290333,-0.12839334,0.8367017,0.50422305,-0.12229372,0.8261749,0.44752967,-0.11091943,1.0,Yes
0.79545164,0.4765633,-2.6790693e-07,0.72753423,0.50357103,-0.053676747,0.6722802,0.54419845,-0.09768459,0.6602579,0.5945652,-0.13332647,0.69717,0.60699224,-0.16316836,0.63193005,0.36185217,-0.09544136,0.64686596,0.5303175,-0.13898292,0.66752386,0.5566727,-0.16019519,0.6711307,0.52465636,-0.17402023,0.7011976,0.33168805,-0.093356624,0.72432476,0.55124205,-0.13506539,0.72620225,0.55929834,-0.14088117,0.7196063,0.5142711,-0.14250101,0.77549505,0.33418542,-0.09456407,0.791196,0.54159313,-0.12795597,0.7821338,0.5241686,-0.11139541,0.77054405,0.4614199,-0.095776536,0.83892673,0.35474268,-0.10239046,0.8444897,0.5160271,-0.12961668,0.83598155,0.5029784,-0.1234391,0.82515615,0.44330508,-0.11224341,1.0,Yes
0.79598033,0.47418416,-3.1574746e-07,0.72727805,0.5015846,-0.05297328,0.6721121,0.5427355,-0.09642909,0.6610008,0.5928421,-0.13172153,0.6991147,0.6064019,-0.16142806,0.6322737,0.3594304,-0.093019724,0.6475504,0.52826905,-0.13528572,0.6688438,0.5603634,-0.15560524,0.6728252,0.5328181,-0.16880915,0.70135474,0.33038536,-0.091138884,0.72395986,0.54638517,-0.13232003,0.7257522,0.561585,-0.13843043,0.71886885,0.52182555,-0.14018026,0.7751482,0.3330435,-0.09253281,0.79071367,0.53599197,-0.12607446,0.7818406,0.52154547,-0.11154335,0.77005684,0.45997116,-0.09729687,0.838191,0.35292238,-0.10024259,0.8444966,0.5103513,-0.12611194,0.83582145,0.50154966,-0.11984233,0.8247329,0.445357,-0.109094165,1.0,Yes
0.79901433,0.4778684,-2.661835e-07,0.7315447,0.50435984,-0.054124907,0.67560023,0.5463016,-0.09804371,0.6622457,0.59582675,-0.1330903,0.69879854,0.6033982,-0.16204238,0.63285506,0.35992745,-0.09566755,0.64879245,0.5291799,-0.13689816,0.6690455,0.5531365,-0.15610886,0.67134315,0.51964676,-0.16919564,0.7017064,0.33030397,-0.09291115,0.72626376,0.547698,-0.13205184,0.7281903,0.55180514,-0.13852696,0.719419,0.50261694,-0.14221926,0.7760221,0.33189148,-0.09313041,0.79394346,0.5375768,-0.12521587,0.785067,0.52289295,-0.110584415,0.77236694,0.46143392,-0.097707324,0.8404011,0.35181034,-0.09990676,0.8470706,0.5117806,-0.12728389,0.8380636,0.5020464,-0.12284129,0.8266779,0.44502422,-0.113881275,1.0,Yes
0.7982414,0.4716798,-2.9146577e-07,0.7313722,0.49947286,-0.054470725,0.6765862,0.54301906,-0.09895599,0.6631974,0.5940181,-0.13473968,0.6970149,0.60445964,-0.16486105,0.63444656,0.3579234,-0.09710446,0.6493156,0.52812093,-0.14004143,0.66896814,0.55513775,-0.16122383,0.67130256,0.5230612,-0.1752793,0.7035837,0.3285682,-0.09439387,0.72746426,0.5478195,-0.13523483,0.7283449,0.5575084,-0.14123845,0.7208182,0.51405686,-0.14344145,0.77801293,0.33067614,-0.09475817,0.79500794,0.5375669,-0.12784909,0.78512204,0.5212234,-0.111384064,0.7726315,0.45930588,-0.09615784,0.8416105,0.35071322,-0.10172056,0.8474953,0.51142496,-0.129339,0.8385451,0.49922073,-0.12307328,0.8272225,0.4397085,-0.1119274,1.0,Yes
0.80109733,0.47790125,-2.9193933e-07,0.73239386,0.5047346,-0.05405709,0.67544544,0.547271,-0.09801754,0.66193724,0.596611,-0.13307616,0.70031583,0.6048658,-0.1615541,0.6335019,0.35811973,-0.09499563,0.6493997,0.52534765,-0.13605742,0.6712757,0.5531343,-0.15419117,0.67397535,0.5210658,-0.16654369,0.70242816,0.32796532,-0.09244365,0.7273033,0.54655457,-0.13297684,0.73041636,0.55438006,-0.1380684,0.7221459,0.50766706,-0.13972847,0.776722,0.3301258,-0.093031935,0.79516244,0.53762615,-0.12555067,0.7875824,0.52164227,-0.108429424,0.7748798,0.4584729,-0.09302749,0.84098154,0.3499908,-0.10025145,0.8473649,0.51225305,-0.12734966,0.8400839,0.500645,-0.121339135,0.8290337,0.4416263,-0.11063706,1.0,Yes
0.79685986,0.4747469,-3.1543536e-07,0.7284667,0.5032885,-0.055270307,0.6725381,0.5436903,-0.098725155,0.66225576,0.5923569,-0.13314722,0.7013217,0.6010517,-0.16146405,0.6344239,0.3559999,-0.09565934,0.6497239,0.5266585,-0.1373873,0.6699643,0.55799043,-0.1566161,0.6729748,0.52717644,-0.16923426,0.7038548,0.32522303,-0.0919892,0.7287876,0.5465334,-0.13192657,0.7299953,0.55654126,-0.13667399,0.7220754,0.5106415,-0.13760951,0.7782702,0.32755756,-0.091541655,0.79521585,0.53632426,-0.12423955,0.78488517,0.5215378,-0.106993966,0.7720629,0.45968252,-0.09070556,0.84115887,0.34821618,-0.09780844,0.8473716,0.51017284,-0.12530512,0.837954,0.49961233,-0.11884391,0.8266474,0.44157985,-0.10707037,1.0,Yes
0.7979465,0.47707397,-2.7643486e-07,0.73085755,0.50514865,-0.05504093,0.6739953,0.54622203,-0.09905391,0.6614544,0.5939497,-0.13405778,0.6988653,0.5990126,-0.16232382,0.6346743,0.35623598,-0.096465565,0.648376,0.5239818,-0.13825937,0.6692375,0.5477098,-0.15695663,0.6716926,0.5112586,-0.16954687,0.70361036,0.325037,-0.09309755,0.72730553,0.54842794,-0.1334235,0.73063666,0.55119324,-0.1386413,0.72320426,0.49877313,-0.14062467,0.77741784,0.32675877,-0.092940114,0.7940706,0.5382017,-0.12545696,0.7871589,0.5211231,-0.10804783,0.77604043,0.457181,-0.0924711,0.84108114,0.34659725,-0.099661104,0.8455301,0.509551,-0.1276137,0.8390859,0.49713695,-0.122277305,0.8301225,0.4374138,-0.11181785,1.0,Yes
