f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.37327594,0.7487711,-5.621329e-07,0.47507742,0.72505915,-0.06692751,0.5699542,0.5964712,-0.08919065,0.6129522,0.46142477,-0.10130807,0.64818364,0.3716976,-0.09980023,0.5136884,0.43056637,-0.042618524,0.5141504,0.38949057,-0.08957795,0.4924197,0.5040461,-0.101469144,0.48203975,0.517228,-0.10424647,0.4398702,0.40694773,-0.026447967,0.43319395,0.39257857,-0.07329053,0.4248763,0.5317967,-0.06656696,0.4278363,0.5191457,-0.05184331,0.37052357,0.4074692,-0.021769103,0.36040816,0.39619654,-0.068892755,0.36257967,0.518488,-0.039009474,0.3715092,0.50993603,-0.009795173,0.3044757,0.41494548,-0.023459738,0.29323643,0.41548818,-0.048759103,0.304824,0.5000046,-0.028737286,0.31639254,0.5007325,-0.0069595263,0.0,A
0.37533954,0.75653213,-5.2343586e-07,0.4794451,0.7268364,-0.06503332,0.5711422,0.5946164,-0.0862951,0.61288273,0.46286008,-0.09819643,0.64905536,0.3715372,-0.09766722,0.5152081,0.42281777,-0.03898553,0.51436186,0.40091807,-0.08423986,0.49336815,0.5142112,-0.09856051,0.48468444,0.5212319,-0.10415315,0.44026214,0.39699697,-0.025029298,0.43448153,0.40506068,-0.06953506,0.42476195,0.53535086,-0.06730416,0.4267404,0.51842237,-0.057436686,0.36880535,0.40127608,-0.022028767,0.3617503,0.4009208,-0.06899827,0.3635171,0.52063316,-0.04288702,0.3733883,0.5116907,-0.017082378,0.30188552,0.41533068,-0.0250598,0.29435217,0.41804457,-0.051860243,0.30684,0.5040576,-0.03234746,0.3200609,0.5084036,-0.01095992,0.0,A
0.37674803,0.7562745,-5.757023e-07,0.47978204,0.7279352,-0.06304997,0.57279706,0.59881043,-0.08359884,0.61330795,0.46449733,-0.09461525,0.6463801,0.37232667,-0.09222185,0.5135727,0.44031015,-0.041070927,0.5132834,0.39464313,-0.09050633,0.494892,0.51245767,-0.107041754,0.489036,0.52091247,-0.11299088,0.43886328,0.42341796,-0.026373308,0.43335456,0.39542896,-0.074456945,0.42765048,0.53545284,-0.06986117,0.43108797,0.5265724,-0.057269674,0.36992323,0.4246669,-0.022693038,0.3631004,0.38847947,-0.0708421,0.3667118,0.51892084,-0.038761992,0.37756288,0.5206003,-0.0077665374,0.30467913,0.43149477,-0.024918579,0.29594398,0.40909487,-0.049313903,0.30604497,0.4990846,-0.025377318,0.31800663,0.51054466,-0.0007614571,0.0,A
0.37199724,0.75538105,-5.63127e-07,0.4754301,0.7271479,-0.07057086,0.57051915,0.59484166,-0.09293643,0.6113093,0.4603698,-0.1037347,0.64831823,0.3696776,-0.10098121,0.5109284,0.4265745,-0.044468477,0.51090425,0.39747098,-0.09189749,0.49016854,0.5147966,-0.10746827,0.48226255,0.5253365,-0.113018714,0.43696088,0.40303934,-0.02592257,0.4292457,0.40110177,-0.07232714,0.4221438,0.53779817,-0.06909605,0.42615613,0.5291777,-0.057397295,0.3674655,0.4068793,-0.018730393,0.3572118,0.39718187,-0.06675966,0.36046737,0.52262974,-0.038433943,0.3721923,0.5217081,-0.009835912,0.301858,0.4189256,-0.017953124,0.29125687,0.41401142,-0.043778744,0.30182907,0.50171536,-0.02273132,0.31474143,0.50932986,0.0003231523,0.0,A
0.37202713,0.75717294,-5.65403e-07,0.47582665,0.72984487,-0.070651434,0.5704257,0.5984879,-0.09291377,0.61202186,0.46379322,-0.10374222,0.64746356,0.37140304,-0.10048944,0.51541597,0.43063873,-0.044967815,0.5089325,0.39787078,-0.09422284,0.49012044,0.5169956,-0.10992748,0.48585606,0.52796537,-0.11495635,0.44034967,0.4081454,-0.026739057,0.42879814,0.40061677,-0.07585701,0.4227669,0.53788596,-0.07254817,0.42866346,0.5310237,-0.059983097,0.36998096,0.41115898,-0.020081773,0.35712916,0.39431593,-0.0706835,0.36056185,0.5215554,-0.041491173,0.37414166,0.52260536,-0.011380733,0.30336446,0.42206615,-0.01984532,0.29191577,0.41283005,-0.047366988,0.3022135,0.5010952,-0.02606124,0.3163424,0.50862664,-0.0021584742,0.0,A
0.37485516,0.75056213,-5.64027e-07,0.47736487,0.7248298,-0.065599516,0.5699506,0.59204394,-0.08674258,0.61261415,0.45851216,-0.09795276,0.64888895,0.3684747,-0.09600699,0.51190245,0.4254068,-0.043124907,0.5112876,0.39343053,-0.09442057,0.49095964,0.510597,-0.113686934,0.48221493,0.516764,-0.12181746,0.43608478,0.40395436,-0.028352976,0.42759624,0.39943886,-0.07805879,0.42113116,0.5366913,-0.07665247,0.42494345,0.52384996,-0.06650287,0.36570933,0.4081635,-0.024790276,0.3558918,0.39554274,-0.07444443,0.35911143,0.5225929,-0.045586623,0.37087607,0.5181007,-0.017086042,0.30046934,0.41939408,-0.027435565,0.289187,0.41723463,-0.054364398,0.30027938,0.50532305,-0.033551913,0.31450415,0.51006687,-0.011021562,0.0,A
0.37187222,0.7524051,-5.8559584e-07,0.4742126,0.72772014,-0.066275164,0.56863046,0.5967109,-0.08865155,0.6111883,0.46101737,-0.10170138,0.6468389,0.37025505,-0.10174426,0.5124531,0.4299142,-0.03981375,0.5127641,0.39062053,-0.089507625,0.49089277,0.5068441,-0.10570671,0.4808764,0.5193521,-0.11103178,0.43761483,0.40778747,-0.024893137,0.43063426,0.39533383,-0.07398112,0.4225048,0.53470844,-0.06973568,0.42555785,0.52621573,-0.056394693,0.367671,0.4103053,-0.021663887,0.35781676,0.39368767,-0.07166053,0.35994485,0.52159816,-0.040912054,0.37020832,0.5205207,-0.009930978,0.30143481,0.42069143,-0.024707781,0.290828,0.41122323,-0.051332142,0.30108935,0.5002451,-0.02871646,0.31338236,0.50824946,-0.004234128,0.0,A
0.37114108,0.75632954,-5.329929e-07,0.47478512,0.7299434,-0.06878099,0.5670364,0.59797853,-0.092149556,0.609566,0.4617404,-0.10531206,0.6468508,0.37042186,-0.10544803,0.5147615,0.42834294,-0.043210234,0.5104479,0.3944096,-0.09241761,0.48997065,0.50987357,-0.10751711,0.4815946,0.52079433,-0.11224437,0.43969673,0.40556535,-0.027084123,0.4289685,0.3995682,-0.07641571,0.42190957,0.5368833,-0.07256064,0.42631298,0.52496463,-0.059471738,0.36845368,0.4086596,-0.022499247,0.3562538,0.3983422,-0.07365218,0.36031336,0.5259986,-0.044088334,0.37357765,0.522218,-0.013859356,0.30058175,0.41983876,-0.024255423,0.28833064,0.42047504,-0.05296644,0.30170715,0.5120955,-0.031859487,0.31806284,0.51896745,-0.008148343,0.0,A
0.3710133,0.7537439,-5.4400397e-07,0.47512564,0.72824085,-0.065923855,0.56768477,0.597489,-0.08774548,0.61099166,0.46240705,-0.09968402,0.64771533,0.37112406,-0.09905837,0.5153163,0.42352355,-0.040501196,0.5099661,0.39752936,-0.08730496,0.48995724,0.51121646,-0.101528086,0.48190206,0.523423,-0.105907366,0.4399936,0.3989784,-0.025567343,0.4284624,0.40381506,-0.07147126,0.42113987,0.5383306,-0.067514725,0.42571825,0.52670527,-0.055130094,0.36815852,0.40334815,-0.021745944,0.35613406,0.40374172,-0.07052183,0.35918152,0.52879655,-0.041910116,0.372193,0.5239833,-0.012966168,0.30017376,0.41760215,-0.0239703,0.28804982,0.42077473,-0.051666677,0.30062371,0.5122645,-0.030406445,0.31643933,0.51982456,-0.006734087,0.0,A
0.37012216,0.755093,-5.7409983e-07,0.47523978,0.72289795,-0.062506735,0.5676433,0.5902793,-0.08079185,0.60846245,0.45593476,-0.089686595,0.64651453,0.36559212,-0.085262544,0.50697035,0.4239847,-0.034358636,0.50789046,0.3940773,-0.0804749,0.48864087,0.5133812,-0.0955098,0.48387608,0.52314764,-0.10088109,0.43464497,0.40167904,-0.019797957,0.42806712,0.3990098,-0.06454777,0.41956255,0.53620654,-0.060853932,0.42512548,0.5266256,-0.049293276,0.36569658,0.40659988,-0.016422143,0.35741413,0.39436102,-0.0631764,0.35817766,0.5212926,-0.033818163,0.37122768,0.5207884,-0.004937691,0.3003413,0.41869912,-0.018947033,0.29025352,0.4131031,-0.043572076,0.29993987,0.5012242,-0.02149439,0.31442776,0.50895774,0.0020567223,0.0,A
0.3696288,0.7555286,-5.817019e-07,0.476136,0.7243482,-0.06315884,0.568455,0.5920944,-0.0817823,0.6091227,0.4570959,-0.090796426,0.645628,0.36502343,-0.086376876,0.50804096,0.42504734,-0.035063293,0.5104613,0.3944671,-0.08162703,0.4908945,0.51374394,-0.09790816,0.48508132,0.52181774,-0.104459025,0.4341889,0.4030338,-0.019862102,0.4293097,0.3980158,-0.06543473,0.42054072,0.5349831,-0.06305575,0.42447928,0.5243624,-0.05249298,0.3646528,0.4080206,-0.015745537,0.3585723,0.39316005,-0.062272772,0.35907015,0.5191917,-0.03330934,0.37082335,0.5179235,-0.0049317,0.2993618,0.41953242,-0.017568527,0.29090637,0.412427,-0.04181157,0.30010557,0.49985027,-0.01979135,0.31394112,0.5064373,0.0035669312,0.0,A
0.36942282,0.75454634,-5.557377e-07,0.47354886,0.72607243,-0.06773297,0.5654378,0.5919059,-0.08872016,0.60991406,0.4557733,-0.09862237,0.6480494,0.36514628,-0.09403072,0.51063436,0.4279345,-0.043786444,0.5089908,0.3904798,-0.092362046,0.48799253,0.5085357,-0.10817476,0.48040736,0.51308703,-0.11448337,0.43529847,0.4080832,-0.026718678,0.4265918,0.39320412,-0.075065866,0.42168382,0.5343855,-0.07020808,0.4285446,0.52102226,-0.05730182,0.3643094,0.41063708,-0.0210976,0.35461456,0.39127883,-0.06985516,0.35937762,0.52100176,-0.038589828,0.37381852,0.51733786,-0.00801549,0.29777735,0.41924632,-0.02187184,0.28639007,0.40952224,-0.046896026,0.29879305,0.4972871,-0.024554228,0.3152554,0.5030248,-0.0009645145,0.0,A
0.36809474,0.7548502,-5.4697693e-07,0.4730317,0.72548634,-0.06589031,0.56303406,0.5929879,-0.087161034,0.6081278,0.45855466,-0.09861953,0.64797294,0.36840454,-0.09586804,0.51323897,0.43137908,-0.04041528,0.50783694,0.39199185,-0.09031885,0.4864683,0.5072644,-0.106199145,0.48287684,0.51312107,-0.11189914,0.4371407,0.41075242,-0.025272205,0.42728052,0.39190426,-0.07519421,0.41928723,0.5321669,-0.06968904,0.4284951,0.52013314,-0.055512123,0.36603725,0.4116619,-0.021927353,0.35448337,0.38848573,-0.07294717,0.35669643,0.5188263,-0.04066031,0.3743156,0.51766694,-0.008357165,0.30022526,0.4188336,-0.024908792,0.28714442,0.40469337,-0.05139072,0.29698986,0.4941677,-0.028047241,0.31480074,0.5031762,-0.003042791,0.0,A
