f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.35552886,0.81502575,-5.5814144e-07,0.43903163,0.7760529,-0.038536448,0.5091131,0.6777121,-0.07182356,0.51893336,0.58744293,-0.10467315,0.45144212,0.54202217,-0.13063596,0.46693432,0.48944718,-0.022111261,0.5074967,0.41222173,-0.07653848,0.48640698,0.51538897,-0.11204109,0.4694521,0.57752323,-0.13067748,0.4150624,0.47330406,-0.033018988,0.44779715,0.35831484,-0.11544746,0.43925768,0.48646995,-0.14726348,0.43907416,0.57437396,-0.14495608,0.358985,0.48211977,-0.0531019,0.38975397,0.31936622,-0.11049783,0.40495571,0.23920363,-0.13546985,0.4213261,0.1443991,-0.14025857,0.29992607,0.5102765,-0.07478493,0.31602287,0.39703,-0.09758367,0.324655,0.3223436,-0.10383665,0.3341,0.2298035,-0.10750366,0.0,B
0.355504,0.80423963,-4.8943576e-07,0.4383151,0.7687826,-0.04449827,0.50723565,0.6705626,-0.08125615,0.51585937,0.5802205,-0.11683053,0.45084587,0.5268164,-0.14508653,0.47295517,0.48373586,-0.027542492,0.51025885,0.39774436,-0.084710404,0.495892,0.5015277,-0.12169317,0.48311856,0.5612912,-0.14092399,0.4189472,0.4675982,-0.037014015,0.45179564,0.34944415,-0.123164065,0.44748873,0.47493318,-0.15871175,0.44713253,0.56005055,-0.15832621,0.3614828,0.47484505,-0.05617493,0.3864732,0.31516567,-0.11490836,0.4023785,0.23199412,-0.14272235,0.41788566,0.13324347,-0.14943556,0.30236894,0.5021903,-0.07757572,0.31900015,0.39131892,-0.100432895,0.3286018,0.3181181,-0.107755154,0.3362607,0.2275221,-0.11219683,0.0,B
0.35865644,0.80235964,-5.370418e-07,0.43714827,0.76744854,-0.039500456,0.50482696,0.6677137,-0.07352873,0.51569784,0.582813,-0.106926836,0.45404828,0.5270448,-0.13348572,0.47424147,0.4822495,-0.024255672,0.51031184,0.40059724,-0.07861216,0.49213827,0.50334984,-0.11437727,0.4777931,0.5660619,-0.13308,0.4209411,0.46556666,-0.035256132,0.4504134,0.3449362,-0.11778881,0.44034147,0.47195116,-0.15098974,0.4392251,0.56454307,-0.14928441,0.3630653,0.4729803,-0.055316955,0.3916945,0.30824926,-0.11156729,0.40605175,0.22847918,-0.13715796,0.42308617,0.13716304,-0.1425187,0.30380106,0.5014819,-0.07710767,0.3193638,0.3913678,-0.099586904,0.32856575,0.31664574,-0.106181875,0.33899435,0.22465694,-0.110013664,0.0,B
0.3570226,0.80496514,-5.0494157e-07,0.43758008,0.77323157,-0.045378525,0.5073589,0.67299515,-0.08120972,0.51374274,0.5833314,-0.11587427,0.44658494,0.5276738,-0.14304459,0.47593525,0.48177928,-0.023793045,0.51175255,0.398547,-0.08001234,0.4927135,0.500526,-0.11738255,0.47695863,0.56567574,-0.13678338,0.42139578,0.46357352,-0.032296665,0.4522036,0.3456761,-0.11436972,0.44345522,0.4701465,-0.14778665,0.44205186,0.5603104,-0.1467313,0.3631438,0.46956933,-0.051129438,0.39284018,0.30653265,-0.10785883,0.40670097,0.23126563,-0.13272396,0.42166156,0.14298898,-0.13750824,0.30346704,0.49742332,-0.07257866,0.31963167,0.38930017,-0.096387304,0.3284006,0.3159896,-0.10364155,0.33664238,0.2247796,-0.10756421,0.0,B
0.35684898,0.8053168,-5.4325454e-07,0.43832937,0.7730584,-0.04598542,0.50791866,0.6726965,-0.082259975,0.5155975,0.5852319,-0.11757155,0.4488286,0.531525,-0.14550772,0.4787417,0.47841293,-0.024229467,0.5130211,0.40018806,-0.08063442,0.49271512,0.50342923,-0.11835838,0.47732505,0.56552345,-0.13866055,0.42291325,0.46279362,-0.033658028,0.4511807,0.34730208,-0.12002789,0.44154742,0.47806215,-0.15580218,0.43962684,0.5695378,-0.15522969,0.36361903,0.4697042,-0.053305574,0.3913385,0.30962852,-0.11345452,0.40386945,0.23274252,-0.14026915,0.41730598,0.13950261,-0.14543399,0.30414993,0.4979043,-0.075445965,0.32061446,0.38964665,-0.1004591,0.3284803,0.3173263,-0.107814126,0.33438867,0.22598943,-0.11160904,0.0,B
0.35928074,0.80668604,-5.334775e-07,0.43963894,0.77213836,-0.042204447,0.50844854,0.67010975,-0.075769044,0.5138002,0.5797516,-0.108111635,0.4497302,0.52500343,-0.13397197,0.47544095,0.48461437,-0.024076417,0.51017404,0.40073112,-0.07478142,0.48954755,0.49804232,-0.109083734,0.47327012,0.5618206,-0.12758279,0.42033842,0.46714595,-0.032916535,0.4496372,0.347081,-0.1125329,0.43881887,0.4727504,-0.145145,0.4360714,0.5687906,-0.14365748,0.3614647,0.47478884,-0.050872356,0.3890745,0.31287074,-0.10442998,0.40274927,0.22922117,-0.13023603,0.41878095,0.13778904,-0.1364482,0.30186772,0.5031386,-0.07090509,0.31605,0.39020276,-0.09117681,0.32528806,0.31517267,-0.09708511,0.33562112,0.22499615,-0.10108775,0.0,B
0.35802078,0.80220455,-5.0325923e-07,0.44230482,0.7639019,-0.0402586,0.50962514,0.66750634,-0.07513113,0.5171203,0.58080864,-0.109136894,0.45314762,0.5328879,-0.13658316,0.4714546,0.4830343,-0.02877118,0.5091392,0.39731717,-0.08479466,0.49198952,0.49883243,-0.121439986,0.47726935,0.56555617,-0.14047092,0.41733548,0.46847254,-0.039561246,0.44752485,0.3454457,-0.12372388,0.44218233,0.4696229,-0.15846643,0.44331655,0.5595954,-0.1581356,0.35915145,0.4769654,-0.059159238,0.38555288,0.3121907,-0.11603972,0.4004897,0.22835991,-0.14333399,0.41616595,0.13419083,-0.15008256,0.30035627,0.5044242,-0.0804974,0.317577,0.39058325,-0.10176697,0.32768038,0.31748953,-0.108022004,0.33684695,0.2294513,-0.11216219,0.0,B
0.3550594,0.8048723,-5.2741416e-07,0.4419587,0.7628566,-0.03815764,0.5082951,0.6694207,-0.07215105,0.5150233,0.5820596,-0.10532601,0.45452008,0.52937096,-0.1323702,0.4704595,0.48654574,-0.029166503,0.5080281,0.40040484,-0.0836379,0.4916107,0.49997726,-0.11904723,0.47769982,0.5681929,-0.13717215,0.4176758,0.4699344,-0.039694723,0.44734877,0.35041213,-0.12098339,0.44278115,0.47641313,-0.1546903,0.44535026,0.5626624,-0.15489765,0.3603665,0.47775513,-0.058443274,0.3862005,0.3134319,-0.112934224,0.4007281,0.2304897,-0.1387525,0.41604877,0.13778093,-0.14551623,0.30131435,0.5051335,-0.07862582,0.31689626,0.3873306,-0.09809546,0.32696712,0.31447506,-0.10266501,0.33643278,0.22830775,-0.10597636,0.0,B
0.36209032,0.80247176,-4.9048305e-07,0.44051415,0.7646337,-0.038760286,0.507925,0.6683615,-0.07177359,0.51435715,0.5849882,-0.104376085,0.45297462,0.52991575,-0.13063616,0.47334957,0.48068452,-0.023124332,0.50902504,0.4021253,-0.076750755,0.49493298,0.49944383,-0.1121444,0.4825747,0.56523263,-0.13009393,0.42083615,0.46467838,-0.033760816,0.44936928,0.34858626,-0.11169009,0.4459821,0.46974975,-0.14142953,0.44858453,0.5635997,-0.13856578,0.36383188,0.47343147,-0.05382572,0.39122686,0.309094,-0.10789959,0.4083747,0.23207578,-0.13059652,0.42657593,0.14761308,-0.1340753,0.30455166,0.50416553,-0.075946614,0.31867355,0.39081228,-0.09890291,0.32795614,0.31504166,-0.10506009,0.33822075,0.2248505,-0.10802791,0.0,B
0.36188743,0.80540466,-5.4650747e-07,0.44154996,0.76571167,-0.03814449,0.50720763,0.6695496,-0.07234237,0.5129948,0.5864099,-0.10574561,0.45233312,0.5263498,-0.13372092,0.47407585,0.48278442,-0.026784696,0.50610113,0.40637267,-0.07819706,0.4891454,0.5042957,-0.113893084,0.47512606,0.56994534,-0.13327865,0.4208788,0.46617317,-0.037772764,0.44743365,0.35230595,-0.11600128,0.44038618,0.47870234,-0.1479337,0.4406782,0.57693326,-0.14714952,0.3628552,0.47596243,-0.05711443,0.39096677,0.31117845,-0.11064411,0.40566593,0.22944432,-0.13469282,0.42216316,0.14158976,-0.14026743,0.3026658,0.50805527,-0.07793547,0.31752455,0.3949328,-0.09976757,0.3271263,0.32015386,-0.10442879,0.33775616,0.23043784,-0.10739011,0.0,B
