f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.31609404,0.7257608,2.8223812e-07,0.40142453,0.7315316,-0.050468422,0.48178184,0.6964068,-0.07610712,0.5152021,0.6471175,-0.102044396,0.49695185,0.5962857,-0.12538654,0.46785787,0.46254393,-0.023518797,0.4951112,0.35708106,-0.07191753,0.501606,0.34099835,-0.11215633,0.48847717,0.38930506,-0.12939307,0.41309425,0.4260577,-0.020503368,0.43299595,0.2993091,-0.058579434,0.4357077,0.27874887,-0.09320299,0.42277575,0.33197784,-0.110025816,0.3576818,0.42084816,-0.026494525,0.36628535,0.3051365,-0.058133923,0.3729244,0.27813637,-0.085301846,0.37115243,0.3192504,-0.09670744,0.29766116,0.44041494,-0.03792208,0.28898758,0.34300345,-0.06376333,0.29437503,0.30903113,-0.08140621,0.30125892,0.32439733,-0.08797027,0.0,C
0.31658313,0.7238954,3.1179937e-07,0.403311,0.72356683,-0.047658306,0.4843053,0.68636984,-0.075219676,0.52460384,0.637491,-0.10409786,0.5048799,0.5865753,-0.13056025,0.46841818,0.45377526,-0.023441961,0.49758676,0.34448123,-0.074023396,0.5066161,0.33085382,-0.115601964,0.49446696,0.3830452,-0.13324456,0.4153561,0.419467,-0.022645356,0.43367496,0.29253203,-0.061592247,0.44017842,0.27185863,-0.09538389,0.43101767,0.32554454,-0.111458406,0.36133125,0.41521615,-0.030708762,0.36802393,0.29716164,-0.062097415,0.37888697,0.2700108,-0.086148396,0.3821418,0.31131613,-0.09554288,0.30283964,0.4356383,-0.044190913,0.2921113,0.34074605,-0.06931457,0.3010826,0.30197954,-0.084877715,0.31329447,0.31159905,-0.0897299,0.0,C
0.3193388,0.7251977,3.063493e-07,0.40515572,0.7231816,-0.043801945,0.48407254,0.6876688,-0.06825231,0.5210319,0.6396498,-0.094323464,0.50037616,0.58767426,-0.11787618,0.47031152,0.4545923,-0.016789213,0.49860743,0.348208,-0.06314327,0.5068914,0.33343238,-0.1016187,0.49620494,0.38167194,-0.117781505,0.4186319,0.4197206,-0.016528612,0.4368793,0.29934,-0.048438005,0.4428325,0.27104867,-0.07686307,0.43388307,0.31354994,-0.091059476,0.36445028,0.4153885,-0.025353499,0.37016195,0.30301946,-0.05340505,0.37846184,0.27184117,-0.07423775,0.3793936,0.30528453,-0.08249233,0.30454367,0.43544382,-0.039384395,0.29533324,0.34315553,-0.063839376,0.30169556,0.30601043,-0.07750778,0.30962515,0.3143361,-0.08125532,0.0,C
0.31603926,0.71832967,3.0878977e-07,0.4046168,0.7237891,-0.04563478,0.48728555,0.6873764,-0.06875199,0.522457,0.6361724,-0.092854746,0.49841458,0.5854012,-0.115129665,0.4713126,0.45154327,-0.016471677,0.49753132,0.35189202,-0.06107286,0.5073594,0.32837707,-0.100833975,0.49939746,0.36520267,-0.11944545,0.41770965,0.41595787,-0.015307799,0.436171,0.29357195,-0.051826768,0.44273898,0.2701739,-0.08733852,0.4331764,0.32032546,-0.10542516,0.3630704,0.41152793,-0.02234379,0.36889514,0.29904765,-0.05228421,0.37835684,0.27265817,-0.07875132,0.38103533,0.31274194,-0.09028444,0.3040628,0.43283215,-0.0345295,0.29325646,0.34221032,-0.05899106,0.29939076,0.30383915,-0.07605202,0.30836412,0.31198722,-0.08267332,0.0,C
0.3164615,0.71650213,2.5838656e-07,0.40516797,0.72030914,-0.04540106,0.48823813,0.6857421,-0.07014256,0.5212518,0.6327332,-0.09611274,0.49236313,0.5883365,-0.11960282,0.47340387,0.4533561,-0.019472644,0.5009092,0.34635487,-0.06774597,0.5086335,0.33252758,-0.107497,0.49677157,0.38379577,-0.12408812,0.41969556,0.41881448,-0.018651191,0.43881214,0.29402632,-0.054496985,0.44311556,0.26972485,-0.08523411,0.4305138,0.31772304,-0.099500686,0.36499703,0.4133482,-0.026756627,0.37401378,0.30071694,-0.05698537,0.3811843,0.27195644,-0.08035079,0.37804985,0.30878255,-0.08923545,0.3050816,0.43221527,-0.040120717,0.2980523,0.34423816,-0.064887166,0.29958767,0.3070792,-0.08015782,0.29925054,0.31247312,-0.08480005,0.0,C
0.31793183,0.7187924,2.738227e-07,0.40646917,0.7218419,-0.045460578,0.48906612,0.68524534,-0.06989612,0.5209484,0.63181055,-0.09554805,0.492762,0.5860627,-0.11902217,0.4739015,0.45331722,-0.01981392,0.4983247,0.34424514,-0.06846788,0.50847185,0.33015245,-0.10896412,0.49906814,0.38282064,-0.12619779,0.41995734,0.41928035,-0.019205427,0.4380121,0.29342347,-0.056082368,0.44446284,0.2692021,-0.08882828,0.43342552,0.31898177,-0.104599744,0.36547166,0.41518536,-0.02746373,0.37282228,0.30062586,-0.05895395,0.3817252,0.27136713,-0.08460788,0.380754,0.30985457,-0.09503065,0.30594456,0.43486908,-0.040873975,0.29780638,0.34374398,-0.067451075,0.30226153,0.306459,-0.08488579,0.30654353,0.31394076,-0.09110094,0.0,C
0.31709772,0.71604615,3.2567834e-07,0.4036907,0.718844,-0.049166355,0.4841969,0.682831,-0.07595642,0.5198697,0.6302051,-0.10362662,0.4988591,0.57874346,-0.12879334,0.4723528,0.45013452,-0.022397228,0.49866402,0.34295928,-0.07147578,0.50750536,0.3270814,-0.11135313,0.4957193,0.37666187,-0.12774666,0.41884455,0.41458005,-0.020173926,0.437237,0.2895579,-0.056698233,0.4430597,0.2677516,-0.087576285,0.43280745,0.31978,-0.10144309,0.3642768,0.4096015,-0.027131695,0.37042564,0.29448402,-0.05766204,0.37976515,0.26793247,-0.07893436,0.381173,0.30964652,-0.085831426,0.3041121,0.42831242,-0.039790206,0.29363608,0.33114493,-0.06512036,0.30191457,0.2977778,-0.079215504,0.3124382,0.31425184,-0.08230521,0.0,C
0.31668937,0.7165086,3.2714954e-07,0.404601,0.7192773,-0.048404317,0.4855201,0.6841619,-0.07570985,0.5245289,0.63024265,-0.10437277,0.50038403,0.5816438,-0.13110171,0.47322464,0.45154694,-0.021071838,0.5008244,0.34467876,-0.068261564,0.5084507,0.3257379,-0.1070885,0.49670696,0.37336922,-0.12372507,0.4189632,0.4164905,-0.01973443,0.4392107,0.29108936,-0.05587392,0.44342625,0.26954782,-0.08735858,0.43298358,0.32100976,-0.102226205,0.36412853,0.41099298,-0.027293378,0.37228048,0.29380625,-0.05707055,0.38094038,0.26779625,-0.0794673,0.38245368,0.3101367,-0.08804605,0.303863,0.42955998,-0.040469382,0.29163933,0.3326449,-0.06501523,0.29978234,0.2982772,-0.079818726,0.31150702,0.31399053,-0.08438925,0.0,C
0.31648946,0.71715534,3.2260255e-07,0.40410617,0.7182723,-0.046546027,0.48432112,0.68334293,-0.072417535,0.5223499,0.62900364,-0.099727504,0.49971068,0.5795617,-0.12494099,0.47210455,0.45245305,-0.018470442,0.5008385,0.3485961,-0.06473482,0.5081657,0.32612854,-0.10278919,0.49578446,0.36890724,-0.1188098,0.41884965,0.41629285,-0.017535258,0.43972427,0.29344767,-0.052667562,0.44369507,0.27029157,-0.08255706,0.43259263,0.31992766,-0.09587035,0.3644321,0.4100825,-0.025387201,0.3732651,0.2953517,-0.054102413,0.38187328,0.26795536,-0.0741619,0.3836477,0.3077834,-0.080818534,0.30424884,0.4282887,-0.038835257,0.2913729,0.33365834,-0.06238708,0.30022663,0.29781824,-0.07557909,0.3136025,0.31119782,-0.07856659,0.0,C
0.31660423,0.71720254,2.8477467e-07,0.40354326,0.7186639,-0.04911396,0.48247516,0.6809709,-0.07610078,0.52510965,0.63065314,-0.104258694,0.5066062,0.58160174,-0.13048257,0.47253454,0.45190898,-0.023108441,0.500078,0.345656,-0.07182572,0.5044691,0.3259508,-0.112906724,0.48962438,0.37047702,-0.1314172,0.41934428,0.41700992,-0.021694193,0.43868208,0.29020652,-0.05987671,0.44226292,0.26845062,-0.09484009,0.43149385,0.3191567,-0.112640865,0.36441252,0.4117607,-0.029022742,0.37234652,0.29523373,-0.059937906,0.38020578,0.26885808,-0.08586666,0.38084888,0.3108108,-0.09739978,0.30419052,0.43062806,-0.0418824,0.29373997,0.33732697,-0.066875786,0.30081004,0.299105,-0.08392228,0.31025428,0.3100287,-0.09082167,0.0,C
