f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.35156816,0.79953647,4.2303245e-07,0.46092695,0.733768,0.025088506,0.5355755,0.67067015,0.010927338,0.5904807,0.63627404,-0.01764517,0.6114606,0.5902983,-0.047983885,0.42607084,0.47441226,-0.00016220876,0.44641864,0.34388623,-0.028345816,0.45972076,0.24841473,-0.055271573,0.46543387,0.17618558,-0.076888934,0.40526286,0.48808432,-0.042804178,0.5492494,0.39392114,-0.09488972,0.61619425,0.45264295,-0.12540354,0.6333964,0.52476805,-0.13621718,0.40744227,0.52472806,-0.08228053,0.5341776,0.4332655,-0.12113572,0.6064069,0.48443043,-0.12620705,0.6323056,0.54317683,-0.121493995,0.42857933,0.57826096,-0.12030475,0.51774967,0.503888,-0.1415725,0.5755982,0.5090774,-0.13603841,0.6069871,0.5283463,-0.12761734,0.0,D
0.35865012,0.79911196,3.8030876e-07,0.469898,0.73197305,0.021878604,0.5406563,0.66655624,0.0044180756,0.5972923,0.6327376,-0.026438626,0.62543374,0.585905,-0.058737643,0.43597686,0.4758195,-0.008727373,0.4587714,0.34646875,-0.038308527,0.47402158,0.2522778,-0.062742606,0.47981519,0.18263134,-0.081933625,0.41653705,0.490106,-0.049568683,0.55588824,0.39908126,-0.10028929,0.61888134,0.46059904,-0.12401178,0.6331146,0.5280666,-0.13051559,0.416664,0.5298662,-0.08775919,0.5429521,0.43982595,-0.12706524,0.61070794,0.49085006,-0.12697731,0.63373137,0.5460221,-0.119095616,0.43489853,0.58866364,-0.12463487,0.51810753,0.5155216,-0.14712913,0.5722967,0.5156014,-0.14051874,0.60136133,0.5285229,-0.13151066,0.0,D
0.35859042,0.79745793,3.6298823e-07,0.46829018,0.7332097,0.024673898,0.5409078,0.66743195,0.009074533,0.59855974,0.63374394,-0.019964023,0.62222576,0.5862462,-0.05037181,0.43332747,0.47584397,-0.0097099515,0.45737988,0.3452499,-0.039949432,0.4736171,0.2522014,-0.063927084,0.47883224,0.18262169,-0.08250235,0.41291732,0.49189806,-0.051712465,0.55575377,0.39415425,-0.1016906,0.6207495,0.458779,-0.12300815,0.63415504,0.52691275,-0.12773006,0.41435724,0.5318067,-0.09094548,0.54623485,0.44219348,-0.12963988,0.6148153,0.4965853,-0.12662281,0.63437724,0.55128264,-0.116611205,0.43450198,0.58932704,-0.12879446,0.52376974,0.5157073,-0.15077554,0.57866323,0.51868856,-0.14264911,0.60410815,0.53310466,-0.13243994,0.0,D
0.35770577,0.8028735,3.5939726e-07,0.46655646,0.7357392,0.028156932,0.53956246,0.6684714,0.0154726785,0.5977523,0.63265765,-0.010921245,0.62097096,0.58414006,-0.03864375,0.43221813,0.47545293,-0.0023411878,0.4561253,0.34653732,-0.028985146,0.47232044,0.25242713,-0.051805045,0.48021734,0.18415102,-0.069374524,0.41255957,0.4903692,-0.044623096,0.5539528,0.39513302,-0.08962293,0.6177896,0.45100558,-0.110953204,0.63283634,0.5184599,-0.11635206,0.41492063,0.5285814,-0.08371303,0.54408044,0.44137812,-0.117827855,0.6118465,0.49048054,-0.11629692,0.6334157,0.54588157,-0.10788751,0.4368182,0.58419305,-0.121084295,0.5265668,0.5076575,-0.13843606,0.5832782,0.51564205,-0.12828824,0.6124459,0.5381335,-0.11682361,0.0,D
0.35640037,0.8014126,3.6803044e-07,0.46331012,0.73508096,0.024654428,0.5391092,0.6690084,0.010101007,0.5978519,0.6345008,-0.01782178,0.6209959,0.58446175,-0.04693302,0.4339263,0.47232848,-0.0038494584,0.45740083,0.3420667,-0.029335381,0.47323793,0.24913934,-0.051832866,0.48121178,0.18076304,-0.06991032,0.4141711,0.4868756,-0.045191426,0.5587529,0.39363486,-0.09394098,0.6221396,0.45646602,-0.11906277,0.6358245,0.52836645,-0.12612122,0.41540068,0.5258215,-0.083112784,0.54463965,0.44151413,-0.11895939,0.6128758,0.4968386,-0.11988275,0.63399637,0.5558919,-0.11271491,0.4347049,0.58348066,-0.11958582,0.5234718,0.5116304,-0.1376317,0.5797434,0.51958084,-0.12941022,0.6084202,0.5408165,-0.11933881,0.0,D
0.35644382,0.80143607,4.1942576e-07,0.4611584,0.7339455,0.016626569,0.5422264,0.6690486,-0.0026486802,0.6054049,0.63183707,-0.0329965,0.6245232,0.5805819,-0.06456642,0.4312617,0.4794516,-0.018800162,0.45732743,0.34863758,-0.048475582,0.47163486,0.2560142,-0.073013954,0.48016712,0.18654957,-0.09328185,0.41385162,0.49896124,-0.05812495,0.5573552,0.3922622,-0.11442154,0.62049013,0.449103,-0.1447524,0.6384085,0.52071255,-0.15444806,0.4134343,0.54436797,-0.093909495,0.5378741,0.44632906,-0.13377117,0.60639334,0.49177703,-0.1399044,0.63292813,0.5447186,-0.13667837,0.42855892,0.6081497,-0.12873769,0.50212014,0.5353779,-0.15265895,0.5519706,0.52392894,-0.15318738,0.58063346,0.5257738,-0.14981626,0.0,D
0.357658,0.79916203,4.484174e-07,0.46636894,0.73387337,0.018562978,0.54357356,0.668641,-0.0024313743,0.60685813,0.63183546,-0.035415962,0.62557745,0.5798911,-0.06997862,0.43074518,0.47736722,-0.020955438,0.45604005,0.34566325,-0.05354646,0.47213277,0.2527821,-0.07961773,0.48147827,0.18493322,-0.1006088,0.412802,0.49816677,-0.062569894,0.557938,0.3926043,-0.12102508,0.62079304,0.45055863,-0.14992025,0.6371331,0.5192347,-0.15841049,0.413139,0.54501814,-0.10088223,0.53928876,0.4493299,-0.14359006,0.6081456,0.49565357,-0.14785263,0.6328168,0.54587704,-0.1427912,0.4307449,0.61075765,-0.13798217,0.5047649,0.5376954,-0.16409959,0.5518861,0.5233561,-0.16397513,0.5765683,0.52090377,-0.15981689,0.0,D
0.35662004,0.79828304,3.948441e-07,0.46320993,0.7308841,0.019334981,0.53857696,0.66468114,-0.0022611006,0.60125303,0.627329,-0.036206603,0.6225434,0.5713623,-0.07206092,0.43129528,0.47039473,-0.021606544,0.45733723,0.34273633,-0.05412876,0.47311577,0.25135684,-0.08106279,0.48036844,0.1804561,-0.10302227,0.41175103,0.4908664,-0.06396535,0.55963564,0.39285672,-0.12074279,0.6226035,0.45774603,-0.14827713,0.63487583,0.5263826,-0.15678997,0.41159034,0.53999674,-0.102867864,0.54240626,0.44885772,-0.14401112,0.6110079,0.5015172,-0.14454508,0.6302685,0.5541793,-0.1374858,0.4277209,0.60896766,-0.14067142,0.50625134,0.5329515,-0.16414423,0.5574691,0.52159375,-0.15975928,0.58272135,0.5232452,-0.15298462,0.0,D
0.36005387,0.7974371,4.0872328e-07,0.4652386,0.7300012,0.019176448,0.5397406,0.6648419,0.00045687667,0.5998244,0.62810874,-0.03096515,0.6202339,0.57706934,-0.06365633,0.4314887,0.472789,-0.0134899,0.45691696,0.34564936,-0.04410611,0.47250307,0.25372252,-0.070477955,0.4791377,0.18313864,-0.09166755,0.41179055,0.49015713,-0.054175023,0.55505335,0.39185798,-0.10801127,0.61975294,0.45168877,-0.1358233,0.63434863,0.5198202,-0.14489307,0.41302985,0.5322413,-0.091786735,0.5383424,0.43903592,-0.13054235,0.60826415,0.49046418,-0.13179529,0.6304273,0.54633,-0.12524125,0.43159184,0.59409356,-0.12865004,0.5145144,0.5186826,-0.14994206,0.5687003,0.5191494,-0.14384821,0.5957983,0.53391254,-0.13559158,0.0,D
0.35601446,0.79586554,4.0109924e-07,0.4638243,0.7346201,0.022176834,0.5356153,0.6667282,0.007301717,0.59307003,0.6314846,-0.021033676,0.620143,0.5885479,-0.050761275,0.4336133,0.47618073,-0.004895095,0.4572546,0.3426327,-0.028004047,0.47282383,0.2494292,-0.046430007,0.48068693,0.18160856,-0.061537944,0.41354176,0.4902618,-0.044462327,0.54920435,0.39574546,-0.086635925,0.61345446,0.44608858,-0.10544609,0.6326579,0.5068671,-0.11006364,0.4152801,0.52863383,-0.0813889,0.53993374,0.44091532,-0.11268607,0.6069288,0.48467836,-0.1094337,0.6297068,0.5348936,-0.101256594,0.43611556,0.5843291,-0.11752093,0.5212595,0.508363,-0.13417321,0.57435364,0.5108548,-0.124420814,0.6006212,0.5278527,-0.11395829,0.0,D
