f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.33535713,0.6999002,-3.7813595e-07,0.42526433,0.6559575,-0.04946726,0.5063994,0.5359745,-0.06808108,0.46843725,0.42743883,-0.08216793,0.3842123,0.42938983,-0.085740745,0.48846155,0.4039366,-0.016312582,0.49724916,0.31802148,-0.05933748,0.47628418,0.41977572,-0.08040537,0.46992216,0.45222834,-0.09134493,0.42100045,0.3884049,-0.015313058,0.42674518,0.28852597,-0.06834693,0.4142882,0.41137365,-0.08060025,0.406011,0.44352454,-0.07448954,0.3559121,0.39624605,-0.022865226,0.3515364,0.30935654,-0.07480481,0.35747135,0.42895418,-0.061227784,0.3587841,0.46093377,-0.03753259,0.28781232,0.41522592,-0.03480713,0.29056862,0.37083554,-0.060533393,0.30616933,0.4444478,-0.043486074,0.313182,0.46571538,-0.023610314,0.0,E
0.33376664,0.6960351,-3.9423819e-07,0.4182121,0.6534659,-0.046160813,0.5034095,0.53767735,-0.06363412,0.47817343,0.42834345,-0.07716851,0.39908803,0.41628432,-0.080969505,0.48241538,0.39815652,-0.014921533,0.4963763,0.3150294,-0.057895206,0.47308803,0.41424122,-0.07961772,0.4613299,0.44685322,-0.09075379,0.41696116,0.3804679,-0.015517964,0.42761862,0.2784743,-0.06933259,0.4125097,0.40225506,-0.08318454,0.40158266,0.4389059,-0.077424236,0.35321575,0.38830286,-0.023884768,0.35212588,0.30138546,-0.07530942,0.35659614,0.41962537,-0.06193217,0.35665444,0.4526006,-0.03832841,0.28527397,0.40874326,-0.036215924,0.2886643,0.36520064,-0.06207563,0.3042398,0.437163,-0.044712193,0.3116291,0.4571384,-0.024309063,0.0,E
0.3332756,0.6985318,-4.3100692e-07,0.42173582,0.65332067,-0.047435742,0.5056979,0.5322485,-0.06530642,0.47212714,0.42387137,-0.079030715,0.38888618,0.41848022,-0.08230027,0.48739815,0.40001783,-0.01482468,0.4975701,0.31319666,-0.059713703,0.47239196,0.41647285,-0.08174644,0.46309823,0.45307752,-0.092688866,0.41955185,0.38216522,-0.015212273,0.42646083,0.2792083,-0.07107299,0.410149,0.40380695,-0.08413112,0.40175354,0.44201306,-0.07704934,0.3547506,0.38832125,-0.024092108,0.35003364,0.30174154,-0.07729311,0.35352862,0.42142004,-0.063332625,0.35554472,0.45475385,-0.038631547,0.28721255,0.406611,-0.03724947,0.28888,0.36538094,-0.0642271,0.3029973,0.43968335,-0.046988517,0.31086242,0.46032006,-0.026206974,0.0,E
0.33276433,0.69708824,-4.3272766e-07,0.42539406,0.6538355,-0.04474848,0.50593233,0.5232007,-0.05892505,0.4635198,0.41241035,-0.06953481,0.3776612,0.4241882,-0.06951495,0.48658103,0.39991218,-0.0089199,0.49904788,0.31169093,-0.050159283,0.47294605,0.41093263,-0.06977007,0.46317968,0.44527692,-0.07986628,0.4185516,0.3835489,-0.010031584,0.42549333,0.2814451,-0.062319174,0.40906015,0.4014213,-0.07305708,0.40243456,0.4369482,-0.06510888,0.35416,0.39021444,-0.01990583,0.35054535,0.301664,-0.07052631,0.35347816,0.41772693,-0.056287017,0.35591143,0.4509914,-0.03199751,0.28790677,0.4078588,-0.034109753,0.29044276,0.36228678,-0.05890743,0.30334738,0.4360836,-0.04165874,0.3103853,0.45874932,-0.021654127,0.0,E
0.3331215,0.6976303,-4.0306048e-07,0.4251596,0.65180314,-0.045545116,0.50484264,0.5242695,-0.060751192,0.4609097,0.41572118,-0.07242686,0.3766222,0.42277458,-0.07330187,0.4860363,0.40080306,-0.00929027,0.4983725,0.31477356,-0.05158707,0.47289068,0.4123787,-0.07170036,0.46373355,0.44709554,-0.081810534,0.41786647,0.3829407,-0.010079536,0.4245475,0.28288472,-0.06253429,0.40900517,0.4020104,-0.07283755,0.40433574,0.43775308,-0.0647473,0.35333169,0.38873774,-0.02000175,0.3495378,0.3011477,-0.07073422,0.3523469,0.4162896,-0.056529976,0.35589856,0.4496365,-0.0323972,0.28736186,0.40651524,-0.034382824,0.28990436,0.3633006,-0.05903255,0.3026635,0.43557683,-0.04232613,0.31040013,0.45694715,-0.022804437,0.0,E
0.33640236,0.6958034,-4.0084575e-07,0.4247814,0.6488077,-0.045089763,0.504703,0.5330056,-0.06262612,0.47371218,0.4280137,-0.076838136,0.39634734,0.41866025,-0.081407465,0.48809925,0.3954733,-0.013600606,0.49560428,0.31077695,-0.056659315,0.4766384,0.4104566,-0.07942099,0.4697913,0.45063353,-0.09090099,0.41993153,0.38031662,-0.014379746,0.42535898,0.28143692,-0.065750755,0.41217172,0.40084478,-0.07939383,0.40295172,0.4409261,-0.07490746,0.35523146,0.38938963,-0.02316266,0.35190412,0.30169922,-0.074832544,0.3556685,0.4216492,-0.062390096,0.3559128,0.46303314,-0.039430935,0.28722972,0.41159552,-0.03586198,0.28961164,0.36579722,-0.06478119,0.3045913,0.44042012,-0.04924819,0.3126259,0.46757612,-0.029423304,0.0,E
0.3352763,0.6970743,-4.1404118e-07,0.42424738,0.6508862,-0.045423463,0.504436,0.53192544,-0.062380422,0.4718877,0.42772883,-0.07576381,0.3942234,0.42013052,-0.079345934,0.4872067,0.39957362,-0.01448074,0.49577063,0.30948085,-0.057401776,0.4742803,0.4099911,-0.07958629,0.46623302,0.45359,-0.09031792,0.41921398,0.38462523,-0.014383857,0.42524996,0.28059536,-0.06604553,0.41071326,0.40047872,-0.079333656,0.402024,0.44589004,-0.073893316,0.35472813,0.39263377,-0.022267204,0.3509064,0.3004248,-0.072570704,0.35441655,0.41975522,-0.05970976,0.3557642,0.46524203,-0.036345016,0.28717795,0.4128969,-0.03423494,0.2892164,0.36529964,-0.061629806,0.30434388,0.43916616,-0.045830086,0.31343582,0.46836245,-0.025835348,0.0,E
0.33358976,0.69874763,-4.2729076e-07,0.4242959,0.6521098,-0.04603676,0.50670683,0.53303784,-0.06234323,0.47317377,0.42499512,-0.07487311,0.39305294,0.42021427,-0.07719595,0.48612353,0.40016407,-0.012147514,0.49744418,0.31413,-0.054843396,0.47511274,0.41559914,-0.07641196,0.4664198,0.44991106,-0.08761534,0.41952145,0.38465494,-0.012108056,0.4268081,0.2821116,-0.064852916,0.41237393,0.40442622,-0.07832545,0.40433717,0.4403798,-0.0730118,0.35560083,0.3912875,-0.020391738,0.35135987,0.3013537,-0.07167753,0.35526624,0.42009267,-0.059266567,0.35810995,0.45481986,-0.036539253,0.28837,0.40884483,-0.032743156,0.2876135,0.3638135,-0.05905746,0.30299258,0.43820393,-0.043353062,0.31334138,0.46190345,-0.024292918,0.0,E
0.33513516,0.6972947,-4.1483477e-07,0.4245263,0.6514105,-0.046157263,0.50632626,0.5361146,-0.06419558,0.47382998,0.43095276,-0.07875506,0.393279,0.42390925,-0.08343461,0.48908928,0.39923662,-0.01422243,0.49766606,0.3119809,-0.05911243,0.4744497,0.4137494,-0.08268521,0.46592873,0.45245242,-0.094486214,0.421567,0.384466,-0.014368364,0.4269026,0.28231597,-0.06913782,0.41120172,0.4032606,-0.083988436,0.40338448,0.44383308,-0.07922036,0.35733694,0.39160648,-0.022760633,0.35229403,0.30161354,-0.07458452,0.35450828,0.41929433,-0.062064588,0.35725418,0.45822144,-0.038898926,0.28998908,0.40972093,-0.03534474,0.2884879,0.36381668,-0.061929855,0.30258375,0.4366665,-0.046048664,0.31327876,0.46238917,-0.026431583,0.0,E
0.3373914,0.6958593,-4.2912149e-07,0.42706156,0.6532326,-0.04461501,0.5088902,0.52748126,-0.05947498,0.47258687,0.42237404,-0.07021028,0.39035088,0.42378762,-0.070310704,0.49134427,0.3898807,-0.013518276,0.4982053,0.3109522,-0.055068687,0.47487074,0.41866645,-0.074738115,0.46860707,0.4498212,-0.08539375,0.42145544,0.37751937,-0.013949014,0.42687866,0.28070426,-0.06658766,0.4113606,0.40777466,-0.077161826,0.40370902,0.43878528,-0.07014041,0.35517997,0.38758215,-0.022508314,0.35151458,0.30515638,-0.07366298,0.35429305,0.4271766,-0.058037702,0.3564906,0.45487905,-0.03362846,0.2868893,0.4066598,-0.03503508,0.28980696,0.36761734,-0.05925759,0.30339128,0.44428056,-0.040574342,0.3122544,0.46047223,-0.020191228,0.0,E
