f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.38491327,0.7789583,2.5272757e-07,0.46400383,0.7658947,-0.034815766,0.5409001,0.73074514,-0.062238373,0.58682686,0.6913291,-0.09113528,0.56802684,0.64076394,-0.11619184,0.52617645,0.54588485,-0.03168639,0.5701815,0.49144655,-0.091080725,0.57072335,0.55940753,-0.13669027,0.5564881,0.61912435,-0.1574183,0.48128325,0.5016601,-0.042782255,0.5144745,0.36467057,-0.076759495,0.5420421,0.27921805,-0.10700683,0.5645873,0.19565377,-0.12790877,0.42861187,0.49577308,-0.06204591,0.44674444,0.36889046,-0.09454677,0.4650983,0.28695458,-0.12157896,0.4845067,0.21110615,-0.13792104,0.37455815,0.5219802,-0.08478913,0.35954785,0.42019695,-0.106466986,0.35103074,0.35098547,-0.114746645,0.34739572,0.28470975,-0.1194467,0.0,F
0.38596022,0.7754088,2.5416062e-07,0.46651828,0.7636356,-0.03511775,0.5468011,0.7292617,-0.062419623,0.593488,0.68844396,-0.090947635,0.5710691,0.6401992,-0.115399696,0.52473384,0.5446592,-0.031666864,0.5708123,0.4917981,-0.090502314,0.5711793,0.56267184,-0.13503696,0.55595315,0.62227654,-0.1548565,0.4802186,0.501144,-0.042053077,0.5154241,0.36566067,-0.07581481,0.5441554,0.28217468,-0.10542958,0.567187,0.1988101,-0.1257876,0.4281274,0.49491495,-0.06062253,0.44537303,0.37091655,-0.092610314,0.46539283,0.28920174,-0.119480275,0.4860453,0.21222883,-0.1355917,0.3748637,0.51945466,-0.082720466,0.36039063,0.41804332,-0.10308751,0.3517686,0.34828496,-0.1110323,0.34768808,0.28091538,-0.115715176,0.0,F
0.38729393,0.7716521,2.7185757e-07,0.46659228,0.76125103,-0.035254758,0.5455631,0.7290454,-0.06287726,0.59163064,0.6903639,-0.09152689,0.56977063,0.6422189,-0.11628921,0.5276149,0.54249364,-0.033515494,0.57220507,0.4930272,-0.09116754,0.5717598,0.5611907,-0.13443634,0.5565467,0.6200277,-0.15367368,0.4826522,0.49897957,-0.04387128,0.5167856,0.3628434,-0.07715807,0.5449555,0.27859765,-0.105394036,0.56789845,0.19586828,-0.12482801,0.4296802,0.49275988,-0.062249843,0.44654387,0.3680579,-0.094356716,0.4649966,0.28643817,-0.12046407,0.48423895,0.21048743,-0.13597064,0.37522173,0.5176896,-0.08404234,0.36026543,0.41527873,-0.10510775,0.35109973,0.34559444,-0.11286269,0.34661436,0.27808595,-0.11726171,0.0,F
0.3859525,0.7726993,2.4892944e-07,0.46582133,0.7632815,-0.035432663,0.546517,0.72977734,-0.063140005,0.5937139,0.6897472,-0.09213657,0.57125324,0.6406118,-0.117213,0.528527,0.54451793,-0.03271053,0.5730424,0.49175993,-0.09252071,0.5718089,0.56030744,-0.13769644,0.5563326,0.61867195,-0.15797898,0.4831085,0.50047696,-0.04361718,0.5174664,0.36333263,-0.07795316,0.5455185,0.27959934,-0.107019566,0.56831855,0.19659284,-0.12690152,0.42990088,0.4945106,-0.062893815,0.4467113,0.36859268,-0.095726795,0.4641734,0.286357,-0.12222537,0.48241514,0.20903978,-0.13804169,0.3756609,0.52059096,-0.085691266,0.36116263,0.4189074,-0.1070705,0.35203648,0.34981596,-0.11507366,0.3473534,0.282678,-0.11969072,0.0,F
0.38771406,0.7748419,2.4724156e-07,0.46756023,0.76420254,-0.035790708,0.54766715,0.72979206,-0.06398085,0.5902459,0.68784904,-0.093255065,0.5666897,0.63975,-0.118367605,0.52828217,0.5435055,-0.034287315,0.5712207,0.49047303,-0.09379883,0.56992245,0.5636103,-0.1377919,0.5547297,0.624423,-0.15711328,0.48301548,0.5005212,-0.04504018,0.5172895,0.3624454,-0.080376305,0.544916,0.27780947,-0.1098739,0.5673048,0.19216663,-0.12975992,0.4302567,0.49522042,-0.063885935,0.44636503,0.36741388,-0.09760739,0.4647282,0.28493786,-0.12417473,0.48404485,0.2066457,-0.13959765,0.37640586,0.5212922,-0.0861182,0.36011645,0.4157711,-0.10757835,0.3507347,0.34599608,-0.11523666,0.3463135,0.2780832,-0.11940753,0.0,F
0.38629317,0.77373415,2.3076896e-07,0.4672816,0.7632978,-0.035414416,0.5500963,0.7293067,-0.06287967,0.59446603,0.6864803,-0.09123074,0.5699466,0.6402919,-0.11523542,0.52808505,0.54283714,-0.03340352,0.5713835,0.48864496,-0.09174941,0.5692014,0.56134814,-0.13499236,0.5529841,0.6220068,-0.15407968,0.48235247,0.4998224,-0.043721057,0.5171157,0.36345685,-0.07822445,0.5449193,0.27908647,-0.10759828,0.5669912,0.19433102,-0.12774828,0.4296896,0.4937452,-0.06204612,0.44636858,0.36681044,-0.095172696,0.46477002,0.28522167,-0.122087866,0.4838936,0.20860732,-0.13803299,0.37602925,0.5186586,-0.08371563,0.3606187,0.41520405,-0.1048383,0.35121024,0.3454525,-0.11306615,0.34698695,0.27787068,-0.117887884,0.0,F
0.38510135,0.7785667,2.560292e-07,0.46519005,0.7655025,-0.033914436,0.5453063,0.72987473,-0.061000388,0.59351504,0.690441,-0.089622125,0.57241577,0.64100766,-0.11441044,0.5251384,0.54525286,-0.03125218,0.57223916,0.4924601,-0.0899734,0.57310927,0.5618291,-0.13520595,0.557849,0.62082875,-0.1558119,0.48113632,0.50217855,-0.042885315,0.51665413,0.36674857,-0.076560274,0.54478383,0.2805596,-0.10800832,0.56665146,0.19584829,-0.13019891,0.42876858,0.49666086,-0.062430024,0.44705123,0.37057656,-0.09448291,0.46559232,0.2871637,-0.12311728,0.4841401,0.20969006,-0.14095351,0.37486666,0.5220624,-0.08530694,0.3608318,0.4205472,-0.10648316,0.35176587,0.3512625,-0.11541082,0.3470354,0.28421855,-0.12101301,0.0,F
0.38595557,0.77886677,2.693544e-07,0.4658247,0.7652733,-0.034961976,0.54450256,0.73053944,-0.063085675,0.5908549,0.6910434,-0.092539236,0.56988335,0.64105284,-0.118168816,0.52477413,0.54510516,-0.03312763,0.5722105,0.49398062,-0.09210685,0.5738341,0.56352067,-0.13713765,0.55936396,0.6236278,-0.1574767,0.48108533,0.50228125,-0.044160463,0.5163237,0.3667675,-0.07788965,0.5444795,0.28060007,-0.10889036,0.56695867,0.19506544,-0.13082659,0.42922214,0.49687496,-0.063090205,0.44686797,0.37137055,-0.09494488,0.4653139,0.28778332,-0.12294017,0.4841027,0.20983484,-0.14043452,0.37545344,0.5223421,-0.0854556,0.36064038,0.42051804,-0.10632326,0.35170096,0.35076585,-0.11485441,0.3474184,0.2828601,-0.12024308,0.0,F
0.38725767,0.77731377,2.5532015e-07,0.46690062,0.76495254,-0.035044618,0.5445557,0.7297732,-0.06279341,0.590479,0.6909864,-0.09176908,0.5704046,0.6406392,-0.11669215,0.52558136,0.5442145,-0.032398533,0.57189405,0.49670553,-0.09081703,0.5725746,0.5669009,-0.13499881,0.55636585,0.6269562,-0.1545253,0.48178837,0.50098205,-0.042921763,0.51643825,0.3651922,-0.075925454,0.54445434,0.27901483,-0.10494922,0.56625426,0.19433925,-0.12497529,0.43025756,0.49498597,-0.061498944,0.44724572,0.37058252,-0.09284983,0.46631846,0.2877964,-0.11929462,0.4853646,0.21062914,-0.13523886,0.3774113,0.5196531,-0.08360929,0.36128867,0.41926783,-0.10457258,0.35071307,0.34995228,-0.11245323,0.34455055,0.2825702,-0.11684102,0.0,F
0.38602963,0.7746682,2.6792878e-07,0.46576652,0.7653311,-0.037502203,0.5477308,0.73234457,-0.06639573,0.5938162,0.6913755,-0.09576141,0.5698512,0.6442154,-0.121252894,0.5268511,0.54524803,-0.03682183,0.5727064,0.49440855,-0.09489984,0.5730833,0.56297255,-0.13812031,0.55766004,0.6211831,-0.15726086,0.4819392,0.5013428,-0.046379622,0.5183315,0.364657,-0.07944209,0.5466237,0.2798843,-0.108222164,0.56815785,0.19739518,-0.128218,0.42958492,0.49471074,-0.06397323,0.4461177,0.3675821,-0.09570748,0.46445045,0.28513256,-0.123189114,0.48274404,0.20949739,-0.14003181,0.3756648,0.5193289,-0.08509809,0.36065698,0.41644526,-0.10610218,0.35098124,0.3473119,-0.11503975,0.345451,0.28098372,-0.12054454,0.0,F
0.38541043,0.7741674,2.642137e-07,0.46491173,0.76480407,-0.03726739,0.5470968,0.7322159,-0.066103354,0.5933901,0.69153225,-0.09545061,0.56911355,0.6437894,-0.12080301,0.5266984,0.5439584,-0.03630177,0.5731761,0.49415344,-0.09498957,0.5737537,0.5643669,-0.13868934,0.55806226,0.62323135,-0.15792795,0.48219845,0.5001683,-0.046123542,0.5190344,0.36369738,-0.079524316,0.5475129,0.27964604,-0.108392395,0.56911594,0.19709554,-0.12830098,0.43005764,0.49370432,-0.06403616,0.44685388,0.36710712,-0.09601849,0.46515536,0.28550982,-0.12314382,0.48324013,0.20991534,-0.13958137,0.37605384,0.51857793,-0.08549233,0.36060774,0.41576147,-0.10635868,0.35064852,0.34714973,-0.11477227,0.344801,0.28065383,-0.119809,0.0,F
0.38411894,0.7789494,2.4708578e-07,0.46392894,0.7669203,-0.034988157,0.5458203,0.7318027,-0.06207104,0.5939343,0.68981963,-0.090353414,0.57307655,0.6396023,-0.1149439,0.52377343,0.5474539,-0.031797156,0.56959844,0.49210462,-0.090355046,0.5719344,0.56013876,-0.13555238,0.55822384,0.6193043,-0.15618932,0.4802785,0.5045693,-0.042599827,0.5158133,0.36785257,-0.07584548,0.54499054,0.28344515,-0.10691963,0.56860125,0.19983196,-0.12895453,0.428735,0.49908122,-0.061456647,0.4469702,0.37273508,-0.093527965,0.46569976,0.28960454,-0.12225269,0.4852424,0.2118085,-0.14026403,0.3750115,0.5238333,-0.08371455,0.36057603,0.42123434,-0.10515169,0.35140583,0.35146642,-0.1144766,0.34708852,0.28365773,-0.12050939,0.0,F
0.38537598,0.7785806,2.6134234e-07,0.46470195,0.76657283,-0.03453503,0.54400057,0.7319293,-0.061619177,0.5900009,0.69222516,-0.08984583,0.5694615,0.6420515,-0.11400189,0.52539617,0.5462765,-0.031955924,0.57149756,0.49681243,-0.0897134,0.572422,0.5661408,-0.13313006,0.55720973,0.6256869,-0.15225151,0.48119947,0.5027313,-0.042815708,0.51556337,0.36489093,-0.07605307,0.54416907,0.27964565,-0.10527051,0.5671042,0.19548768,-0.12543133,0.4287969,0.49601862,-0.061702088,0.4457204,0.37062755,-0.09352309,0.4645771,0.2876345,-0.12053322,0.48376167,0.20981336,-0.13678055,0.3746716,0.5201963,-0.08395079,0.36005098,0.41725323,-0.1044333,0.35107365,0.34783706,-0.11222786,0.34662715,0.2801126,-0.11680354,0.0,F
0.38470656,0.77858746,2.566293e-07,0.46474454,0.76601917,-0.03498596,0.5469324,0.7299321,-0.062851556,0.59393805,0.68814147,-0.09191516,0.5669492,0.6412878,-0.11693522,0.5260235,0.5458133,-0.032553367,0.5700401,0.49569964,-0.09178804,0.570795,0.56745577,-0.13666369,0.5561221,0.62833047,-0.15675205,0.48019898,0.5024153,-0.04345942,0.5140728,0.3678088,-0.07753443,0.54272604,0.28154394,-0.10805767,0.56607264,0.19547564,-0.12940253,0.4274825,0.49617812,-0.06232657,0.4444371,0.3704335,-0.0945472,0.46291655,0.28844863,-0.12170307,0.48299333,0.21114227,-0.1382384,0.37365305,0.5213375,-0.08466668,0.35796627,0.42014247,-0.10502025,0.34834653,0.35078388,-0.11286592,0.3443781,0.2829565,-0.117661975,0.0,F
0.38555565,0.77859044,2.6116243e-07,0.46583223,0.7654382,-0.034754958,0.54765457,0.7289687,-0.062248625,0.5945048,0.68726987,-0.09087415,0.56755966,0.6416255,-0.1152207,0.5262243,0.5455208,-0.032207537,0.57023305,0.49613178,-0.09037268,0.56993294,0.5693125,-0.13413392,0.554678,0.6300461,-0.15355222,0.48048246,0.5022195,-0.042663977,0.513991,0.36842397,-0.07664925,0.54286295,0.28219694,-0.10677136,0.56649494,0.195254,-0.12777494,0.42761096,0.4959979,-0.06093461,0.44402093,0.37147397,-0.09293684,0.46318123,0.28966504,-0.119742066,0.48383367,0.21227998,-0.13591982,0.37378266,0.52066284,-0.08261479,0.35824877,0.41998303,-0.10230496,0.34881437,0.35045642,-0.10975373,0.34512603,0.282362,-0.114312425,0.0,F
0.3849718,0.77866054,2.582125e-07,0.46510085,0.76612926,-0.0351724,0.5473895,0.7295648,-0.06258661,0.59455764,0.6874641,-0.09101848,0.56799126,0.6409024,-0.11515401,0.526118,0.5453857,-0.032189775,0.57013303,0.49552953,-0.09003453,0.56992096,0.56860685,-0.13363783,0.5548297,0.62916756,-0.15302645,0.48045546,0.5018933,-0.042306304,0.51376283,0.36845824,-0.076097175,0.5425703,0.28250074,-0.10628665,0.5662581,0.1952551,-0.12740076,0.42755353,0.49566525,-0.06024739,0.44444156,0.37114075,-0.09216154,0.4636481,0.28930402,-0.119007036,0.48418543,0.21173126,-0.13525526,0.37354603,0.52026004,-0.08162086,0.35829234,0.4194495,-0.101447694,0.3488425,0.34976983,-0.10904252,0.34500206,0.28152135,-0.113693394,0.0,F
0.3880077,0.7755227,2.7696655e-07,0.46542916,0.76424265,-0.037907384,0.54523706,0.7297276,-0.06621102,0.5910866,0.6892009,-0.09501834,0.5687638,0.6418446,-0.11940103,0.5277951,0.54206365,-0.0337279,0.5708304,0.49387187,-0.09115076,0.5709053,0.5638058,-0.13417049,0.5562037,0.62427795,-0.15295403,0.48231715,0.49825928,-0.04251506,0.51494133,0.36477506,-0.07491537,0.54301244,0.27920416,-0.103205115,0.56597507,0.19475931,-0.122761965,0.42984375,0.49167472,-0.059581377,0.44694474,0.36863336,-0.09069942,0.46499732,0.28739402,-0.11689301,0.4836769,0.21132833,-0.1326765,0.37607417,0.5162023,-0.08043069,0.36043423,0.4165843,-0.10086964,0.3498368,0.34872562,-0.10874346,0.34383297,0.28244993,-0.11322684,0.0,F
