f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.7298181,0.9512125,7.1806187e-07,0.6531338,0.9205457,-0.03692385,0.5948999,0.83382964,-0.060790256,0.62481856,0.7417608,-0.083220996,0.6878615,0.7010435,-0.1080052,0.5845448,0.64883006,-0.04528953,0.55059457,0.5105502,-0.07774002,0.530345,0.42352533,-0.10541371,0.5145926,0.34404984,-0.12844265,0.63726187,0.61591464,-0.0547151,0.6099733,0.45546564,-0.08196594,0.5984833,0.35136044,-0.1088904,0.58881223,0.25795448,-0.13095875,0.69141257,0.6180074,-0.068606555,0.6713342,0.46883643,-0.09574423,0.6594849,0.37331668,-0.122250475,0.64679956,0.28804764,-0.14316154,0.7497959,0.64508355,-0.08637759,0.7447361,0.5299731,-0.11218888,0.73921597,0.45180443,-0.12862413,0.7318486,0.37996396,-0.14235526,1.0,Four
0.7265185,0.9324099,7.5566936e-07,0.6459638,0.90426457,-0.036755145,0.5852188,0.8211676,-0.061268914,0.6090302,0.73111594,-0.08450424,0.66693056,0.69366723,-0.11009868,0.5730743,0.6316293,-0.046348285,0.5374694,0.49566513,-0.07958502,0.5171764,0.40902328,-0.10806821,0.5006321,0.32886666,-0.13158855,0.6256419,0.59895635,-0.05664519,0.5983235,0.4382178,-0.08449736,0.58649075,0.33315665,-0.111358054,0.5763155,0.2383937,-0.13325866,0.68032056,0.60126543,-0.0714205,0.66029453,0.45141485,-0.09871662,0.64771146,0.35613364,-0.124514766,0.63416827,0.27033147,-0.14486156,0.7392097,0.6283345,-0.090178445,0.73463714,0.5123445,-0.11556958,0.7281569,0.4339475,-0.13121633,0.7189717,0.361102,-0.14440297,1.0,Four
0.7254058,0.93280816,7.6702213e-07,0.6443681,0.9062834,-0.039550733,0.58077145,0.82281756,-0.06506316,0.6048877,0.7310666,-0.08879969,0.66684663,0.6898843,-0.11454058,0.5723969,0.63008934,-0.04747871,0.5369888,0.49443623,-0.080651574,0.51607907,0.4083321,-0.1092883,0.4990369,0.3288529,-0.13303103,0.62523097,0.5970583,-0.056090873,0.5974699,0.43628567,-0.08334035,0.5853786,0.33202282,-0.11003739,0.57495666,0.23853087,-0.13212515,0.6795525,0.59878176,-0.06953946,0.65965766,0.45002288,-0.09599415,0.6462493,0.35395446,-0.122437805,0.6320554,0.26914272,-0.14358452,0.7382607,0.6251569,-0.08727377,0.73435086,0.5105616,-0.11196442,0.72710913,0.43143594,-0.1283589,0.71721506,0.35922623,-0.14238818,1.0,Four
0.7249815,0.9328923,7.5623296e-07,0.64343995,0.90550816,-0.038894802,0.5810411,0.8227135,-0.06457823,0.60553503,0.73222613,-0.08864752,0.6662717,0.68981147,-0.11475293,0.5715182,0.62901646,-0.047346026,0.5372778,0.49352512,-0.081159554,0.5172051,0.40666884,-0.11033566,0.5008791,0.32600936,-0.13453038,0.62440115,0.5965699,-0.056836005,0.5968556,0.4367522,-0.08488696,0.58489037,0.33240396,-0.1123423,0.5744061,0.23793092,-0.13504383,0.67883956,0.59947217,-0.07112158,0.65967727,0.4515362,-0.09859583,0.64700055,0.35460457,-0.12562473,0.63299483,0.26791394,-0.14719293,0.73796254,0.6272522,-0.0895928,0.7344401,0.5120374,-0.11527915,0.727192,0.43259144,-0.13213147,0.71671164,0.35909888,-0.14651741,1.0,Four
0.7257385,0.92758256,7.6735745e-07,0.64270985,0.90164006,-0.03854796,0.58226043,0.82073927,-0.06445398,0.6076797,0.7332443,-0.08895575,0.6632811,0.6913407,-0.115585536,0.5715187,0.63028437,-0.04737224,0.5353668,0.49399143,-0.08123887,0.5155432,0.4072529,-0.10975624,0.5002005,0.32688943,-0.13294648,0.6246209,0.59744084,-0.05696611,0.59651315,0.4364555,-0.08509284,0.58463794,0.3314111,-0.11255262,0.5750822,0.23669565,-0.13500753,0.6789447,0.5993023,-0.071306154,0.6592578,0.45155436,-0.098694876,0.646534,0.3551576,-0.12555434,0.6333285,0.2687946,-0.14678311,0.73717797,0.6252806,-0.08973493,0.7327134,0.51060385,-0.11464638,0.72532856,0.43171585,-0.1306733,0.71547025,0.3585557,-0.1443875,1.0,Four
0.7229529,0.9282556,7.7363154e-07,0.6397171,0.8988633,-0.03719343,0.5817521,0.8185631,-0.06295657,0.60914993,0.73330915,-0.08758021,0.665456,0.69271576,-0.11445923,0.571485,0.6312451,-0.046815492,0.5362037,0.49545443,-0.08110686,0.51645756,0.40868872,-0.109815285,0.5008482,0.32841542,-0.13293056,0.62420434,0.59947854,-0.057293784,0.59622544,0.43873554,-0.08594637,0.583918,0.33356547,-0.11357357,0.573841,0.23904258,-0.13578855,0.6788837,0.6020174,-0.07234539,0.6592515,0.45292106,-0.10038977,0.64649194,0.35621145,-0.12683514,0.63268864,0.26961026,-0.14734477,0.7380591,0.6285803,-0.09130672,0.73436,0.5121937,-0.1164939,0.7274813,0.43314493,-0.13166003,0.7174255,0.3598902,-0.14438003,1.0,Four
0.7167486,0.93497336,7.5694675e-07,0.6368897,0.9033203,-0.03536761,0.5781517,0.81600237,-0.057753026,0.60922974,0.7255909,-0.07912049,0.6709977,0.6852659,-0.10320525,0.5673661,0.6312511,-0.04305654,0.53237355,0.49397585,-0.07436312,0.511746,0.40637204,-0.10131418,0.49520627,0.32657155,-0.12381307,0.62095773,0.5979022,-0.05318828,0.5930402,0.43625408,-0.07910203,0.580909,0.33042702,-0.105698094,0.57049805,0.23614195,-0.12749793,0.6758499,0.6001755,-0.06775486,0.65542,0.44940227,-0.093923226,0.64256054,0.35227808,-0.12125719,0.62870884,0.26622263,-0.14269528,0.73480177,0.6275462,-0.08607662,0.7309017,0.51094246,-0.111183845,0.7243967,0.43150175,-0.12791865,0.7151991,0.35873994,-0.14186764,1.0,Four
0.7165056,0.9368567,7.2688186e-07,0.63643026,0.90595305,-0.036017958,0.57684326,0.81751215,-0.05891004,0.60807735,0.7293776,-0.08079595,0.67051226,0.68944263,-0.10520888,0.5665587,0.6305856,-0.043126855,0.5327611,0.49236488,-0.07456244,0.5129907,0.4055212,-0.10171569,0.49692625,0.32540497,-0.12461643,0.6205045,0.59776896,-0.053123746,0.593589,0.43639028,-0.07909356,0.58217454,0.33241698,-0.10599016,0.57197267,0.23847756,-0.12848324,0.6754501,0.6003102,-0.06771116,0.6554386,0.45016706,-0.09387705,0.6433291,0.3529967,-0.121475294,0.62987936,0.26583746,-0.14354923,0.73382133,0.6277043,-0.08612751,0.7291877,0.5119667,-0.11118932,0.72264427,0.43252784,-0.12828936,0.71329856,0.35916096,-0.14297034,1.0,Four
0.7175836,0.9371679,7.376736e-07,0.6369948,0.9072138,-0.03483757,0.57756746,0.8193164,-0.057537436,0.60607886,0.7311933,-0.07944151,0.6640052,0.6933619,-0.1036876,0.56280667,0.63254064,-0.04169243,0.52844435,0.49370497,-0.07328682,0.50944066,0.40661854,-0.10011196,0.49457055,0.32697958,-0.12229969,0.617123,0.5985905,-0.052264232,0.589093,0.435789,-0.07835582,0.5774241,0.33066246,-0.104254134,0.5680289,0.23745555,-0.12546766,0.67327297,0.60061723,-0.067430414,0.6519196,0.4501246,-0.093300335,0.63959527,0.35401738,-0.118889526,0.62642395,0.26783407,-0.1391977,0.7330031,0.6277928,-0.086373895,0.7271882,0.5117427,-0.11054221,0.7200891,0.4326316,-0.12573516,0.7105424,0.35943437,-0.13871162,1.0,Four
0.72067827,0.93751466,7.491197e-07,0.63940704,0.90789443,-0.035811216,0.5799341,0.82048887,-0.05912374,0.6068232,0.73127294,-0.08160234,0.6633629,0.69142854,-0.1061264,0.5645664,0.63015574,-0.04102545,0.52850455,0.49267286,-0.072828084,0.5082353,0.40577924,-0.10012368,0.49258214,0.3260252,-0.1226139,0.6179533,0.59760654,-0.051313028,0.58887994,0.436775,-0.077559926,0.5768827,0.33174777,-0.10334199,0.56791013,0.23822412,-0.124345794,0.6737038,0.6002168,-0.0664472,0.6519051,0.45077103,-0.09247091,0.63943267,0.35517043,-0.11720629,0.6263921,0.2686366,-0.13674404,0.73324466,0.6272827,-0.085611485,0.72767556,0.5112193,-0.109577015,0.721073,0.43210799,-0.12407693,0.71197844,0.35823604,-0.13640656,1.0,Four
