f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.52007884,0.83963263,1.6077809e-07,0.5987512,0.7601974,-0.011731758,0.6340931,0.670483,-0.028346574,0.66364175,0.6037085,-0.048899937,0.70236075,0.5542047,-0.0665504,0.5172626,0.5357584,-0.0026307711,0.6308348,0.5094545,-0.045401197,0.69664955,0.51449764,-0.07727763,0.74317324,0.52244866,-0.09663284,0.49606216,0.5410296,-0.01679646,0.6278578,0.54084295,-0.06381391,0.6247478,0.6133052,-0.07933825,0.5923444,0.64057785,-0.08171027,0.49608952,0.5726702,-0.035443604,0.6241921,0.6010113,-0.07745007,0.61490494,0.6705427,-0.07341877,0.5819599,0.6830397,-0.06169361,0.50832444,0.61596555,-0.056507587,0.6086785,0.6499051,-0.07956625,0.60150635,0.70419693,-0.07302142,0.57190514,0.7149309,-0.062397648,0.0,G
0.5064681,0.8494827,1.7803691e-07,0.59131914,0.77088904,-0.007664738,0.62999475,0.6837586,-0.024501646,0.6607412,0.6182225,-0.046386205,0.70012915,0.56235987,-0.06607787,0.5138231,0.5438333,-0.00011580303,0.6251882,0.51549244,-0.041783106,0.69444704,0.51522166,-0.07372291,0.745651,0.51930183,-0.093913116,0.49447995,0.54621994,-0.017258532,0.6265251,0.54616475,-0.06473552,0.6250695,0.62383366,-0.080498554,0.5943076,0.6516389,-0.08264436,0.49536785,0.57681745,-0.038209856,0.6253603,0.60593414,-0.08117819,0.6171702,0.6800114,-0.07600624,0.584819,0.69279456,-0.06302307,0.50784004,0.6192065,-0.061057363,0.60994184,0.6519703,-0.08399325,0.6035296,0.70849586,-0.075123586,0.57400715,0.7188055,-0.06262153,0.0,G
0.5170259,0.8450821,1.9873838e-07,0.5956298,0.76469815,-0.0058745053,0.6298635,0.677456,-0.021210862,0.6597612,0.61327744,-0.041473847,0.6988064,0.5588207,-0.059272103,0.51585793,0.5466194,-0.00025313604,0.6226851,0.5162186,-0.041676495,0.691002,0.51291335,-0.07286813,0.74064684,0.5151245,-0.09253371,0.49614882,0.5485406,-0.017556747,0.6251898,0.5397953,-0.06474457,0.62710893,0.61157495,-0.08020115,0.5967922,0.63886994,-0.082323395,0.49706835,0.57695097,-0.038429234,0.62383527,0.6039475,-0.081896104,0.61808574,0.6750212,-0.07691568,0.5858148,0.6867615,-0.06407106,0.50958204,0.6172256,-0.060892627,0.607906,0.65080345,-0.08493911,0.603034,0.7063154,-0.076910846,0.5734372,0.71636105,-0.06511514,0.0,G
0.51216596,0.8445211,1.5615652e-07,0.5927239,0.76494634,-0.007941293,0.6287312,0.6755099,-0.022510266,0.6603556,0.6097927,-0.041461147,0.7008454,0.5585997,-0.05777797,0.5116127,0.54430443,0.0008449687,0.6259095,0.514817,-0.040750682,0.6946553,0.5171985,-0.07375147,0.74429405,0.5231615,-0.09462855,0.493707,0.5464029,-0.014933435,0.62630975,0.5448779,-0.062393308,0.62423605,0.61848253,-0.079968564,0.5925535,0.6483587,-0.08365116,0.49693972,0.57506007,-0.034552317,0.6254574,0.60626006,-0.07642073,0.6169009,0.6781053,-0.073097676,0.58412814,0.6924203,-0.061666172,0.5113573,0.6148924,-0.05622724,0.6112206,0.6524666,-0.07851236,0.6045023,0.7082986,-0.07136648,0.5755432,0.7193607,-0.060318355,0.0,G
0.51269746,0.84521425,1.5483815e-07,0.5953405,0.7642979,-0.005306471,0.631587,0.67507684,-0.019270973,0.66010725,0.6083949,-0.038278818,0.69871294,0.5550004,-0.05467804,0.51561177,0.5410862,0.002454249,0.6262756,0.50957704,-0.039482713,0.69533,0.51375604,-0.07223192,0.7459307,0.5207146,-0.09298437,0.49349687,0.5439974,-0.015313049,0.6248107,0.5425718,-0.06332248,0.62266403,0.61835814,-0.080863185,0.59143394,0.64746505,-0.08458089,0.49370924,0.5751717,-0.036830388,0.6241893,0.60558784,-0.07993467,0.6151031,0.6789395,-0.07642867,0.58179677,0.69233054,-0.06483042,0.5062812,0.6180442,-0.06010138,0.60867476,0.65299225,-0.083186075,0.60181165,0.70897585,-0.07580565,0.57194567,0.7195401,-0.06463969,0.0,G
0.5065276,0.8461317,1.7462571e-07,0.59298617,0.7659293,-0.009235437,0.6277888,0.6788952,-0.025611,0.6554774,0.6121607,-0.04659266,0.69321394,0.5577999,-0.06496534,0.5127682,0.545107,-0.0031252578,0.6244176,0.51397777,-0.048568137,0.694023,0.51362365,-0.083552934,0.74531174,0.51634735,-0.10547552,0.49260992,0.549873,-0.019937098,0.625245,0.542643,-0.07155643,0.6230527,0.61594677,-0.08966097,0.5900345,0.6449602,-0.09310144,0.49310964,0.5810761,-0.04085732,0.6234008,0.60698277,-0.08675081,0.6157322,0.6786928,-0.08279601,0.5823883,0.6919125,-0.07016685,0.5055784,0.62362397,-0.06391252,0.6074868,0.6566081,-0.08885842,0.6017107,0.7111268,-0.08151978,0.5727813,0.72102165,-0.070020884,0.0,G
0.5072811,0.84483296,1.9218753e-07,0.58584934,0.7723777,-0.008902602,0.6262234,0.6835489,-0.024984421,0.65923846,0.6153474,-0.045352697,0.70050216,0.5604312,-0.063752815,0.51517326,0.5441531,-0.0010239474,0.6257649,0.5149115,-0.04034414,0.69407284,0.5132106,-0.06991462,0.74485147,0.5173931,-0.08838371,0.49406716,0.54629666,-0.016229205,0.6256971,0.541813,-0.06209015,0.6227035,0.6152117,-0.07752822,0.5915314,0.6457422,-0.07936018,0.49333826,0.5764451,-0.035067916,0.6235218,0.6027747,-0.07706219,0.6130417,0.6753005,-0.07339087,0.58088154,0.69082326,-0.06113256,0.50496113,0.6180358,-0.05567301,0.60752964,0.64976376,-0.077847295,0.6013375,0.7055624,-0.07027522,0.57327086,0.7181933,-0.058647897,0.0,G
0.51487803,0.8425813,1.9409701e-07,0.5909663,0.7667099,-0.007291049,0.6288456,0.6784873,-0.0232412,0.6600874,0.612266,-0.043951526,0.69967794,0.55871904,-0.06269149,0.51683694,0.54138535,-0.00042987085,0.6257709,0.5141797,-0.040121827,0.6931243,0.5117141,-0.07013701,0.74368954,0.51468873,-0.089057416,0.49518916,0.5442069,-0.016841188,0.6264026,0.5445628,-0.06300232,0.62289447,0.61857116,-0.07828954,0.591065,0.6466128,-0.08024894,0.4942085,0.57528037,-0.036821786,0.6232321,0.6058833,-0.07921211,0.61330223,0.6780475,-0.07512797,0.5806418,0.6915868,-0.06279141,0.50511235,0.6178262,-0.058506064,0.6069355,0.6515319,-0.08126364,0.60121703,0.7067333,-0.07354676,0.5726838,0.71799487,-0.061892413,0.0,G
0.51581,0.8446886,2.018817e-07,0.5972563,0.7595163,-0.0075484044,0.6310616,0.67286843,-0.02448371,0.6596923,0.6085739,-0.04601173,0.70041394,0.5572042,-0.06497684,0.5104545,0.54337174,-0.003960389,0.6275709,0.5112286,-0.046946865,0.6954841,0.51383996,-0.07986852,0.7445712,0.5191039,-0.10092032,0.4907898,0.54858226,-0.02146456,0.62820363,0.54048216,-0.07071103,0.6263948,0.6152619,-0.08741169,0.5925666,0.646446,-0.09086604,0.49309802,0.5807128,-0.042605545,0.62599444,0.6001588,-0.084789015,0.6185573,0.673145,-0.0794452,0.5837288,0.68895376,-0.067533724,0.50793827,0.6237038,-0.06585651,0.6099233,0.6509788,-0.0887106,0.6040289,0.707105,-0.08085342,0.5730137,0.71881396,-0.069905736,0.0,G
0.51276624,0.84691536,1.3560114e-07,0.5934617,0.7616358,-0.008752919,0.6281313,0.6729701,-0.025827916,0.6576874,0.6065048,-0.047673363,0.6975268,0.55325174,-0.066538855,0.5088425,0.5431634,-0.002293377,0.62742704,0.5101075,-0.04616016,0.6915824,0.51604444,-0.07802091,0.734843,0.5214928,-0.09727901,0.49047807,0.5473218,-0.018743424,0.6286452,0.5396756,-0.06640864,0.62438715,0.61433965,-0.08030709,0.5895756,0.64210486,-0.08151405,0.49273664,0.5779206,-0.039571743,0.6265995,0.59959525,-0.08071848,0.6170094,0.6730361,-0.07438923,0.5824404,0.68789786,-0.061605137,0.5072988,0.62010956,-0.06276859,0.60929346,0.64958036,-0.0847181,0.6025004,0.70569414,-0.07710898,0.57206917,0.71765685,-0.06612365,0.0,G
