f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.23605233,0.6457189,1.3799727e-06,0.30650836,0.49247178,0.010224143,0.41900957,0.43150806,-0.00057810196,0.5119339,0.46159005,-0.014338078,0.570586,0.5215561,-0.027392065,0.47235212,0.38325104,-0.047168266,0.6492634,0.40386105,-0.06710459,0.7414423,0.42596376,-0.072342865,0.80847776,0.44413018,-0.071039215,0.4901449,0.48745582,-0.06122358,0.671512,0.4980625,-0.073581904,0.7749777,0.51372254,-0.07603732,0.8472712,0.5265569,-0.07664328,0.4963815,0.59395385,-0.06859837,0.59778845,0.5867214,-0.06990354,0.560447,0.5798259,-0.051761854,0.5120252,0.5738768,-0.035409756,0.49321872,0.6852496,-0.075552724,0.5572855,0.65419185,-0.061106313,0.5286232,0.6423094,-0.03138283,0.49278027,0.6404062,-0.006320728,0.0,H
0.24742743,0.64605594,1.403263e-06,0.31810063,0.49003446,0.0103288395,0.42764056,0.42987627,-0.0016952738,0.51879877,0.46076465,-0.016758682,0.5766892,0.51887435,-0.03190511,0.48064494,0.38130313,-0.04946792,0.6519251,0.40584904,-0.07229974,0.7428879,0.4267239,-0.08110845,0.8100976,0.44426426,-0.08278465,0.49639943,0.4865319,-0.06601639,0.67565125,0.50064695,-0.08075086,0.7784961,0.51388717,-0.08502007,0.8520449,0.524196,-0.08739912,0.5000133,0.59393126,-0.075790174,0.60584295,0.5832618,-0.07936249,0.56841975,0.57338005,-0.05984799,0.5219721,0.5669592,-0.042899974,0.49387413,0.68609995,-0.08519677,0.5626648,0.64970434,-0.07344207,0.5320682,0.6362039,-0.04208176,0.49592972,0.63713855,-0.015832366,0.0,H
0.23821378,0.64483786,1.3681863e-06,0.31052822,0.4924426,0.013804529,0.4220568,0.42947984,0.0057315687,0.51015025,0.46038082,-0.0061617233,0.5622879,0.5213693,-0.01825206,0.47667783,0.38191128,-0.041833535,0.6485499,0.40491045,-0.06149308,0.73900294,0.42290455,-0.06843245,0.8055279,0.43888065,-0.06919855,0.4970233,0.4860793,-0.058741212,0.6727359,0.49462906,-0.071461394,0.7760955,0.5082069,-0.07630465,0.8500924,0.52089185,-0.07883236,0.5023925,0.59422153,-0.06872281,0.59731764,0.5818702,-0.07071459,0.5583895,0.5723534,-0.054656815,0.51043135,0.5650318,-0.040142924,0.49566233,0.68700475,-0.078109086,0.5536639,0.6531797,-0.06701665,0.5231459,0.63804126,-0.039438244,0.48690328,0.63511163,-0.015703576,0.0,H
0.23811558,0.642639,1.3666165e-06,0.3125489,0.48873794,0.013610612,0.42509127,0.42528972,0.0045458293,0.51438314,0.45456916,-0.008039015,0.56981456,0.5124469,-0.020396687,0.47792956,0.37996852,-0.044951547,0.6501148,0.40489376,-0.06348593,0.7393052,0.4227354,-0.06883228,0.8045796,0.43722576,-0.068668,0.49422038,0.4850831,-0.062031396,0.6729723,0.49580532,-0.0742659,0.7773098,0.50858635,-0.07780232,0.8509103,0.5202391,-0.07981524,0.4976965,0.5937767,-0.071855985,0.59856087,0.5870232,-0.07234306,0.56145585,0.5780558,-0.053798348,0.5139566,0.5705361,-0.038190793,0.4914217,0.68725085,-0.08111151,0.5566087,0.6581543,-0.06770679,0.52633053,0.64351124,-0.03770425,0.48928976,0.6404205,-0.012744187,0.0,H
0.2366926,0.64337164,1.3800151e-06,0.30843508,0.49149576,0.009473943,0.4204349,0.43010968,-0.0025662326,0.5109204,0.4596502,-0.01793273,0.56702405,0.51710814,-0.032998532,0.4745958,0.38465333,-0.04952292,0.64735717,0.4022302,-0.07295504,0.7396525,0.4207705,-0.08152272,0.8066591,0.43818218,-0.08207556,0.4876608,0.49111432,-0.06510297,0.6688073,0.49771675,-0.081399344,0.77444446,0.50872284,-0.08621278,0.8480662,0.52175957,-0.087942764,0.4905926,0.5985181,-0.0740249,0.59775394,0.58741206,-0.07923385,0.56229556,0.5744877,-0.06088368,0.5145026,0.56904393,-0.04328344,0.4864897,0.68992054,-0.0825008,0.5611182,0.65244156,-0.07044874,0.5325887,0.63425964,-0.038943775,0.49525392,0.63303256,-0.011991261,0.0,H
0.23797303,0.64421093,1.3784428e-06,0.30975997,0.49201554,0.009047333,0.42224866,0.4324036,-0.0032161607,0.51266783,0.4653861,-0.018774651,0.5684236,0.5245397,-0.03372707,0.47504547,0.38521263,-0.048497315,0.6479436,0.40384293,-0.0711587,0.73938775,0.42161167,-0.079314515,0.80628943,0.437095,-0.07988347,0.48757178,0.49134448,-0.06421337,0.66827595,0.4976308,-0.08072906,0.7741803,0.50728005,-0.08598625,0.8489145,0.51819,-0.08812136,0.49050102,0.59806865,-0.073378846,0.598319,0.5874234,-0.07930089,0.5622139,0.5761265,-0.060996365,0.51423424,0.5713547,-0.0432874,0.48702192,0.6891934,-0.08217034,0.563244,0.6528163,-0.07072157,0.5347296,0.63502246,-0.039337527,0.49750897,0.6339186,-0.0124859335,0.0,H
0.23391291,0.6503117,1.3933081e-06,0.30295488,0.49552026,0.011670958,0.41671076,0.43280184,0.0011260096,0.5090521,0.46431425,-0.0133017525,0.5668411,0.5265445,-0.027520586,0.4749417,0.3796395,-0.0441463,0.6491417,0.40246254,-0.06535815,0.74105906,0.4230427,-0.073394455,0.8090055,0.44149175,-0.074792914,0.4916315,0.4867677,-0.061008465,0.67232805,0.49752906,-0.075375855,0.7773632,0.51106757,-0.081074074,0.85233384,0.52462673,-0.084474616,0.49742836,0.5952653,-0.071257,0.6047889,0.5847309,-0.07566624,0.5649187,0.5745977,-0.05861359,0.5148875,0.570497,-0.042693906,0.49508843,0.68748033,-0.08095115,0.56414735,0.64744914,-0.070441745,0.5340878,0.63152707,-0.04147055,0.49739793,0.6319112,-0.016529255,0.0,H
0.23278889,0.6519804,1.361787e-06,0.3054486,0.49344826,0.016365506,0.41692084,0.4274953,0.008371551,0.5062207,0.45398176,-0.0043706913,0.56282,0.5147659,-0.01706242,0.47515452,0.37788594,-0.038314123,0.6478032,0.39927882,-0.05683354,0.7369139,0.41861004,-0.062788375,0.80261135,0.43550318,-0.06310627,0.49510533,0.48161557,-0.056967854,0.6743816,0.49418068,-0.06829478,0.7787713,0.5074338,-0.07218552,0.85374117,0.5192132,-0.07474806,0.50183886,0.5884434,-0.06873688,0.60647833,0.5824365,-0.06904061,0.5665739,0.5733621,-0.050851632,0.5171665,0.5671403,-0.0354608,0.49774408,0.6816617,-0.079821065,0.5640998,0.6480898,-0.06626168,0.53291446,0.6347461,-0.03635759,0.49515694,0.6341392,-0.011431911,0.0,H
0.23876154,0.65059507,1.3856074e-06,0.31009814,0.49349046,0.01393947,0.4204508,0.42901716,0.0042323507,0.5072726,0.4574536,-0.009884295,0.5652331,0.51853323,-0.024021959,0.47496796,0.38343507,-0.044467058,0.6511344,0.40036654,-0.06564215,0.74230456,0.4200472,-0.072154,0.8094356,0.43690896,-0.07183267,0.49338627,0.485622,-0.062208537,0.6748092,0.4960709,-0.07570963,0.77829397,0.50803566,-0.07873907,0.8521525,0.5171382,-0.079962276,0.49954432,0.59018564,-0.07319069,0.60620946,0.5848486,-0.07559004,0.5666149,0.579796,-0.05636069,0.5187178,0.57567215,-0.03942254,0.4951098,0.6811885,-0.08360065,0.56538343,0.6499416,-0.069849595,0.5331091,0.63807744,-0.038368367,0.494777,0.6374568,-0.01217851,0.0,H
0.23712319,0.6506834,1.3588867e-06,0.30841815,0.49403876,0.014177466,0.41801715,0.42963803,0.0047473144,0.50811183,0.4564769,-0.008545414,0.567013,0.5159747,-0.021548105,0.47355524,0.38385016,-0.045480072,0.65033233,0.40096366,-0.06564657,0.7428406,0.42100036,-0.0711511,0.8102622,0.4382574,-0.069926225,0.49214998,0.48707348,-0.06185592,0.6744838,0.49684367,-0.073238045,0.77767444,0.5092596,-0.07485792,0.8500066,0.51965904,-0.075208075,0.4979081,0.59264016,-0.07119326,0.6041259,0.5827808,-0.07077719,0.56755084,0.574232,-0.051048584,0.5201314,0.56880355,-0.034323372,0.492626,0.6844012,-0.07993055,0.5623883,0.6516122,-0.06470928,0.5331682,0.63761264,-0.033562217,0.49577573,0.636062,-0.0075636827,0.0,H
