f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.735565,0.8022299,6.430406e-07,0.6445405,0.7692393,-0.03334169,0.5657897,0.68989784,-0.055196416,0.5199865,0.6178434,-0.07518711,0.48389176,0.55178493,-0.095579125,0.6072077,0.5247929,-0.044004146,0.58892536,0.3903885,-0.08074455,0.57735157,0.3063859,-0.10894785,0.568403,0.2310526,-0.12860161,0.6557718,0.50489575,-0.05344542,0.6334313,0.35077578,-0.08557792,0.6191643,0.2484628,-0.11082689,0.60637563,0.15781796,-0.12915586,0.7063647,0.5113904,-0.06740627,0.6893997,0.36515978,-0.098360375,0.67915165,0.270514,-0.116987884,0.6677547,0.18735027,-0.12966731,0.76293594,0.53829014,-0.08453553,0.7558124,0.4213135,-0.111883596,0.7490891,0.34182352,-0.12307651,0.73932314,0.26958698,-0.13014077,1.0,Hello
0.72286326,0.8063916,6.906641e-07,0.63294244,0.7740121,-0.03613725,0.5562374,0.69452906,-0.061012246,0.5106259,0.62296826,-0.08376644,0.47713587,0.55407536,-0.10698083,0.59417343,0.5290789,-0.049411595,0.577897,0.392877,-0.0889752,0.56657904,0.30864662,-0.118996374,0.5577186,0.23271763,-0.13983928,0.64326763,0.51029927,-0.058600478,0.6225412,0.35480893,-0.09402887,0.6084036,0.25109816,-0.12143066,0.59520864,0.15819892,-0.14101675,0.69477475,0.51797706,-0.07234269,0.6780825,0.3713164,-0.105901614,0.6676909,0.2753377,-0.12612069,0.65566576,0.18984073,-0.13964108,0.75162005,0.545934,-0.0893317,0.74383634,0.4286683,-0.11882669,0.7363313,0.3476741,-0.13138597,0.7262653,0.2730162,-0.13929604,1.0,Hello
0.7222933,0.80394286,6.9501027e-07,0.6320712,0.7718292,-0.03616286,0.55573374,0.6937138,-0.06158651,0.50992215,0.62329715,-0.08497411,0.4753129,0.55470765,-0.10899024,0.5946178,0.52653086,-0.05017493,0.5776477,0.39043355,-0.09015043,0.56657666,0.30654114,-0.1205663,0.55808586,0.2307542,-0.14171638,0.6439676,0.50784934,-0.059824772,0.62305206,0.3525098,-0.09584146,0.60855824,0.2489711,-0.12398383,0.59514654,0.15615815,-0.14414896,0.6955781,0.5158909,-0.07397589,0.6788204,0.36921397,-0.10806614,0.66821784,0.27314484,-0.12885742,0.65628016,0.18740952,-0.14281197,0.7520317,0.54436165,-0.09133474,0.7438328,0.42726383,-0.121527545,0.7363181,0.34583706,-0.13448587,0.72663426,0.27043462,-0.14264508,1.0,Hello
0.7236261,0.8041328,6.893119e-07,0.63377047,0.7724179,-0.037105676,0.5564904,0.693664,-0.06247286,0.51009107,0.62181705,-0.085530125,0.47506398,0.5531798,-0.109053314,0.5945437,0.52759624,-0.0504944,0.5778467,0.39099813,-0.09042934,0.56716055,0.30680126,-0.12063442,0.55900335,0.23070145,-0.14160027,0.64374924,0.50821394,-0.059406336,0.6226137,0.35255867,-0.095185,0.6088533,0.24887893,-0.12264746,0.5963527,0.15617421,-0.14226007,0.6952369,0.5156779,-0.07299531,0.67803866,0.36887783,-0.10699885,0.6676909,0.27258885,-0.12750466,0.6563063,0.18681759,-0.14118406,0.752118,0.5434608,-0.08989533,0.7438319,0.4264236,-0.119982466,0.7363248,0.34508586,-0.13298318,0.7266494,0.2698068,-0.1411593,1.0,Hello
0.72432,0.8047926,6.8266525e-07,0.6334087,0.77334297,-0.03585023,0.55610496,0.6944048,-0.06034608,0.51018244,0.6221065,-0.0826512,0.4742244,0.5544451,-0.105438106,0.5944022,0.52670455,-0.048818205,0.57783496,0.39073312,-0.08772785,0.5666186,0.30661005,-0.11734829,0.55781907,0.2312589,-0.13798733,0.6435967,0.50712407,-0.05817122,0.62319905,0.3519238,-0.09302055,0.6094843,0.24896559,-0.119960405,0.596964,0.15759751,-0.13920139,0.69507754,0.5147354,-0.07207099,0.6781058,0.36786473,-0.10518797,0.6675328,0.27182576,-0.12524769,0.6559954,0.1866484,-0.13874872,0.7520344,0.5430775,-0.08919902,0.7438988,0.4263038,-0.11854603,0.7362038,0.34536713,-0.1310007,0.72640866,0.27076423,-0.13882177,1.0,Hello
0.72396684,0.8034866,6.746817e-07,0.6345821,0.77094287,-0.03625885,0.55748254,0.69347656,-0.06109836,0.51123774,0.6218783,-0.083696246,0.4760583,0.5543084,-0.10673952,0.5952438,0.5261064,-0.04892315,0.5786676,0.39087477,-0.08795435,0.56733394,0.30703753,-0.1177044,0.5582759,0.23138246,-0.13847612,0.6441848,0.5068633,-0.057979513,0.62358797,0.3520034,-0.09255796,0.61025065,0.25027323,-0.119097516,0.5979816,0.15978318,-0.13812172,0.69537747,0.5144117,-0.07167377,0.67826414,0.36780035,-0.104549974,0.66804326,0.27225968,-0.124045685,0.6568771,0.18748632,-0.13715231,0.752169,0.5424419,-0.08868978,0.7438022,0.4255181,-0.117827095,0.73654294,0.34478456,-0.13004959,0.7270678,0.27021343,-0.13769908,1.0,Hello
0.7259449,0.8034686,6.8810203e-07,0.63488567,0.7719383,-0.036850613,0.557394,0.69369847,-0.062041573,0.51089144,0.6215137,-0.08492529,0.47414243,0.5541147,-0.1083339,0.59591854,0.52647626,-0.050128475,0.57944465,0.39052346,-0.08958546,0.56788343,0.30649054,-0.1195725,0.5587826,0.23051447,-0.14052394,0.64519376,0.5070795,-0.059311714,0.6247529,0.35157433,-0.09465296,0.61086464,0.24890912,-0.12192799,0.59822404,0.15749794,-0.14142455,0.69669247,0.5147977,-0.07309797,0.6795077,0.367638,-0.106676325,0.66864765,0.2715911,-0.12690608,0.6570592,0.18635371,-0.14046328,0.75366044,0.5428785,-0.09018977,0.7449492,0.4256801,-0.11998599,0.7372168,0.34445554,-0.13267137,0.72766846,0.26959375,-0.14061919,1.0,Hello
0.7242421,0.8037285,6.8495535e-07,0.63378894,0.7713639,-0.03581014,0.55667233,0.6928786,-0.0602693,0.51087713,0.62170184,-0.08264943,0.47434592,0.5550207,-0.10561695,0.5966187,0.52563435,-0.04839909,0.5802544,0.39012742,-0.08734406,0.56861925,0.30622303,-0.117022656,0.559573,0.23046485,-0.13779825,0.6456362,0.50605196,-0.057854082,0.6247319,0.3514055,-0.09285109,0.61064035,0.24863154,-0.119982,0.59810257,0.15724108,-0.13940293,0.696901,0.5137428,-0.07188578,0.6797762,0.36745977,-0.10527636,0.66926277,0.2717059,-0.12525693,0.6578447,0.18672538,-0.13862212,0.753447,0.5418821,-0.08915686,0.7451108,0.42562565,-0.118622474,0.7375164,0.3447585,-0.13100488,0.72783726,0.2701731,-0.13876943,1.0,Hello
0.72547585,0.80243057,6.726443e-07,0.6353544,0.77118474,-0.035860874,0.5582023,0.6929476,-0.060071573,0.5113108,0.62129635,-0.08226305,0.47436488,0.5541764,-0.10503683,0.59706974,0.5261254,-0.04702136,0.5807062,0.39200497,-0.085678175,0.5697829,0.30811167,-0.11552784,0.5614213,0.232108,-0.13645627,0.6457092,0.5061086,-0.056308694,0.62522566,0.3514557,-0.09058338,0.61149895,0.24878585,-0.11773921,0.5990523,0.15743348,-0.13732813,0.696625,0.51322407,-0.07024923,0.6797916,0.36726975,-0.102946326,0.6692878,0.2715055,-0.12305154,0.6577489,0.18658689,-0.13670188,0.7530741,0.5411108,-0.08750352,0.74530905,0.42477316,-0.11657893,0.73803246,0.34429717,-0.12900344,0.72838116,0.2702827,-0.13691515,1.0,Hello
0.7240905,0.8033283,6.787978e-07,0.6347767,0.76983917,-0.035208054,0.5583593,0.69240785,-0.05983694,0.51165926,0.62284476,-0.08252373,0.47637504,0.55513173,-0.1056817,0.59715146,0.52456015,-0.047144376,0.5806126,0.38953975,-0.08600098,0.56888276,0.30595905,-0.115763105,0.5598613,0.23106766,-0.13645068,0.64569956,0.5055918,-0.05679107,0.6253444,0.35048604,-0.09114999,0.6116309,0.24841473,-0.117896505,0.59935457,0.15867773,-0.13694552,0.69671756,0.5134373,-0.071012355,0.67936164,0.36619332,-0.10347106,0.668801,0.27040303,-0.12289662,0.65758556,0.1860235,-0.13593757,0.7530302,0.542101,-0.08847455,0.7449949,0.42529637,-0.11711538,0.7379538,0.3444359,-0.12893783,0.728983,0.270524,-0.13622993,1.0,Hello
