f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.815088,0.7936629,1.1439765e-08,0.7363179,0.7810693,-0.03283289,0.66458684,0.7093681,-0.05694715,0.6749118,0.6147673,-0.08131553,0.71783775,0.5435246,-0.10386315,0.634526,0.557626,-0.04453787,0.57735,0.43221658,-0.0751126,0.5443045,0.35415912,-0.09474,0.5137123,0.2831299,-0.11173895,0.68579704,0.52941084,-0.048869085,0.65401036,0.48170438,-0.10564295,0.66338015,0.55680907,-0.12327959,0.6726695,0.60054255,-0.12604372,0.74152786,0.5174152,-0.05581167,0.7181901,0.4596647,-0.105596125,0.71824104,0.53712046,-0.09900039,0.72266436,0.59569037,-0.08301284,0.7959518,0.51195765,-0.066028364,0.78101313,0.3961305,-0.10150608,0.7633554,0.32251573,-0.10505004,0.7450288,0.25126255,-0.101128235,1.0,ILoveYou
0.80569,0.7830032,3.6978957e-08,0.726882,0.7721147,-0.03463701,0.65502393,0.703242,-0.05874848,0.66488117,0.6078012,-0.08258667,0.7043322,0.53119874,-0.10442461,0.6224614,0.5486105,-0.044669162,0.56491405,0.42659032,-0.07591979,0.5309728,0.34814233,-0.09650886,0.4991815,0.2780792,-0.11355249,0.6738924,0.5202657,-0.048092723,0.64274096,0.46925232,-0.10546524,0.65040386,0.53588074,-0.12540837,0.6569072,0.57739824,-0.12898852,0.7294059,0.5081206,-0.054168146,0.7120191,0.45700264,-0.10538314,0.7165013,0.5346389,-0.10027777,0.72174436,0.59199744,-0.08376804,0.78384566,0.501397,-0.063439146,0.76616734,0.38758346,-0.09834787,0.7480898,0.313464,-0.10046631,0.72822726,0.24110943,-0.09475086,1.0,ILoveYou
0.806092,0.78302926,9.572294e-09,0.72650874,0.7722511,-0.033902884,0.65332335,0.7026262,-0.05751116,0.66323787,0.60738146,-0.08097281,0.7034945,0.53162056,-0.10249006,0.62209237,0.5477709,-0.044298302,0.56499666,0.42628038,-0.07593166,0.5314106,0.34825522,-0.097055495,0.49923885,0.27896866,-0.11458883,0.6735294,0.51915777,-0.047679525,0.64227766,0.4705491,-0.10467391,0.65195936,0.5403375,-0.12379327,0.6594321,0.5817087,-0.1270289,0.72922325,0.50617045,-0.05368654,0.71037775,0.45329446,-0.10434288,0.71538216,0.53137976,-0.09796377,0.7212808,0.58837175,-0.08087921,0.78389853,0.49900517,-0.06288897,0.766072,0.3854248,-0.09770353,0.74825174,0.31340414,-0.0991932,0.7288033,0.24259546,-0.09298414,1.0,ILoveYou
0.805894,0.78271425,9.888853e-09,0.7261906,0.7717798,-0.033805724,0.6529835,0.7024708,-0.057510015,0.6630484,0.6075937,-0.08111611,0.7037673,0.5319462,-0.10280625,0.62190354,0.54740274,-0.04424302,0.5648929,0.42611614,-0.07584791,0.53143287,0.3481654,-0.0968961,0.49945673,0.2788414,-0.11437915,0.67331165,0.5188817,-0.047740772,0.64226085,0.47065043,-0.10473991,0.65193254,0.5405131,-0.12388701,0.65924126,0.58165413,-0.12716995,0.7290047,0.5059993,-0.053860106,0.710166,0.4533758,-0.10455463,0.7151977,0.5312454,-0.098291874,0.7210791,0.5879973,-0.08129638,0.7836727,0.49897394,-0.06316132,0.76581085,0.38542104,-0.09796216,0.748062,0.3133675,-0.099480264,0.72869,0.24262503,-0.09331236,1.0,ILoveYou
0.80322754,0.78023374,-2.4015204e-08,0.7241234,0.76704264,-0.03025101,0.6506267,0.69894284,-0.052884653,0.66020393,0.6052962,-0.07571436,0.7048177,0.53355503,-0.09673505,0.619878,0.5463873,-0.04407087,0.56336784,0.4237919,-0.074908815,0.531253,0.34790748,-0.094891116,0.5005598,0.27878764,-0.11208663,0.67072207,0.51814634,-0.047968406,0.6394385,0.47406977,-0.10072665,0.6561213,0.551658,-0.11452758,0.66671586,0.5881743,-0.11559414,0.72614413,0.50527847,-0.0543286,0.70545393,0.45282382,-0.10162215,0.7126199,0.5323326,-0.09114102,0.71959215,0.5856366,-0.07286551,0.7799437,0.49933973,-0.06378047,0.765477,0.385661,-0.09804718,0.7490782,0.3161322,-0.09876506,0.7307341,0.24591967,-0.09257139,1.0,ILoveYou
0.8019677,0.7811652,-3.2084717e-08,0.72426003,0.7684454,-0.03116614,0.6509899,0.6996014,-0.05407036,0.6613197,0.6060223,-0.07730395,0.7051513,0.535745,-0.098584704,0.61870205,0.5450941,-0.042962406,0.5629544,0.42224127,-0.074011065,0.5309737,0.34642583,-0.09362308,0.50109607,0.27728015,-0.11041343,0.669797,0.51602334,-0.04683048,0.63889927,0.47424257,-0.10100974,0.6558879,0.5541886,-0.11482155,0.66735053,0.59086436,-0.115283154,0.7257181,0.50276154,-0.053438846,0.70463866,0.45138845,-0.102320805,0.7124408,0.53048694,-0.0917121,0.7199146,0.5825584,-0.072804436,0.78032064,0.49636114,-0.06318322,0.7654753,0.38448438,-0.098064825,0.749727,0.31669942,-0.09843613,0.7314557,0.24747688,-0.09171165,1.0,ILoveYou
0.8009116,0.7814956,2.5343255e-08,0.7226162,0.77045083,-0.034482725,0.65214515,0.6986974,-0.058242053,0.6631583,0.6023691,-0.08189301,0.70349723,0.52820206,-0.10330043,0.62006533,0.5461203,-0.042465337,0.5638741,0.4203693,-0.0731085,0.530626,0.3425789,-0.092391305,0.49985623,0.27372068,-0.10877824,0.6708177,0.51561034,-0.04552445,0.6350162,0.46639875,-0.10151732,0.6448406,0.5362703,-0.118457474,0.65539235,0.57696986,-0.12041903,0.72585803,0.5022799,-0.05163313,0.70256793,0.44395494,-0.101284,0.7055398,0.5203282,-0.09353156,0.7118632,0.5776476,-0.07624673,0.7803975,0.49655774,-0.06123538,0.76566076,0.38435215,-0.09661848,0.7477963,0.31263998,-0.09940431,0.72849,0.24238598,-0.09448875,1.0,ILoveYou
0.80023086,0.7847148,-1.6081293e-08,0.71807045,0.77070063,-0.028996898,0.64740455,0.6991147,-0.050435796,0.66016,0.60756886,-0.07254854,0.6993366,0.5356456,-0.093032315,0.61894053,0.5436363,-0.039831728,0.5621588,0.42142594,-0.06965545,0.5300262,0.3454013,-0.08984612,0.4999436,0.27651125,-0.106799014,0.6709864,0.5154704,-0.04419788,0.6405588,0.47651932,-0.09765226,0.65037656,0.5482325,-0.11553677,0.66017765,0.58613837,-0.11951554,0.7260648,0.50378805,-0.050942067,0.70318043,0.45208895,-0.09948564,0.70355433,0.5317521,-0.0932306,0.7091463,0.58952785,-0.077547796,0.77976507,0.49865,-0.06042657,0.7639076,0.38339454,-0.095638625,0.7454639,0.31240597,-0.09845729,0.7268284,0.24291325,-0.09356201,1.0,ILoveYou
0.79993206,0.7834022,-2.5269213e-08,0.71854854,0.7701235,-0.03265533,0.6480702,0.7000041,-0.056675706,0.6591585,0.6082412,-0.08110261,0.69665796,0.5329976,-0.10376331,0.61820716,0.5424067,-0.04194507,0.5615622,0.4203975,-0.07233099,0.5291892,0.34411895,-0.09149202,0.49944538,0.27529776,-0.1071002,0.6704025,0.51316273,-0.04554155,0.64123625,0.47545755,-0.10145092,0.6546429,0.5501444,-0.11945141,0.66747564,0.5917956,-0.12196435,0.7259382,0.50102305,-0.051850703,0.7044911,0.45136806,-0.1029586,0.70718527,0.5295323,-0.09753648,0.7132838,0.5854496,-0.081108786,0.78010035,0.4957595,-0.06102317,0.7633302,0.38197577,-0.09600227,0.7450029,0.31069896,-0.098109886,0.7262164,0.24115962,-0.092281975,1.0,ILoveYou
0.80222654,0.7903231,-2.4102116e-08,0.72219175,0.7749079,-0.03418134,0.6532774,0.70325136,-0.05892103,0.6638895,0.6092919,-0.08391992,0.70213014,0.5323555,-0.10680664,0.6218403,0.5495896,-0.042980995,0.5662349,0.42645925,-0.075377926,0.53165925,0.34971237,-0.0959717,0.4989746,0.2810012,-0.11269308,0.67297405,0.521072,-0.046451405,0.639652,0.47460642,-0.10275361,0.64996696,0.54907125,-0.120158814,0.6596605,0.5899825,-0.12227615,0.7283832,0.508139,-0.05283274,0.7051142,0.45157176,-0.10330185,0.70881116,0.5300897,-0.09466267,0.7153629,0.5858741,-0.0762042,0.7825854,0.5018733,-0.062582396,0.7639787,0.38894328,-0.09710406,0.7453692,0.31788063,-0.097241834,0.72627634,0.24777552,-0.08997753,1.0,ILoveYou
0.80199206,0.7882153,2.5083208e-08,0.72236425,0.77535444,-0.038133994,0.65301013,0.7062827,-0.065268114,0.6633536,0.6119821,-0.09206388,0.70289105,0.535205,-0.1165779,0.62099767,0.55178833,-0.048272837,0.565448,0.4277875,-0.081749685,0.53109866,0.34980133,-0.10159884,0.4990544,0.27978033,-0.11771023,0.6724686,0.5218489,-0.05102748,0.6406193,0.47449222,-0.10949458,0.65330195,0.550327,-0.12578094,0.6637037,0.5907605,-0.12644759,0.7284602,0.50936097,-0.057221893,0.7079044,0.4570887,-0.11071649,0.7120058,0.5363763,-0.10316612,0.7173648,0.59161377,-0.08465015,0.78311896,0.5038496,-0.06699018,0.76641136,0.39003885,-0.10407184,0.7476058,0.31641978,-0.106241114,0.7273131,0.24339816,-0.100209355,1.0,ILoveYou
0.80076253,0.79017127,3.9717534e-08,0.7207704,0.7763773,-0.032873996,0.6512122,0.7058934,-0.057042163,0.66124517,0.6170726,-0.081816204,0.700521,0.5458622,-0.104732364,0.6213642,0.5518952,-0.042917907,0.56453955,0.43112773,-0.07639535,0.53050804,0.35479456,-0.099070966,0.49874553,0.28481966,-0.11776041,0.672313,0.52317804,-0.047548976,0.6379778,0.47744495,-0.10436149,0.6442564,0.54756594,-0.12297369,0.65006864,0.58225656,-0.12659548,0.7280277,0.5114394,-0.05526302,0.70569265,0.46140957,-0.10584118,0.7056445,0.54203725,-0.09846081,0.7093421,0.5990221,-0.08141544,0.78215337,0.5066182,-0.06642337,0.76719755,0.3931551,-0.102746546,0.74897534,0.32147998,-0.10506879,0.7296382,0.25039297,-0.09969144,1.0,ILoveYou
