f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.3565838,0.7676035,-6.0404034e-07,0.4348081,0.76562446,-0.020627806,0.50759035,0.6940362,-0.02803532,0.5249165,0.61419374,-0.03703616,0.47546655,0.5696273,-0.039187513,0.5160493,0.57210785,-0.011197944,0.5473923,0.5177549,-0.040663503,0.52126163,0.592833,-0.05383366,0.50762296,0.6207281,-0.05927172,0.47858718,0.5471053,-0.017569732,0.5004049,0.4978845,-0.051518723,0.48091355,0.58597285,-0.058525037,0.47412452,0.6083997,-0.057283502,0.4323689,0.5320511,-0.030066999,0.44789615,0.49393472,-0.06840296,0.4408188,0.59069586,-0.06739972,0.43180943,0.6393741,-0.057196997,0.38683444,0.5182687,-0.044250593,0.39909282,0.41800418,-0.06784842,0.410491,0.35551566,-0.07390207,0.42242023,0.28603548,-0.0755832,0.0,I
0.35916638,0.7722491,-6.156876e-07,0.437535,0.76777613,-0.025823012,0.51476836,0.69608295,-0.03562936,0.53234947,0.6092648,-0.046372395,0.4812676,0.56587356,-0.049389206,0.5219478,0.57744753,-0.012385841,0.5546051,0.51390845,-0.044306338,0.5274672,0.5890939,-0.059002806,0.5127711,0.62211555,-0.06428905,0.48434505,0.55130243,-0.016310379,0.50325626,0.49980462,-0.052236345,0.48341945,0.587183,-0.06085443,0.47628006,0.61117667,-0.059895772,0.43928465,0.5349733,-0.027111001,0.4533666,0.49004352,-0.066111974,0.44601122,0.5858495,-0.06594727,0.43583545,0.6372267,-0.05580942,0.39479157,0.51926,-0.04030241,0.4073623,0.4175653,-0.06300872,0.4193351,0.3522909,-0.06944093,0.4310739,0.28217372,-0.071152836,0.0,I
0.36445117,0.7674491,-5.7384676e-07,0.44306132,0.76251674,-0.02466,0.51800007,0.6918678,-0.035217345,0.53437555,0.6074127,-0.047414638,0.48213428,0.56377923,-0.052194927,0.5270362,0.56645924,-0.012720319,0.5554185,0.50849015,-0.045135677,0.5297424,0.586921,-0.060478114,0.51787513,0.61785895,-0.06625951,0.48744193,0.5417797,-0.018220209,0.5030503,0.4963878,-0.05587479,0.4864626,0.58761543,-0.06520653,0.48130912,0.6136264,-0.0644491,0.4409986,0.5267686,-0.030434208,0.45110995,0.48700696,-0.07146466,0.44879892,0.5842246,-0.07296289,0.44331917,0.63545924,-0.06327911,0.39597896,0.51352876,-0.04473693,0.40987465,0.41341394,-0.0675683,0.42176086,0.35027543,-0.07360921,0.43253416,0.2818728,-0.07484029,0.0,I
0.36235505,0.77297163,-6.117988e-07,0.44090137,0.76800406,-0.020391844,0.5140134,0.69818676,-0.027774356,0.5324926,0.61830854,-0.03719089,0.48671156,0.56896174,-0.039807968,0.52505875,0.57526743,-0.0072593954,0.55471903,0.51848435,-0.037032202,0.52812725,0.59312636,-0.050672606,0.5134686,0.6248231,-0.055359792,0.4863785,0.5490664,-0.013404284,0.50723225,0.49678093,-0.048654854,0.48643544,0.5865586,-0.057338156,0.47732034,0.6155412,-0.055683225,0.4398307,0.53254193,-0.025604052,0.45505804,0.48745903,-0.063238,0.44628593,0.58313835,-0.06226422,0.43597168,0.6346332,-0.05114008,0.39342207,0.5182183,-0.039571747,0.40816322,0.41676384,-0.061255325,0.42092997,0.3547367,-0.06578501,0.43401378,0.28803006,-0.0655588,0.0,I
0.36063057,0.76844645,-6.162007e-07,0.44002792,0.7655742,-0.023195922,0.516647,0.6938123,-0.031724904,0.53133243,0.6104242,-0.04135143,0.48105443,0.5681697,-0.04341011,0.5241711,0.5740434,-0.013439539,0.55515766,0.5157687,-0.04307395,0.52853024,0.5937571,-0.054849345,0.5148859,0.6237639,-0.058804754,0.48539326,0.54822063,-0.018602064,0.506875,0.4998815,-0.053883366,0.48618683,0.5914783,-0.060741883,0.47771728,0.61565775,-0.05874001,0.43977913,0.5322935,-0.029995032,0.45538813,0.49095538,-0.06872266,0.44735283,0.58812755,-0.06755606,0.43722382,0.63605225,-0.056996867,0.39513364,0.51673025,-0.04331577,0.40860885,0.41633347,-0.06588569,0.42042503,0.35490215,-0.07135149,0.43249264,0.28500608,-0.07251383,0.0,I
0.36150202,0.766502,-6.0260106e-07,0.44036865,0.764331,-0.02275622,0.5164124,0.6932813,-0.031084545,0.53118044,0.6103943,-0.040575773,0.48173633,0.56798106,-0.04287972,0.5248299,0.57436407,-0.0133463815,0.5535281,0.51488566,-0.043478806,0.5276588,0.5916339,-0.05672028,0.51415336,0.6221306,-0.061592396,0.4855853,0.5484195,-0.01840027,0.5044009,0.50030416,-0.05304842,0.48412,0.5919243,-0.060580216,0.47607175,0.6163838,-0.059450965,0.43980813,0.5319381,-0.029620824,0.45384163,0.48952132,-0.0674218,0.4465846,0.5853551,-0.06702178,0.4370704,0.63387144,-0.05740371,0.3949876,0.51572376,-0.042712476,0.4080256,0.41447595,-0.064753816,0.41965598,0.35269612,-0.0704686,0.43153167,0.28397426,-0.071986414,0.0,I
0.36173707,0.76679826,-5.967089e-07,0.44054562,0.76511455,-0.02118906,0.5149031,0.69353217,-0.02863724,0.5304239,0.6118091,-0.03741747,0.48262852,0.567986,-0.039272845,0.52474314,0.5761481,-0.012121599,0.5531504,0.51464933,-0.042115606,0.5282896,0.5902929,-0.055365685,0.5150501,0.62291455,-0.060021818,0.48607427,0.550036,-0.017345835,0.5050117,0.4996718,-0.05148217,0.4855391,0.5902679,-0.058764007,0.47792548,0.61626226,-0.057375688,0.43996575,0.5331022,-0.028643653,0.45380282,0.48822626,-0.06587003,0.4466909,0.5832418,-0.06546172,0.43737477,0.6329272,-0.0558299,0.39494643,0.516766,-0.04163572,0.40798885,0.41435647,-0.06372273,0.41999963,0.3525424,-0.06961263,0.4321206,0.28445467,-0.07114437,0.0,I
0.36350572,0.7681266,-5.9014997e-07,0.44124836,0.76493025,-0.021721497,0.51509726,0.693653,-0.029820316,0.52987516,0.612874,-0.039051287,0.48040488,0.5706074,-0.040753014,0.52514386,0.5729543,-0.013050884,0.5524042,0.5143338,-0.04349255,0.5273027,0.5922824,-0.05666128,0.51641846,0.6217103,-0.061877638,0.4865143,0.5469233,-0.018557373,0.5049844,0.50040936,-0.05178625,0.48454902,0.5927528,-0.05680656,0.48017648,0.61305845,-0.05467343,0.43954557,0.5311323,-0.030441739,0.45350936,0.49196213,-0.06804379,0.44516683,0.58986485,-0.06511682,0.43719217,0.63682353,-0.054117102,0.39337027,0.5167276,-0.044161897,0.40768504,0.41618717,-0.06702201,0.4194216,0.35497382,-0.07180342,0.43168664,0.2860439,-0.072630316,0.0,I
0.36129043,0.7740906,-5.949295e-07,0.43654114,0.7681006,-0.024260273,0.5096504,0.70007807,-0.03436623,0.5266677,0.6197067,-0.045809902,0.48115653,0.5710125,-0.04984908,0.52552354,0.577266,-0.011416085,0.55138284,0.51913714,-0.043263387,0.52610505,0.5948825,-0.056999493,0.5138432,0.6276749,-0.061013676,0.48542964,0.5506424,-0.016758922,0.50309414,0.5022602,-0.054317914,0.4840844,0.5913599,-0.06319016,0.47659442,0.6178497,-0.061377734,0.43835834,0.53428775,-0.028727476,0.4520072,0.49452257,-0.07017296,0.44382575,0.59108883,-0.070641115,0.43444335,0.6405329,-0.059604906,0.391999,0.52020514,-0.042609766,0.4062747,0.4190445,-0.06528535,0.4193829,0.3565157,-0.06996044,0.43325743,0.2878591,-0.06969034,0.0,I
0.36390126,0.76734406,-5.502248e-07,0.44227028,0.7617744,-0.025062323,0.5146232,0.6987315,-0.037526038,0.53156185,0.61799693,-0.05110813,0.4835115,0.570749,-0.05812617,0.5229853,0.56902546,-0.016697085,0.55441046,0.5138774,-0.048967887,0.53083766,0.59052473,-0.064449504,0.51684666,0.6218722,-0.07042722,0.48399448,0.5458873,-0.021396555,0.5054213,0.50013906,-0.057554733,0.48566926,0.5922745,-0.06684494,0.47504708,0.6206207,-0.066559985,0.43771735,0.5322947,-0.032231048,0.45352012,0.49300265,-0.07154155,0.4457718,0.58750355,-0.07199678,0.43483955,0.63700986,-0.062344655,0.3916627,0.52003384,-0.045045435,0.4048542,0.4192291,-0.06814925,0.41813996,0.35647678,-0.0741603,0.43129146,0.2888836,-0.07538091,0.0,I
0.3641113,0.76647305,-5.87126e-07,0.44106245,0.7627485,-0.024107724,0.5104121,0.7022222,-0.035813432,0.527452,0.62366205,-0.048857108,0.48406363,0.56970054,-0.05530574,0.5238775,0.576685,-0.015194259,0.5531337,0.52029216,-0.04779534,0.5267972,0.59441787,-0.062924676,0.51271313,0.6271575,-0.06815815,0.48486242,0.55033016,-0.019930085,0.50556856,0.50145876,-0.056737162,0.4849101,0.5889335,-0.06619826,0.475057,0.6171931,-0.06555309,0.43849355,0.5331952,-0.030765824,0.4547161,0.4908752,-0.07024718,0.44667602,0.5839415,-0.07061775,0.43665487,0.63454884,-0.060626157,0.39217788,0.5176527,-0.043441188,0.4052871,0.41690117,-0.06636996,0.41852775,0.354667,-0.072077274,0.43246418,0.28917325,-0.07280993,0.0,I
0.36221096,0.7739907,-5.677677e-07,0.4377653,0.7678026,-0.022706365,0.51231897,0.69523454,-0.031451795,0.52931213,0.612934,-0.041851893,0.48005354,0.56973153,-0.045224413,0.5233247,0.5721538,-0.00882022,0.55328524,0.51277804,-0.039750226,0.52874315,0.5880664,-0.054240648,0.5139755,0.62090135,-0.058992147,0.48403457,0.54670084,-0.01428273,0.5047022,0.4977535,-0.050276536,0.48525345,0.5883588,-0.059848383,0.47585848,0.6158306,-0.058583405,0.43736592,0.5307742,-0.026263708,0.45434284,0.49000978,-0.06509434,0.44775763,0.5856988,-0.06677561,0.43771303,0.63584906,-0.057060033,0.39138317,0.5171033,-0.040099118,0.40585703,0.41541052,-0.061466403,0.4187755,0.35341585,-0.06723172,0.43097764,0.28665453,-0.06803175,0.0,I
0.36148906,0.7720113,-6.009088e-07,0.4384679,0.7676492,-0.025483979,0.51406884,0.69709396,-0.035717644,0.5292995,0.6138251,-0.04737926,0.4813761,0.567999,-0.051383425,0.5237243,0.5754895,-0.013052333,0.55453473,0.51501006,-0.044952568,0.5275028,0.5910201,-0.057420585,0.51269776,0.62443244,-0.060358666,0.4835968,0.54966813,-0.01795859,0.5053185,0.4986819,-0.057053395,0.48511317,0.5882546,-0.06626445,0.47581574,0.61694396,-0.06393397,0.4371001,0.53394896,-0.029450318,0.45328045,0.48961252,-0.0710504,0.44519344,0.5866286,-0.07141411,0.43522665,0.63745916,-0.060009286,0.39177972,0.519578,-0.04307599,0.40705147,0.41904926,-0.06551204,0.42007184,0.3563937,-0.070657626,0.43305406,0.28702056,-0.070752904,0.0,I
0.36029306,0.7749038,-5.9961985e-07,0.43603706,0.7676799,-0.023732089,0.5088697,0.7009518,-0.035031635,0.52905935,0.6211684,-0.047906272,0.48271662,0.5702802,-0.053569004,0.5222816,0.57596797,-0.013700071,0.55169046,0.5182666,-0.045657028,0.5270225,0.59549683,-0.060165066,0.51398367,0.6261647,-0.06523773,0.4837947,0.55003566,-0.019418547,0.50280726,0.503799,-0.055297516,0.4838754,0.59457535,-0.06385413,0.47544438,0.6187613,-0.063039534,0.4375757,0.5339604,-0.03149717,0.45333624,0.49521205,-0.070255816,0.44715545,0.5903605,-0.07008873,0.43782902,0.6377695,-0.060192917,0.39178562,0.5194624,-0.0455734,0.4061304,0.4176044,-0.06732338,0.41945046,0.35504082,-0.07211522,0.4324614,0.28745773,-0.07257876,0.0,I
0.35887426,0.7771384,-5.8450223e-07,0.4356476,0.7710041,-0.024005312,0.5095627,0.69817555,-0.034810394,0.53035915,0.6146381,-0.047291514,0.48079076,0.56881964,-0.052161153,0.5209137,0.5752929,-0.012357396,0.5535759,0.5145643,-0.04491294,0.52917385,0.5931383,-0.059460174,0.5152318,0.6255162,-0.06440728,0.48287004,0.55026615,-0.018018166,0.5042937,0.50213116,-0.05384261,0.48518553,0.5944463,-0.061288208,0.4776165,0.6172785,-0.05942367,0.43680504,0.5355344,-0.030445632,0.45303062,0.4960689,-0.06957417,0.44494608,0.59357196,-0.06795829,0.43428034,0.64083844,-0.056614827,0.3916997,0.52174276,-0.045057558,0.40671587,0.42019874,-0.06713502,0.4205193,0.35764486,-0.07155973,0.43357998,0.28853184,-0.07156991,0.0,I
0.35948783,0.7733469,-6.279291e-07,0.43780008,0.7678879,-0.023823142,0.5128065,0.6959423,-0.032716624,0.529563,0.613213,-0.042895563,0.4809059,0.5703629,-0.04544904,0.52422744,0.57543796,-0.012303359,0.55305475,0.5179945,-0.04363884,0.5267064,0.5945626,-0.05760306,0.51308626,0.624306,-0.06255797,0.4854718,0.5492177,-0.017003981,0.5037006,0.5037934,-0.052395284,0.48391974,0.5943263,-0.05988505,0.47695196,0.6164522,-0.05847102,0.4396405,0.5338,-0.028261147,0.45203364,0.4930731,-0.067001574,0.44445756,0.5914852,-0.06582808,0.4354942,0.64099574,-0.055222023,0.3946032,0.51935124,-0.041619148,0.40761793,0.41861385,-0.06367655,0.4192676,0.35732654,-0.06865322,0.43150303,0.28916037,-0.06935814,0.0,I
0.36087757,0.77229416,-5.979314e-07,0.43860912,0.7665034,-0.022781888,0.5135282,0.6961278,-0.031279664,0.52966404,0.6133557,-0.041170828,0.48073524,0.57009625,-0.04375965,0.52334756,0.5741627,-0.011440815,0.5534154,0.5146926,-0.042311072,0.5282909,0.59166574,-0.05600513,0.5142795,0.62279356,-0.060560744,0.48491713,0.54844546,-0.016354408,0.5039591,0.5018286,-0.051165853,0.4841334,0.59432805,-0.058690306,0.47645253,0.6180943,-0.057100885,0.43926206,0.5328478,-0.027720831,0.45293906,0.49344105,-0.06628083,0.44566762,0.59158325,-0.06620183,0.43645146,0.64099765,-0.05610447,0.3940745,0.51797664,-0.040907543,0.40755013,0.41621715,-0.06316491,0.41961828,0.35470533,-0.06880389,0.43171647,0.28731143,-0.06979205,0.0,I
0.36059296,0.77262133,-6.053634e-07,0.4384725,0.7667663,-0.023261296,0.5131659,0.6968268,-0.03200833,0.5278233,0.61492056,-0.04191297,0.4803277,0.56951827,-0.044253446,0.5240011,0.57566744,-0.012278253,0.5529266,0.5182059,-0.042972323,0.526906,0.59516436,-0.056414478,0.5139447,0.6246535,-0.06112987,0.48513976,0.5492299,-0.017057525,0.50452006,0.50401425,-0.05159748,0.48447883,0.5951385,-0.05876191,0.4775157,0.61697084,-0.057323236,0.43921965,0.5328023,-0.02825447,0.4532432,0.4926595,-0.06659744,0.44566244,0.5908557,-0.065774836,0.436878,0.6396505,-0.055512946,0.39384335,0.51710385,-0.041348614,0.4077174,0.41612422,-0.06343123,0.41979834,0.35527402,-0.06856737,0.43239525,0.2876836,-0.06935909,0.0,I
0.36301914,0.7715477,-5.761454e-07,0.4387197,0.7661366,-0.022761915,0.51226026,0.6952831,-0.032642294,0.5304662,0.6141368,-0.044593006,0.48045844,0.5688001,-0.04931691,0.5230528,0.57585764,-0.01083723,0.5511705,0.5155771,-0.0429693,0.5261721,0.59056246,-0.057593413,0.5135873,0.62398654,-0.06238373,0.48379195,0.5488847,-0.016885089,0.50127983,0.50145733,-0.055015545,0.48228532,0.59116256,-0.06465181,0.47481596,0.6200818,-0.06328818,0.43760183,0.53141534,-0.029373115,0.4518805,0.4873342,-0.06896461,0.444724,0.58306557,-0.069053926,0.43592083,0.6346422,-0.058363084,0.39272064,0.5161634,-0.04396338,0.40734804,0.41640955,-0.065334,0.41988418,0.3540876,-0.07038103,0.433104,0.28696048,-0.07073864,0.0,I
0.36352178,0.77190614,-5.835363e-07,0.43929377,0.7673225,-0.02374461,0.5119629,0.69499356,-0.033456013,0.5300241,0.613889,-0.045082696,0.48064813,0.5687672,-0.049351577,0.52370083,0.57433593,-0.010200477,0.5511073,0.5170162,-0.04216945,0.5258734,0.59128594,-0.056402706,0.51323926,0.6238432,-0.06094533,0.48428518,0.54740506,-0.015847541,0.5016349,0.5008445,-0.05460724,0.48288655,0.58996016,-0.06420195,0.47577688,0.61753494,-0.062426217,0.4379837,0.5307308,-0.028146945,0.4516204,0.48850706,-0.06919038,0.4446141,0.5857839,-0.069391474,0.43625972,0.6368384,-0.058132287,0.39296424,0.51661426,-0.042580478,0.40784425,0.41795075,-0.06495853,0.4198416,0.3560629,-0.070145644,0.43262696,0.2879168,-0.0702697,0.0,I
0.36093467,0.7708064,-6.0883775e-07,0.43914583,0.76686734,-0.021158205,0.5121704,0.7016242,-0.030537184,0.5300393,0.62034184,-0.041916862,0.48334768,0.5687946,-0.04656325,0.5225547,0.57558095,-0.011103643,0.5520175,0.51696426,-0.043051407,0.5263499,0.5929435,-0.05797026,0.51345783,0.6259456,-0.06329306,0.48351237,0.5503816,-0.01723625,0.5027722,0.50199,-0.053908028,0.48243272,0.5929418,-0.062881395,0.47415793,0.6214578,-0.06183176,0.43707275,0.53416294,-0.029545996,0.45268208,0.49313888,-0.06903471,0.4454825,0.58952737,-0.069176696,0.43594778,0.64202386,-0.058902852,0.39122447,0.52026093,-0.043552034,0.4053873,0.41877976,-0.06698388,0.4181889,0.3547985,-0.07328692,0.43072414,0.28753376,-0.0744581,0.0,I
0.3611439,0.7709006,-6.1831946e-07,0.43936738,0.76754713,-0.021563837,0.51262254,0.6998934,-0.030829819,0.5300799,0.61773777,-0.04213009,0.4823546,0.56818503,-0.046531778,0.52305096,0.5743855,-0.0105957305,0.55328953,0.5165684,-0.042840183,0.5276027,0.5927496,-0.05755244,0.51395583,0.62591904,-0.06260172,0.48387995,0.5496101,-0.016801685,0.5037205,0.50165755,-0.054369234,0.4832003,0.5933205,-0.06330282,0.47443393,0.6213375,-0.061733335,0.437648,0.53440464,-0.029364083,0.4531426,0.49453378,-0.0699973,0.44521013,0.591705,-0.069862254,0.43470153,0.6430857,-0.05884895,0.39214802,0.5211611,-0.04366171,0.40561152,0.41964775,-0.0676308,0.41869727,0.35584235,-0.07374031,0.43155476,0.28730813,-0.07451673,0.0,I
