f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.6713599,0.74279106,-2.772637e-07,0.58953893,0.7212452,0.03299619,0.5282271,0.67080253,0.042517785,0.48212036,0.64616895,0.03656061,0.4432892,0.61036843,0.030333297,0.5762492,0.51519346,0.075641334,0.5450665,0.43412971,0.07418766,0.49756208,0.41240513,0.06432474,0.45925424,0.40942663,0.05674958,0.593341,0.50046796,0.04191646,0.55250573,0.3878048,0.039244022,0.49157646,0.3809935,0.030380353,0.45031327,0.40136212,0.025146129,0.60403556,0.4993965,0.00397391,0.5601522,0.386671,0.0013598348,0.49673414,0.38050658,-0.0021674228,0.45465615,0.40356916,-0.004757123,0.6033487,0.5089992,-0.0338846,0.5533905,0.4275104,-0.034779027,0.50440526,0.41333708,-0.033314656,0.46895096,0.42076075,-0.03277569,1.0,No
0.6667828,0.7466536,-2.8054242e-07,0.58529323,0.7177148,0.036517374,0.526965,0.6644248,0.04930444,0.48240867,0.63775104,0.045576163,0.44427755,0.6029704,0.041496545,0.5745991,0.51318663,0.08385641,0.54248446,0.42886692,0.08520463,0.4964603,0.407969,0.07737655,0.45915508,0.40482154,0.07122336,0.591603,0.49748474,0.048683777,0.55197966,0.38215822,0.04799656,0.49299666,0.3745867,0.03926735,0.45225346,0.39380878,0.034461852,0.60294616,0.49541357,0.009272099,0.5594233,0.38037556,0.0071859676,0.49702612,0.37466064,0.002773841,0.45495778,0.39729533,0.000119604585,0.60323745,0.5043778,-0.029729107,0.5526215,0.41849005,-0.030171847,0.50318164,0.40522027,-0.028745634,0.46756738,0.4140939,-0.028050216,1.0,No
0.66647446,0.7490182,-2.7963284e-07,0.58529586,0.7198004,0.04064536,0.5278607,0.6636502,0.057201084,0.48313665,0.6379851,0.056336936,0.44356993,0.6065777,0.05458993,0.5744217,0.515322,0.09375575,0.5431618,0.43469766,0.09979125,0.49873754,0.4105906,0.09403377,0.4616209,0.40446618,0.08822278,0.5908207,0.49991342,0.05688775,0.5534498,0.3878485,0.05970226,0.495003,0.37821406,0.05095398,0.4520514,0.39720273,0.045150407,0.6019429,0.49697304,0.015816167,0.5614177,0.3828011,0.01575759,0.49925146,0.37531912,0.01037954,0.45533466,0.39795303,0.0062425914,0.60132307,0.5035195,-0.024568088,0.5512939,0.4210009,-0.024343068,0.5027292,0.40681148,-0.023750307,0.4669779,0.41429883,-0.024287399,1.0,No
0.6640498,0.745438,-2.983724e-07,0.58355147,0.7208992,0.03699345,0.52478325,0.66243273,0.05119196,0.47937667,0.6357363,0.048937336,0.44003227,0.60329646,0.046350874,0.573339,0.50950325,0.085774764,0.5416074,0.42745665,0.088780455,0.49572578,0.40763158,0.082120925,0.4585002,0.40568706,0.076494366,0.5903317,0.4943903,0.050929576,0.5514721,0.38187408,0.052082054,0.49202022,0.37704602,0.044446293,0.45083755,0.39753327,0.040017065,0.60164434,0.49214906,0.011848663,0.5586192,0.37795597,0.010701553,0.49604025,0.37550798,0.0071831155,0.45390162,0.39942148,0.0048101754,0.6012113,0.5001394,-0.026803298,0.5504797,0.41582462,-0.026703669,0.50097626,0.40512815,-0.024802504,0.46558768,0.41524997,-0.024004847,1.0,No
0.66482335,0.7464614,-3.0377512e-07,0.5827962,0.7202821,0.03867849,0.5244133,0.6638015,0.053285502,0.4795283,0.63681465,0.051096015,0.44048595,0.6038622,0.048195362,0.57355785,0.5115865,0.08740471,0.54164046,0.43063396,0.09140469,0.49649182,0.40919808,0.08501072,0.45936036,0.40516996,0.079324454,0.59057176,0.49620125,0.05189694,0.5514435,0.38473243,0.053729165,0.49241528,0.37836733,0.045904085,0.45124102,0.39777106,0.041077055,0.6018541,0.4940325,0.01235804,0.55963224,0.38019037,0.01219021,0.4975508,0.37613612,0.008505271,0.45578408,0.39982826,0.005682653,0.60153854,0.50204253,-0.026603924,0.5517257,0.41765165,-0.025454277,0.50295997,0.4061756,-0.023215445,0.4681825,0.41640586,-0.022416372,1.0,No
0.6670243,0.7446503,-2.874396e-07,0.58583516,0.71892035,0.03757208,0.526703,0.66177577,0.05230994,0.48144233,0.63513905,0.050243672,0.4420371,0.60284126,0.047733344,0.5719907,0.50967246,0.088319264,0.5400434,0.42754656,0.09159215,0.49497473,0.40777773,0.08418524,0.45758134,0.4047597,0.077873066,0.58946073,0.4934394,0.052861076,0.5507674,0.38173884,0.054347977,0.491741,0.37500644,0.04543802,0.4499497,0.3943826,0.039870966,0.60183084,0.49102393,0.013119785,0.55926126,0.37855563,0.01207475,0.49685258,0.3753728,0.0074229473,0.45406967,0.39882076,0.0041651567,0.60319686,0.4996102,-0.026196491,0.55294496,0.4154554,-0.026062196,0.50329196,0.40583393,-0.024399566,0.46755385,0.4165889,-0.023872474,1.0,No
0.66788864,0.747829,-3.0350876e-07,0.5886145,0.72083884,0.044259284,0.53009284,0.66307974,0.061849173,0.4831944,0.63797534,0.061219137,0.44219133,0.60428435,0.059809107,0.57583857,0.51312155,0.0979185,0.54317874,0.4309258,0.10512902,0.49803254,0.4107299,0.09990927,0.46131837,0.4074481,0.09469412,0.5925134,0.49653086,0.05954827,0.55265206,0.38379025,0.0649519,0.49361062,0.37719584,0.05729029,0.45310804,0.3974219,0.051792044,0.6032018,0.49325925,0.017167907,0.559915,0.37824574,0.020102449,0.49736184,0.3742134,0.016577082,0.4555351,0.3982106,0.012958813,0.60214424,0.5001509,-0.024395166,0.5520903,0.41323978,-0.021337511,0.5019893,0.4006786,-0.018813906,0.46600732,0.41030225,-0.018537173,1.0,No
0.6697099,0.7471098,-3.124503e-07,0.589118,0.7204589,0.039635923,0.5303851,0.6635221,0.054077107,0.48335785,0.6381401,0.051386435,0.44237798,0.60427284,0.048112966,0.575368,0.51298964,0.0884432,0.5428447,0.4303947,0.09133363,0.49642473,0.41042703,0.08348132,0.45898777,0.40753564,0.07690992,0.592496,0.4964664,0.05197573,0.5510278,0.38403195,0.05382376,0.49108592,0.37701812,0.045040756,0.4505305,0.39760876,0.039125655,0.60359776,0.49355865,0.011431827,0.55846447,0.3795095,0.01218302,0.49517193,0.3745135,0.008405074,0.45353553,0.39851576,0.0049663004,0.6030406,0.5008538,-0.02863812,0.5517366,0.4157564,-0.027151415,0.5008685,0.40205503,-0.025194345,0.46439612,0.4111,-0.024904078,1.0,No
0.66947985,0.7422847,-2.7853523e-07,0.5888599,0.7197253,0.034067627,0.52814746,0.66260195,0.045714423,0.48188877,0.6351036,0.04169838,0.4408905,0.6035359,0.037322816,0.57421863,0.51122576,0.07783486,0.54261917,0.4277743,0.07817179,0.49670455,0.4060995,0.069907226,0.45901686,0.4021569,0.06328133,0.5916674,0.49593517,0.044136025,0.5516559,0.38220924,0.04269472,0.49252936,0.374255,0.03438599,0.45164576,0.39407653,0.029522715,0.6035917,0.49485314,0.0063502733,0.55945474,0.38160232,0.0036181808,0.4960792,0.37658432,-0.00034641352,0.4535152,0.39938128,-0.003004269,0.60415775,0.5034361,-0.031102257,0.5528347,0.41978756,-0.03277247,0.502678,0.40667766,-0.031881865,0.466988,0.41435382,-0.03161402,1.0,No
0.6652283,0.74190867,-2.7803995e-07,0.58827883,0.72057915,0.034580965,0.5278312,0.66336375,0.046997063,0.48135775,0.6353907,0.043593287,0.44042334,0.60349405,0.03976652,0.5744515,0.5111298,0.08071616,0.5428766,0.42816913,0.08270237,0.49760127,0.4062636,0.07528421,0.46041432,0.40257514,0.068898425,0.59164745,0.49538934,0.046762004,0.55256367,0.38237768,0.046913136,0.49394333,0.37451303,0.03887137,0.45246047,0.3941068,0.03377459,0.6033956,0.49360543,0.008614836,0.56041634,0.3806427,0.006574333,0.49802756,0.375554,0.0024280685,0.45492655,0.39804992,-0.00071692,0.60388565,0.5016139,-0.029200474,0.5536199,0.41872916,-0.030872028,0.5044063,0.4053391,-0.030485364,0.4682665,0.4118674,-0.030867616,1.0,No
0.662866,0.7417878,-2.7976705e-07,0.58393025,0.7195057,0.03521433,0.5248339,0.6633277,0.04759957,0.47976628,0.6359174,0.043862477,0.44015554,0.602443,0.039546892,0.5729341,0.51075107,0.080979615,0.54237807,0.42761672,0.0823222,0.497396,0.40579072,0.07454699,0.46090442,0.40129715,0.0680586,0.5904578,0.49496973,0.046287965,0.551812,0.3815871,0.044975907,0.49270907,0.37427843,0.036138806,0.45194083,0.39484018,0.031170387,0.60228574,0.49322215,0.0074571585,0.5591826,0.38142872,0.0043278853,0.49619204,0.37637013,-0.00028956242,0.45350507,0.39893037,-0.0030650054,0.60273296,0.50219077,-0.030967804,0.55173945,0.41943082,-0.03280595,0.50219387,0.40607515,-0.03213655,0.46662968,0.413387,-0.03191507,1.0,No
0.6675962,0.7555833,-3.5617194e-07,0.5825702,0.7257984,0.03653921,0.5234207,0.66556954,0.04767817,0.4775344,0.63791394,0.042553533,0.4381542,0.6032477,0.037019476,0.5802585,0.5112858,0.07905957,0.5442343,0.4271013,0.07706633,0.49593064,0.40806097,0.06697038,0.4556221,0.4079086,0.060039926,0.5984289,0.4964113,0.04363176,0.5509463,0.38591328,0.041955717,0.48979032,0.37916136,0.03228539,0.44671,0.3972821,0.0265802,0.60866034,0.4960145,0.0042453445,0.5574692,0.38302273,0.0015150154,0.4943729,0.37767738,-0.002182979,0.45107165,0.3986132,-0.004370802,0.60533214,0.5066023,-0.034532636,0.54877067,0.4212059,-0.034167603,0.499086,0.40657163,-0.030850349,0.46285877,0.41211158,-0.02873255,1.0,No
0.6715723,0.75264704,-3.5917094e-07,0.58703166,0.7212565,0.041518137,0.5294451,0.6624704,0.05577377,0.4823919,0.6352105,0.0523817,0.4404635,0.6019763,0.048317123,0.5805659,0.5094862,0.09006229,0.54305166,0.42791012,0.0914227,0.49482816,0.41004884,0.08256811,0.45476237,0.40953192,0.0756622,0.5974645,0.49389145,0.052024633,0.5504326,0.38302785,0.052985754,0.49099597,0.37722012,0.04305929,0.4499755,0.3974387,0.036424663,0.60699654,0.4934681,0.009932828,0.5564156,0.3793133,0.0090633705,0.49325475,0.37561586,0.0045846133,0.45088086,0.39826724,0.0010833485,0.6030826,0.5044126,-0.03134841,0.5460142,0.41739768,-0.0309582,0.49383748,0.40362883,-0.029185707,0.4559567,0.41094834,-0.028714739,1.0,No
0.6708398,0.7493323,-3.6854405e-07,0.5862482,0.7173937,0.04520727,0.5283628,0.6593776,0.062622845,0.48157576,0.6324987,0.061817486,0.4404497,0.5992776,0.060060944,0.5780235,0.50996315,0.09667979,0.540472,0.42919943,0.101463675,0.493747,0.4109969,0.09446092,0.45412377,0.40927482,0.08824279,0.5951396,0.49404696,0.0576437,0.5480595,0.38583335,0.06087711,0.48888895,0.37832546,0.050962668,0.44603607,0.3964812,0.043738343,0.6058771,0.4927423,0.014782985,0.55570877,0.38047022,0.014816435,0.49347138,0.3760781,0.009527678,0.45008287,0.3981629,0.005146922,0.6037176,0.50187194,-0.026843376,0.5465109,0.41757995,-0.02625305,0.49592322,0.40449533,-0.024942666,0.45867723,0.41140717,-0.025097698,1.0,No
0.667534,0.7478393,-3.8241473e-07,0.5867461,0.7196994,0.042767145,0.5294434,0.6599277,0.05727542,0.4835142,0.63202083,0.05483853,0.44285327,0.5993928,0.05170155,0.5851238,0.5084126,0.08446581,0.5459436,0.422117,0.085927814,0.49558526,0.40506968,0.07925738,0.45655644,0.40638137,0.07449324,0.60235745,0.4926197,0.047342964,0.55224335,0.37704426,0.048106294,0.49037182,0.37485647,0.04087801,0.45029077,0.3980269,0.03686709,0.60988235,0.49226415,0.006879319,0.55575466,0.37581915,0.006819458,0.4918241,0.3736077,0.00436892,0.45009702,0.3970818,0.002351878,0.60209006,0.5031316,-0.03240011,0.54290956,0.41685098,-0.031521037,0.49210832,0.40249574,-0.02921817,0.45551276,0.40830272,-0.028166983,1.0,No
0.66898894,0.74731266,-3.469278e-07,0.586312,0.7217114,0.026338425,0.5280459,0.6640594,0.03167345,0.4822146,0.63526505,0.023647595,0.44135135,0.6023594,0.015643645,0.584492,0.5068633,0.059479617,0.54878443,0.42284706,0.05135781,0.49802113,0.40280545,0.03859892,0.45648426,0.40460798,0.030642238,0.6017865,0.49291644,0.02956799,0.5540167,0.38017353,0.022173883,0.49052063,0.3738973,0.011478078,0.4464045,0.39292064,0.0058211065,0.6101209,0.49462122,-0.0042143054,0.55823565,0.3808147,-0.011451393,0.4938023,0.37476546,-0.016412426,0.4502661,0.3959318,-0.018663447,0.6033865,0.5087154,-0.037794568,0.5461695,0.42564392,-0.041104347,0.49530193,0.40901238,-0.0401141,0.45792663,0.4120829,-0.038904395,1.0,No
0.66470265,0.7504082,-3.5305496e-07,0.5825454,0.7219387,0.034395307,0.5234789,0.6622347,0.045594502,0.4787096,0.6330624,0.04075936,0.43916452,0.59963393,0.03550959,0.57605535,0.50736,0.07864491,0.5423529,0.42459118,0.07548331,0.49438968,0.40649045,0.064127445,0.45433307,0.40724042,0.05626177,0.59402525,0.4924615,0.044151437,0.54993904,0.3819638,0.040258463,0.48886827,0.37637728,0.028955065,0.44597852,0.39665043,0.0226365,0.6051934,0.49195346,0.005442514,0.5571748,0.38053197,0.0006192877,0.4938729,0.3771253,-0.0047698296,0.45081934,0.39965403,-0.007463567,0.6043531,0.50226235,-0.032839287,0.5505145,0.41757712,-0.034702506,0.5005944,0.4043551,-0.033193804,0.4645586,0.41138312,-0.031895317,1.0,No
0.6679514,0.74823403,-3.417531e-07,0.58227265,0.72039276,0.042202704,0.52446467,0.66054606,0.05683564,0.47942865,0.6298838,0.053574484,0.4379366,0.59808046,0.049099423,0.57869875,0.5096529,0.08950428,0.5434109,0.42749804,0.09275722,0.49578068,0.4068838,0.086256824,0.45667505,0.40489256,0.08098144,0.5978126,0.49336594,0.05159016,0.5497812,0.3830093,0.05389933,0.48774123,0.37573653,0.046388734,0.44400012,0.3940462,0.041725524,0.60875297,0.49266374,0.009778916,0.5569944,0.37991443,0.008715501,0.49215892,0.37485301,0.0051538968,0.44718438,0.39708102,0.002699842,0.6045812,0.5028207,-0.03101263,0.5476704,0.417959,-0.031694975,0.49709994,0.4045405,-0.0298531,0.4595856,0.41256016,-0.028852656,1.0,No
0.6659825,0.74856377,-3.2708178e-07,0.5826002,0.7203734,0.03771114,0.52519727,0.662198,0.050351925,0.48053917,0.6319274,0.046103347,0.44008273,0.5987984,0.041073192,0.5792697,0.5096792,0.08356909,0.54450583,0.42849585,0.08483299,0.49716374,0.4081291,0.0775934,0.4586659,0.4058674,0.07200469,0.5981759,0.49358028,0.04776177,0.5510334,0.38325596,0.048206385,0.4902869,0.37581277,0.040158406,0.44774652,0.3931946,0.03537706,0.6091461,0.4929884,0.007834044,0.55786973,0.38074276,0.004489761,0.49311304,0.37598783,-7.239531e-05,0.44828388,0.39793512,-0.0026322627,0.60525703,0.50375706,-0.031307224,0.54863656,0.41996497,-0.034191802,0.49765858,0.4062399,-0.033759803,0.45964783,0.41336212,-0.033301905,1.0,No
