f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.77526957,0.9200115,-3.1805828e-07,0.69068223,0.86562526,-0.020624781,0.6334263,0.7898685,-0.04770896,0.5937025,0.73082095,-0.080732666,0.6080425,0.6763565,-0.11265795,0.6878922,0.5965604,-0.017906543,0.6606778,0.47751516,-0.058662806,0.6478278,0.3974034,-0.083644636,0.64264053,0.32662752,-0.10195308,0.7379445,0.59565985,-0.03216877,0.6421019,0.5984684,-0.09168919,0.636734,0.6989666,-0.1010668,0.66367936,0.73576915,-0.09460172,0.7771828,0.61998683,-0.05150205,0.6759847,0.6482345,-0.105031505,0.6777617,0.7398915,-0.083826415,0.7050976,0.76548576,-0.056665827,0.80641073,0.66478676,-0.07451635,0.72348225,0.68744266,-0.10536301,0.72303355,0.7502368,-0.08824062,0.7470077,0.7682973,-0.06653953,1.0,One
0.7690175,0.9173917,-2.962432e-07,0.6850712,0.861824,-0.021271132,0.6324179,0.78754425,-0.048969362,0.5962445,0.73262155,-0.082479246,0.6016405,0.6785461,-0.11475171,0.68514144,0.5908137,-0.019063974,0.6566805,0.4718572,-0.059096348,0.64468807,0.39201248,-0.083295085,0.6397299,0.32092783,-0.10112178,0.7354339,0.5921935,-0.033181444,0.6368149,0.6034495,-0.092656,0.63529843,0.70373225,-0.102007665,0.6643415,0.73912984,-0.09595026,0.7737228,0.6182873,-0.052348144,0.669939,0.6486022,-0.10557952,0.6746573,0.73844886,-0.08368823,0.7026572,0.7629376,-0.056615032,0.8014073,0.6638481,-0.075292766,0.7170636,0.6884463,-0.10646897,0.7180193,0.7506662,-0.08915701,0.74169856,0.7679914,-0.06738788,1.0,One
0.77493083,0.91919166,-2.599798e-07,0.6877393,0.8633996,-0.021748517,0.63191044,0.7893001,-0.051112395,0.5906061,0.7293778,-0.08662493,0.6060142,0.6782164,-0.12089268,0.68598044,0.5949959,-0.018029466,0.6592279,0.47327876,-0.06040317,0.64580923,0.39051327,-0.08516267,0.64059573,0.3195762,-0.102799006,0.7363628,0.59425235,-0.031632848,0.6377612,0.5991176,-0.09102251,0.63413745,0.7017004,-0.09757127,0.6630856,0.7332282,-0.08870029,0.77539796,0.6183321,-0.050826453,0.6721823,0.64973134,-0.102441594,0.6754769,0.7396848,-0.07834333,0.7042288,0.76006854,-0.049614884,0.80229515,0.6639646,-0.074215524,0.71780545,0.6920588,-0.102235585,0.71899647,0.7536573,-0.08371115,0.74443823,0.7679602,-0.06140217,1.0,One
0.7710529,0.9142246,-2.553529e-07,0.6865549,0.86138374,-0.022255119,0.6308012,0.78855383,-0.05100751,0.5899355,0.73071265,-0.08535513,0.6030286,0.6788713,-0.11833341,0.6800404,0.5920814,-0.021360839,0.6549353,0.46844152,-0.06334519,0.64261395,0.3873205,-0.08821235,0.6360486,0.31708118,-0.10625153,0.7321395,0.5910553,-0.034923606,0.6349764,0.5994008,-0.0965838,0.6326834,0.70063835,-0.10534459,0.6601435,0.73690075,-0.09789139,0.77185124,0.61569494,-0.053673584,0.67003435,0.6510426,-0.10782302,0.6766161,0.7409258,-0.08531973,0.7044997,0.7637579,-0.05712471,0.80093974,0.66088885,-0.07631943,0.7167688,0.69116056,-0.10679735,0.71965617,0.7532283,-0.08904241,0.7440855,0.76763874,-0.0667962,1.0,One
0.77432626,0.9202511,-2.8505553e-07,0.6897878,0.868663,-0.02348908,0.63189507,0.79440045,-0.0522732,0.5901761,0.7339312,-0.08647721,0.60586596,0.6791992,-0.119069666,0.680913,0.5954669,-0.018778501,0.65481097,0.47576857,-0.05969958,0.6424593,0.3956953,-0.08388464,0.63723403,0.32571906,-0.1015481,0.73203164,0.5919698,-0.031536072,0.6374676,0.6038046,-0.09051466,0.63557714,0.7035319,-0.098544955,0.663827,0.7354699,-0.0911351,0.77219284,0.6154801,-0.04984206,0.67301005,0.65315807,-0.10261276,0.67668915,0.7429887,-0.080785535,0.7038618,0.7637876,-0.05347935,0.8021499,0.6597343,-0.07224627,0.72085553,0.69277704,-0.10206397,0.72122127,0.75550574,-0.08516687,0.7444029,0.7700321,-0.06375219,1.0,One
0.7708908,0.9227904,-2.5892876e-07,0.68813604,0.87094367,-0.021976316,0.63145477,0.79413074,-0.050740525,0.591849,0.73303,-0.08549417,0.6043407,0.67757344,-0.118653245,0.6821785,0.596477,-0.019106735,0.6538732,0.47392258,-0.061224263,0.6411353,0.39242947,-0.084616154,0.63579154,0.32236576,-0.10118361,0.7330187,0.5961025,-0.03343136,0.63375753,0.6016256,-0.093906045,0.6312947,0.70557326,-0.09979115,0.66075194,0.73540837,-0.09005268,0.7723784,0.6211972,-0.05338197,0.6691476,0.6522221,-0.108057894,0.6737097,0.74534917,-0.08344121,0.7030827,0.7643419,-0.053558562,0.8010104,0.666888,-0.0772747,0.7170646,0.6942391,-0.10877207,0.71825445,0.75826097,-0.09038587,0.74339074,0.7718767,-0.067423135,1.0,One
0.7722293,0.9231678,-2.8342015e-07,0.687185,0.86998284,-0.021492066,0.6294942,0.7917615,-0.048930198,0.5896739,0.7302394,-0.08202882,0.60344166,0.67580426,-0.11360723,0.6812839,0.5967248,-0.019402435,0.6536755,0.4742967,-0.060504723,0.641505,0.39402932,-0.08399729,0.63641745,0.32335496,-0.101050034,0.7330645,0.59605485,-0.033228997,0.63485825,0.6036283,-0.09270005,0.63307184,0.7057346,-0.099670455,0.6628014,0.73761207,-0.09151868,0.77279717,0.6212275,-0.05236273,0.66958785,0.6529771,-0.10606345,0.6743059,0.74490595,-0.08285987,0.7035631,0.76530915,-0.054588955,0.80106544,0.66689897,-0.075317435,0.71625674,0.69454026,-0.10652393,0.7176666,0.7586822,-0.088973075,0.7426351,0.77393484,-0.066977814,1.0,One
0.7735797,0.9246141,-2.7353408e-07,0.68917906,0.8698254,-0.022643115,0.6316206,0.79572594,-0.051561575,0.58970565,0.73736036,-0.08594148,0.6024119,0.6814617,-0.1188852,0.68120646,0.59750956,-0.020201733,0.65340286,0.47799456,-0.060868,0.64152133,0.3970547,-0.08560887,0.63614446,0.3271132,-0.10405954,0.7323702,0.59588456,-0.033984262,0.63490456,0.60500044,-0.09348836,0.63252413,0.70572543,-0.10228228,0.6608634,0.7399626,-0.095798664,0.77155536,0.62151486,-0.053047236,0.669603,0.65411794,-0.1059134,0.6739915,0.74327374,-0.08396479,0.7021846,0.76479506,-0.057085272,0.79986423,0.6679792,-0.076087356,0.7157885,0.69528157,-0.106381774,0.7164441,0.75711,-0.08914932,0.7406258,0.7722791,-0.06783742,1.0,One
0.77250254,0.9228018,-2.5371097e-07,0.6888582,0.8694122,-0.02240491,0.6321954,0.79602927,-0.051413562,0.5909934,0.7372774,-0.08599113,0.6034993,0.6815448,-0.11918032,0.6800315,0.5970839,-0.02055658,0.65233725,0.47578356,-0.061003823,0.6400324,0.39402953,-0.0852136,0.6341486,0.32521948,-0.1030984,0.7316003,0.594669,-0.03415775,0.63505524,0.6051443,-0.092873074,0.6330307,0.70464355,-0.10097336,0.66089106,0.7379197,-0.09409452,0.7709115,0.61955595,-0.05299579,0.66985667,0.6541595,-0.10504594,0.67495275,0.7426101,-0.08271629,0.7027949,0.76453406,-0.055637464,0.799236,0.6656046,-0.07582009,0.7160599,0.6938305,-0.10551036,0.7170464,0.7547799,-0.088086136,0.7405954,0.77002233,-0.066582,1.0,One
0.7715218,0.9223495,-2.4482605e-07,0.6869259,0.86798126,-0.02189235,0.63071704,0.7937019,-0.050140467,0.5924052,0.73717904,-0.08413437,0.5984915,0.6869783,-0.11686066,0.678135,0.59821,-0.020332558,0.6550237,0.47647423,-0.060409904,0.64345884,0.39528164,-0.08390562,0.6369802,0.32481825,-0.10153888,0.7305225,0.5974503,-0.034744646,0.6321644,0.6083164,-0.094462484,0.6306073,0.7095311,-0.102347545,0.6601933,0.7432434,-0.09528733,0.77018595,0.62356955,-0.054421637,0.6680504,0.65586,-0.10835707,0.6726949,0.7462498,-0.085802816,0.7011921,0.76836884,-0.058366265,0.7999811,0.6692031,-0.077961355,0.717363,0.6969011,-0.10965848,0.7176531,0.7600291,-0.09256885,0.7412027,0.7755486,-0.07118559,1.0,One
