f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.72991174,0.8694986,3.5355887e-07,0.7358902,0.773563,-0.001403091,0.7181693,0.6977595,-0.0058648195,0.7037378,0.6391291,-0.012873985,0.6982921,0.59980935,-0.020372715,0.61864674,0.6981879,-0.00024204928,0.5544312,0.6457624,-0.007952063,0.5166141,0.6190927,-0.015158208,0.48731524,0.5993825,-0.020339303,0.5916294,0.73461705,-0.008207313,0.52248895,0.6764637,-0.012663862,0.48060843,0.6455546,-0.019348351,0.45027363,0.62322015,-0.025074601,0.5754761,0.7781221,-0.016783576,0.51097804,0.72408766,-0.019417197,0.47373363,0.69050545,-0.02567038,0.4467004,0.66410935,-0.031808775,0.5681572,0.82695246,-0.025807744,0.5176736,0.79070747,-0.02861397,0.48608455,0.7687432,-0.029229693,0.46140438,0.75003344,-0.029732546,1.0,ThankYou
0.7353202,0.86760426,3.953704e-07,0.7389726,0.77046496,-0.0013302718,0.72007585,0.6933701,-0.0065728496,0.7050252,0.6326781,-0.013805163,0.6990493,0.58898395,-0.021679128,0.6175627,0.70123106,-0.0030659244,0.5500123,0.6452895,-0.010752704,0.51414376,0.6155489,-0.01755286,0.48752835,0.59448916,-0.021935109,0.5940191,0.73810005,-0.01003247,0.521991,0.6748957,-0.014146323,0.47979748,0.64420885,-0.020009594,0.45039064,0.62391126,-0.02487375,0.58046037,0.7805967,-0.017285582,0.5128237,0.71809727,-0.019548122,0.4737894,0.684571,-0.024897583,0.44621068,0.6599353,-0.030131904,0.5749896,0.82853633,-0.024749694,0.5212205,0.7868104,-0.02797658,0.48876438,0.7620621,-0.02839748,0.46326998,0.7409285,-0.02827478,1.0,ThankYou
0.7363149,0.8689491,3.7764826e-07,0.7399185,0.77019984,0.0023067682,0.7200617,0.6945032,-0.0013137136,0.7053491,0.632754,-0.0074414187,0.70112544,0.58739305,-0.014181017,0.61969274,0.70269436,0.0011587251,0.55106294,0.646739,-0.0044539357,0.5132375,0.62012887,-0.009429968,0.48496613,0.6019963,-0.012721262,0.59490025,0.73944473,-0.007102573,0.5225923,0.6748585,-0.009967245,0.47882837,0.64432764,-0.015033181,0.44825947,0.6240903,-0.019274484,0.58018094,0.78176725,-0.015295314,0.51219654,0.720369,-0.01602058,0.4729803,0.68643075,-0.021087328,0.4453835,0.6609894,-0.026349615,0.573846,0.82878155,-0.023397762,0.5203056,0.787501,-0.025094716,0.48734367,0.76246816,-0.025282986,0.46182197,0.74017805,-0.025239196,1.0,ThankYou
0.737243,0.86849344,3.6767153e-07,0.7401525,0.7693733,0.0034417552,0.7211676,0.695616,0.00022730953,0.7037608,0.6369685,-0.0061194412,0.6945318,0.5937667,-0.013157954,0.6171596,0.69862145,0.0059684403,0.5492189,0.6454907,0.0003535431,0.51157385,0.61971164,-0.0055982736,0.48298544,0.6027827,-0.009619053,0.593402,0.73426807,-0.0033322512,0.52247584,0.6728156,-0.0055851704,0.4793675,0.6436108,-0.011255494,0.44865325,0.62446,-0.016245617,0.57927185,0.7774312,-0.012990954,0.51252675,0.7180549,-0.01417548,0.4736365,0.6857174,-0.019971954,0.4461665,0.6620754,-0.025830088,0.572534,0.8273252,-0.02253821,0.5202783,0.78761744,-0.024802186,0.4879946,0.76432663,-0.02541196,0.4623369,0.7449731,-0.025761258,1.0,ThankYou
0.7373767,0.868744,3.6257254e-07,0.7397655,0.7690563,0.001335282,0.7196298,0.69623107,-0.0023841409,0.7023408,0.6377829,-0.008864425,0.6942881,0.5934766,-0.015885692,0.6151357,0.69807893,0.004723992,0.547131,0.6459803,-0.0014270042,0.510026,0.6198318,-0.008302334,0.48146015,0.6018391,-0.012933973,0.5918036,0.73456216,-0.0033886125,0.5210862,0.6756642,-0.005537802,0.47834417,0.6464235,-0.011576357,0.44742066,0.62653613,-0.016935019,0.57851386,0.77816164,-0.012072559,0.5130276,0.72225535,-0.0129418885,0.47487527,0.6901773,-0.018606659,0.44746703,0.66637355,-0.02435041,0.57288474,0.82735777,-0.020919263,0.52063674,0.78879935,-0.022406155,0.488998,0.76629895,-0.022182606,0.46395558,0.74814045,-0.021947132,1.0,ThankYou
0.73650706,0.86917526,3.867378e-07,0.7405099,0.7710582,-0.0016635738,0.72047377,0.69711727,-0.007599589,0.7050689,0.6349605,-0.01570248,0.6993523,0.59152454,-0.024293272,0.6200644,0.7007579,-0.0039171595,0.5508203,0.64369726,-0.012330991,0.51311564,0.6168227,-0.019415675,0.48389938,0.5980305,-0.024230259,0.5963778,0.73739976,-0.011277735,0.5236343,0.67343146,-0.016007813,0.4804771,0.64322937,-0.02252559,0.44897312,0.62255365,-0.028220568,0.58279914,0.7809383,-0.019009797,0.51468456,0.72137004,-0.021514812,0.4761328,0.6890515,-0.027896352,0.4481489,0.66577536,-0.03421306,0.5772975,0.82948565,-0.026988255,0.52376765,0.78918815,-0.030087102,0.49100924,0.7667051,-0.031323742,0.46476886,0.7484629,-0.032249857,1.0,ThankYou
0.73565876,0.87032,4.026581e-07,0.740403,0.7718686,-0.0024814014,0.7190701,0.6963922,-0.008609249,0.7035465,0.63336384,-0.016656222,0.7002974,0.58819616,-0.025103299,0.61961645,0.7029329,-0.004655925,0.5496432,0.64610344,-0.012729124,0.5114812,0.6179547,-0.019165402,0.48247805,0.59762686,-0.023532204,0.59578806,0.74036956,-0.011572223,0.52328813,0.6766361,-0.01630768,0.47982994,0.64509314,-0.022401012,0.44869554,0.6224605,-0.027557045,0.5820966,0.7835574,-0.01888962,0.51417875,0.7246912,-0.02112723,0.474703,0.6915013,-0.027368223,0.4461732,0.66589534,-0.033518557,0.57687575,0.83066136,-0.026615387,0.5245103,0.79059726,-0.029554266,0.4914372,0.7681613,-0.031048654,0.4651275,0.7494011,-0.032130443,1.0,ThankYou
0.73979545,0.8698877,3.4074063e-07,0.74135464,0.76989484,0.0057624616,0.7176047,0.6958541,0.005134711,0.6989367,0.6381615,0.0012943597,0.6933348,0.5937699,-0.003778876,0.6205463,0.6976392,0.0050691357,0.55448556,0.6436595,-5.1456373e-05,0.517278,0.61571836,-0.0054386943,0.48860392,0.5958749,-0.009342158,0.59671813,0.7351054,-0.0050192145,0.5263982,0.675172,-0.00773422,0.48249543,0.64534867,-0.013364726,0.45059377,0.6242306,-0.018251304,0.58284014,0.7795012,-0.01493537,0.5165184,0.7222946,-0.01667393,0.47628385,0.6890741,-0.022708682,0.44652215,0.66315585,-0.028500058,0.5769824,0.83027923,-0.024404103,0.5236629,0.7909816,-0.026968103,0.49100175,0.7672781,-0.027439207,0.46515322,0.7466095,-0.02763582,1.0,ThankYou
0.7393309,0.8702035,3.4708094e-07,0.7412064,0.7704674,0.004364458,0.7185089,0.69604915,0.002845052,0.6994442,0.6373508,-0.0017651421,0.6922783,0.5923674,-0.0073762885,0.6222019,0.6983866,0.004545926,0.5556878,0.6438732,-0.00072565995,0.51839507,0.6166268,-0.0064472854,0.4893542,0.5972476,-0.010624716,0.5978014,0.7352385,-0.0047884565,0.52750355,0.67421055,-0.007262765,0.4838863,0.64454985,-0.013230377,0.45220774,0.62444425,-0.018465498,0.5839726,0.77913505,-0.014086769,0.5175588,0.72257394,-0.015385143,0.477677,0.69061744,-0.02148693,0.4480552,0.6666882,-0.027553385,0.5784222,0.82910866,-0.02309306,0.52576876,0.79084486,-0.02512898,0.49333215,0.76878834,-0.025461277,0.46721417,0.7500117,-0.025699472,1.0,ThankYou
0.73628163,0.8720813,3.3453253e-07,0.74195087,0.77329546,0.0059468383,0.7197026,0.6999259,0.0063703596,0.70280814,0.6417299,0.0029897417,0.6994147,0.59712255,-0.001458973,0.61765456,0.6988935,0.011376077,0.5519384,0.64624935,0.0077644936,0.5156541,0.6178919,0.0026251767,0.48859376,0.5977154,-0.001134564,0.59339297,0.7341351,0.0011158421,0.52329254,0.67508274,0.0007327387,0.48105016,0.6445986,-0.0044291955,0.4511133,0.62250316,-0.008973407,0.5798218,0.77639985,-0.009507405,0.5141055,0.72081137,-0.009330188,0.4759009,0.6885732,-0.014472844,0.44808137,0.6629084,-0.019823028,0.5751721,0.82576966,-0.020001443,0.52362704,0.7896133,-0.021153828,0.49130887,0.7675842,-0.020757323,0.46512157,0.7482166,-0.02039599,1.0,ThankYou
