f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.6601886,0.7872578,2.5612744e-07,0.6889518,0.7231027,0.004636538,0.69450843,0.6647123,0.0021723472,0.68187654,0.6205666,-0.00055957586,0.65527636,0.6127147,-0.005132084,0.6406122,0.6181872,-0.019512918,0.60000515,0.53926915,-0.029695759,0.57755005,0.4985944,-0.034528594,0.5580025,0.4690019,-0.03677462,0.6101176,0.63805306,-0.027459912,0.5671526,0.54445225,-0.037541915,0.5405579,0.4941428,-0.042491253,0.5195571,0.45990056,-0.04565571,0.58348894,0.6653272,-0.033289604,0.5484436,0.5744905,-0.040286236,0.52743,0.5245269,-0.04516583,0.51207626,0.4889297,-0.04862997,0.56157005,0.69774425,-0.037723538,0.5346599,0.6259297,-0.043376412,0.52009934,0.58548313,-0.044212166,0.50983095,0.55172694,-0.044082843,1.0,Thanks
0.66052824,0.78562,2.3095353e-07,0.6890584,0.72182935,0.006032819,0.6952764,0.6650559,0.0045515667,0.68459034,0.6216188,0.0022485647,0.65996,0.6104734,-0.002107209,0.64246964,0.6140633,-0.016103618,0.60357666,0.5395313,-0.025704108,0.581054,0.49893582,-0.03077792,0.56153244,0.46847454,-0.03342325,0.61264503,0.6318116,-0.025062922,0.57045126,0.5423223,-0.034295984,0.543249,0.49267986,-0.039167333,0.5221066,0.4583407,-0.042416006,0.5860342,0.65887225,-0.03200047,0.55151594,0.5709996,-0.038707163,0.5300114,0.5215942,-0.043322958,0.5146845,0.48572177,-0.046619017,0.5635112,0.6924167,-0.037538458,0.5361967,0.6223825,-0.04340831,0.52139574,0.5825598,-0.043986466,0.51115423,0.5490405,-0.043545995,1.0,Thanks
0.66011286,0.78549963,2.3648437e-07,0.6893716,0.7227259,0.0042431345,0.6962734,0.6647936,0.0024057576,0.6851825,0.62204486,7.312021e-05,0.6600365,0.6119869,-0.004056697,0.6409068,0.61382276,-0.016247535,0.6031407,0.53853095,-0.026172545,0.5807013,0.4972661,-0.031681947,0.56109726,0.46609592,-0.03475031,0.611727,0.63129246,-0.024422053,0.57052064,0.5419893,-0.034157265,0.5437013,0.49205196,-0.03972964,0.5220993,0.45701116,-0.04348296,0.58563876,0.65773803,-0.03081742,0.55151296,0.5707019,-0.038186494,0.5301742,0.5213753,-0.04368692,0.5140731,0.48498982,-0.0475442,0.56339896,0.69074464,-0.035979677,0.5371474,0.6227769,-0.042507768,0.52221715,0.5828954,-0.04409009,0.5111837,0.5491609,-0.04440917,1.0,Thanks
0.6598352,0.7854,2.3826469e-07,0.6892412,0.72270906,0.004336966,0.6961336,0.66454047,0.0024620276,0.6849724,0.62147737,0.00011341526,0.6594758,0.61225224,-0.0040596547,0.6408915,0.6140398,-0.01658482,0.60325855,0.53844804,-0.026500616,0.58090377,0.49713284,-0.03194951,0.5614319,0.46601525,-0.034963623,0.6116908,0.6314712,-0.024749085,0.57046175,0.5419052,-0.034461964,0.5436635,0.49194857,-0.039947394,0.5221433,0.45700133,-0.043653395,0.5855972,0.6579037,-0.031081289,0.55147845,0.57067525,-0.03836055,0.53022575,0.5213328,-0.043797854,0.5142773,0.48505884,-0.047645517,0.56332254,0.6909454,-0.036157995,0.53711003,0.62286776,-0.04253935,0.5222361,0.5829851,-0.0440519,0.5112826,0.54928225,-0.04436396,1.0,Thanks
0.6606541,0.787016,2.3262267e-07,0.6894067,0.723347,0.005090827,0.6957849,0.664431,0.0033019336,0.68322855,0.62116677,0.0009535817,0.65659785,0.611734,-0.003404572,0.64292395,0.6153095,-0.017321426,0.6044009,0.5387477,-0.027745446,0.58143187,0.49696717,-0.033324145,0.5612585,0.4657811,-0.03636427,0.61308306,0.6335464,-0.025961416,0.5714101,0.5429728,-0.036512833,0.5438938,0.49279636,-0.04226479,0.521734,0.4581761,-0.046060354,0.58628917,0.6601496,-0.032627374,0.5522428,0.57130027,-0.040727377,0.5303605,0.5215167,-0.046332296,0.5135638,0.48554367,-0.05013515,0.5634506,0.69310486,-0.03790329,0.5378209,0.6222536,-0.04512062,0.5227892,0.5817451,-0.046878137,0.5113545,0.5478146,-0.04721905,1.0,Thanks
0.6608448,0.7874753,2.198266e-07,0.6896821,0.7232913,0.0070765605,0.69517344,0.6649794,0.0066954945,0.6830367,0.62094116,0.005619709,0.6570256,0.61017513,0.0025066864,0.64291793,0.61548096,-0.015947834,0.6046015,0.53864413,-0.025757797,0.58168685,0.49658144,-0.030731762,0.5618459,0.4652964,-0.03330836,0.6131525,0.6335028,-0.024921423,0.57152677,0.5425083,-0.03524097,0.5441772,0.49226832,-0.040499553,0.5223673,0.45750326,-0.0437969,0.58632296,0.66001093,-0.031699497,0.5522264,0.57086897,-0.03954578,0.53020376,0.5212386,-0.044776283,0.51345587,0.4853099,-0.04820358,0.56358886,0.69334686,-0.03685996,0.53767484,0.6222479,-0.043998986,0.5226675,0.5819321,-0.045621015,0.51137537,0.54815507,-0.04573538,1.0,Thanks
0.6597183,0.7844043,2.1656571e-07,0.68836725,0.72138673,0.0062805624,0.6936195,0.6642062,0.0056015053,0.68284714,0.6207892,0.004101103,0.6579853,0.60947216,0.00064777763,0.6407611,0.6133635,-0.015843373,0.60301334,0.537684,-0.025918497,0.58077204,0.4962501,-0.031104337,0.5618067,0.4653926,-0.03388713,0.6120681,0.6308181,-0.024794428,0.5699878,0.5415807,-0.034996327,0.54337287,0.49218684,-0.040386915,0.5223877,0.45749953,-0.043991946,0.58604705,0.65743744,-0.03179081,0.55120474,0.5700869,-0.039718688,0.529484,0.52152187,-0.045257527,0.51340824,0.48566735,-0.049101036,0.56351954,0.690977,-0.0373154,0.53734,0.62293077,-0.045018565,0.5224422,0.58290625,-0.04747896,0.5116988,0.548967,-0.048308913,1.0,Thanks
0.6596824,0.7850145,2.302525e-07,0.6889891,0.7229749,0.004061023,0.69516456,0.6650018,0.0021445695,0.68359613,0.62152416,-0.00042484063,0.6583193,0.6106983,-0.004854587,0.6405412,0.6137588,-0.016416231,0.6025637,0.5389731,-0.02679309,0.58014035,0.4976936,-0.032590766,0.56080806,0.46671078,-0.035914715,0.6114266,0.63074446,-0.024852224,0.5700126,0.54273593,-0.035032418,0.54332787,0.49333125,-0.041000236,0.5221923,0.45860747,-0.04512033,0.58528334,0.6570101,-0.031584017,0.5510502,0.5708602,-0.0395169,0.52954096,0.5221147,-0.045282006,0.5135507,0.4860663,-0.04935695,0.5627234,0.6901189,-0.037130088,0.5370967,0.6226718,-0.044483427,0.52236235,0.58254486,-0.04669661,0.5117966,0.54834586,-0.047440182,1.0,Thanks
0.6609655,0.78664947,2.3804209e-07,0.69022346,0.72449386,0.0042145066,0.6958313,0.6660258,0.0023077847,0.6835823,0.6223177,-1.4733014e-06,0.65790963,0.61307263,-0.004397313,0.6415105,0.61582,-0.018567761,0.6031448,0.5393801,-0.028934905,0.5807086,0.4977234,-0.0342427,0.5609093,0.46663868,-0.037122138,0.6124945,0.6337996,-0.026911039,0.57048005,0.54303855,-0.03752848,0.5430143,0.49267423,-0.043202836,0.52087766,0.4575684,-0.046922367,0.58646536,0.6608371,-0.033316173,0.55177224,0.5719203,-0.04156462,0.529842,0.52168536,-0.04751005,0.513394,0.48504102,-0.051542945,0.56409436,0.69439375,-0.038379077,0.53753215,0.62419116,-0.045897167,0.52264905,0.58309394,-0.04815724,0.5118527,0.5484108,-0.048888635,1.0,Thanks
0.6615174,0.78740907,2.3328379e-07,0.6900265,0.7243317,0.00491864,0.6957714,0.6659462,0.0031971235,0.6839582,0.6220983,0.0010397612,0.658374,0.6124964,-0.0031682728,0.64147747,0.6160253,-0.018323574,0.6023996,0.5395814,-0.028707815,0.5797113,0.49791068,-0.033963237,0.5598593,0.46676195,-0.036729675,0.61275184,0.634667,-0.026833793,0.57025915,0.5437214,-0.03740748,0.5429387,0.49350777,-0.042866923,0.52101654,0.4582857,-0.046396423,0.58678216,0.6618663,-0.03333593,0.55176324,0.57294667,-0.041350134,0.5296259,0.5230109,-0.04690179,0.51313555,0.48646608,-0.050657593,0.5644172,0.69536054,-0.038441245,0.53746814,0.6251933,-0.045583032,0.52253085,0.5842778,-0.047480732,0.5118587,0.5497823,-0.04795289,1.0,Thanks
0.6604249,0.78967255,2.2274571e-07,0.68973976,0.7258014,0.0062299413,0.6962014,0.66719824,0.005656155,0.68425786,0.6225484,0.0045340145,0.6591415,0.6124308,0.0015692277,0.64264846,0.6166658,-0.015598095,0.6025908,0.54086936,-0.025126094,0.5796383,0.49917448,-0.029706065,0.5601204,0.4679855,-0.03193133,0.6133038,0.6349903,-0.024215788,0.5705137,0.5448449,-0.03453673,0.5435068,0.49479657,-0.039427344,0.5222469,0.45934945,-0.042220756,0.5868327,0.6617657,-0.030790096,0.5515279,0.5735925,-0.038671494,0.5297945,0.52456,-0.04320062,0.5137192,0.48814842,-0.04587632,0.564014,0.69507235,-0.03588673,0.5366019,0.6242113,-0.042572834,0.5219048,0.58379287,-0.04352312,0.51153,0.54950047,-0.04307377,1.0,Thanks
0.66250783,0.7865651,2.2533668e-07,0.68931437,0.72204036,0.0059631094,0.694196,0.66409475,0.004543234,0.6820099,0.6219753,0.0025118499,0.657417,0.61142397,-0.0016801789,0.64239657,0.6166178,-0.018981148,0.6040851,0.5401792,-0.030316398,0.58153707,0.4979041,-0.035960555,0.56214553,0.46619278,-0.038810026,0.6136611,0.63544637,-0.028169854,0.5710049,0.54383886,-0.039642323,0.5433563,0.49284276,-0.04518791,0.52144635,0.45686883,-0.04867822,0.5875233,0.66270524,-0.035215825,0.5524926,0.5732709,-0.043979853,0.5302419,0.5233699,-0.049271166,0.51375216,0.4867859,-0.05273916,0.5649784,0.6967654,-0.040751334,0.53833365,0.6265441,-0.048832368,0.5236147,0.5853379,-0.050851963,0.5126221,0.55027944,-0.051273964,1.0,Thanks
0.6602603,0.78609747,2.391867e-07,0.68908805,0.72396433,0.004962732,0.6957018,0.6666032,0.0029141314,0.6839448,0.62283593,0.0005272734,0.6583647,0.6116852,-0.0036259163,0.64161915,0.6157674,-0.019032942,0.6009013,0.5381307,-0.029467357,0.5779394,0.49722016,-0.03412406,0.5584953,0.46735463,-0.03609893,0.6122632,0.63523245,-0.027277846,0.5685648,0.5436442,-0.037905615,0.54179454,0.49420673,-0.04251045,0.52110004,0.46025118,-0.04508457,0.58632,0.6623366,-0.03348684,0.550426,0.57344913,-0.041065995,0.52891517,0.5247909,-0.045198914,0.5135962,0.4897436,-0.047709223,0.5646524,0.6953724,-0.038337298,0.5369796,0.624606,-0.044441257,0.5222736,0.58446455,-0.045017246,0.5121944,0.5509827,-0.04433183,1.0,Thanks
0.6610593,0.7858373,2.3519736e-07,0.68980944,0.72357523,0.004582012,0.695818,0.6659129,0.0024226054,0.68357563,0.6222805,-0.00011228048,0.6576865,0.61140615,-0.004419273,0.64136744,0.6152002,-0.018878842,0.600611,0.5380922,-0.029544357,0.5772307,0.49657342,-0.034564402,0.55733186,0.46587625,-0.0369188,0.6118198,0.63442147,-0.027130412,0.56789327,0.54346204,-0.038114954,0.5411921,0.49390543,-0.043015238,0.52049446,0.45942563,-0.045796607,0.5858023,0.66132885,-0.033400018,0.54967487,0.5728263,-0.04144787,0.52836466,0.52429664,-0.04569251,0.5128808,0.4892897,-0.048210595,0.56432056,0.6943355,-0.038374018,0.5366041,0.6233731,-0.04480483,0.5217825,0.5833584,-0.045407742,0.5112895,0.5501223,-0.044723768,1.0,Thanks
0.66178876,0.78592646,2.4099722e-07,0.6896275,0.7215046,0.004646556,0.69609386,0.66300577,0.0023862943,0.6829833,0.62077767,-0.0004430569,0.657045,0.61131614,-0.005215873,0.6420486,0.61443436,-0.017907739,0.6024105,0.5394805,-0.02864797,0.5798769,0.4986782,-0.034257077,0.5604517,0.46805933,-0.037129328,0.6124748,0.6338764,-0.026625713,0.5698088,0.5434305,-0.037260413,0.5426647,0.49293715,-0.04283647,0.5211644,0.4576602,-0.046352785,0.5865243,0.66124684,-0.033417802,0.5517405,0.5731197,-0.04126092,0.53042865,0.52352387,-0.04620289,0.5149237,0.4875298,-0.049464162,0.56482476,0.69481647,-0.03893492,0.5377364,0.6244735,-0.045410763,0.5230719,0.58408195,-0.0462269,0.51261437,0.55014557,-0.045867667,1.0,Thanks
