f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.34858036,0.94718117,7.9060965e-07,0.43515378,0.90369594,-0.035364196,0.4907908,0.8193759,-0.046488207,0.467257,0.72254527,-0.05336735,0.42781138,0.66022724,-0.060664516,0.49610972,0.61122113,-0.02539098,0.56054026,0.4779666,-0.04239109,0.59451246,0.39618587,-0.056052838,0.61995065,0.32645774,-0.066245675,0.43837085,0.5864393,-0.03167797,0.47240877,0.40998128,-0.054112934,0.49338144,0.30566242,-0.07431833,0.5099824,0.21910048,-0.08560278,0.3841646,0.60443264,-0.041730113,0.40147176,0.44155204,-0.07784087,0.42295927,0.34019294,-0.10469447,0.43872368,0.2505005,-0.11857931,0.3297116,0.66287667,-0.053270284,0.36789128,0.5440854,-0.0840793,0.39208746,0.5733526,-0.083136484,0.4017455,0.62739635,-0.077606075,0.0,Three
0.35515356,0.93519694,8.2633505e-07,0.43659532,0.8990773,-0.040845517,0.5009134,0.8146756,-0.055860307,0.47759798,0.71339303,-0.065837584,0.4310692,0.6483919,-0.07672413,0.5024635,0.59936786,-0.03164071,0.56312686,0.46126348,-0.04962455,0.5978079,0.3789299,-0.06462481,0.62375426,0.30839315,-0.075601585,0.44461548,0.57256985,-0.035462778,0.4781444,0.39416307,-0.054308057,0.49901876,0.28730717,-0.07527321,0.5137709,0.2008475,-0.088430785,0.39031586,0.5882304,-0.043085676,0.40542096,0.42517662,-0.07768954,0.42678115,0.32088053,-0.10823205,0.4402891,0.23294067,-0.12649448,0.3354794,0.63973504,-0.05254269,0.3741519,0.5361669,-0.08684727,0.3962231,0.5766486,-0.090091564,0.401968,0.6372228,-0.08776135,0.0,Three
0.35235238,0.9362459,8.461379e-07,0.43390554,0.90133524,-0.042021696,0.49879098,0.81934524,-0.057322912,0.47612572,0.714098,-0.06707039,0.428487,0.6484827,-0.07757645,0.50253683,0.60243464,-0.033544708,0.5659025,0.46419886,-0.05255537,0.60097396,0.38102558,-0.06796395,0.6269581,0.31007996,-0.07893844,0.44453248,0.5743336,-0.0365214,0.47892842,0.3966332,-0.056612723,0.49927473,0.28838593,-0.07798029,0.5141479,0.20078558,-0.09092532,0.3899366,0.5890492,-0.04338424,0.40385595,0.42646027,-0.078040674,0.4247778,0.32005483,-0.10893172,0.4387862,0.23014572,-0.12709558,0.33399707,0.64048123,-0.052205298,0.3693949,0.5357255,-0.08455895,0.39395517,0.5695258,-0.08768393,0.4036254,0.62578756,-0.085450135,0.0,Three
0.35237226,0.92809355,8.0227545e-07,0.43715134,0.8916836,-0.037403546,0.50126,0.8095753,-0.04847306,0.4793742,0.7083819,-0.054068234,0.43235365,0.6464267,-0.059813324,0.50202847,0.5975755,-0.029212428,0.56555235,0.46006423,-0.045081567,0.5988208,0.37746778,-0.055193204,0.6243773,0.30767423,-0.062166553,0.44522074,0.5705857,-0.033230335,0.48095065,0.39045942,-0.05897227,0.5002751,0.28351688,-0.07725984,0.51524556,0.19719851,-0.08468085,0.3926029,0.5842105,-0.040563982,0.40853554,0.41846374,-0.08109829,0.42596084,0.3180348,-0.106303945,0.43978977,0.22953933,-0.116374314,0.33832565,0.6396599,-0.04908329,0.37641776,0.5213572,-0.08031219,0.3940744,0.56518286,-0.07537006,0.3986282,0.633768,-0.06560733,0.0,Three
0.35177118,0.9344872,8.6375155e-07,0.4349569,0.89989054,-0.044191424,0.49794033,0.8139893,-0.061850596,0.47315526,0.71509314,-0.07456697,0.42823142,0.6484115,-0.088465534,0.5015061,0.5991402,-0.03624446,0.56255513,0.46258098,-0.058226872,0.59789246,0.3783254,-0.07686364,0.62403655,0.30688733,-0.09042555,0.44286084,0.5739089,-0.039765432,0.47729322,0.3980362,-0.0600823,0.49903578,0.28952086,-0.0839619,0.51331824,0.20218214,-0.100193284,0.38746968,0.59086853,-0.04752158,0.40354213,0.427564,-0.08255595,0.4251662,0.32200933,-0.115803726,0.43784374,0.23459065,-0.13710718,0.33245546,0.64104414,-0.05747772,0.37034565,0.5410608,-0.09420147,0.39271513,0.5696623,-0.102074035,0.39839736,0.61614484,-0.103673644,0.0,Three
0.3497549,0.9312769,8.715563e-07,0.43332034,0.8995881,-0.04643053,0.49650407,0.81304324,-0.06405485,0.4710632,0.7135595,-0.0762468,0.42530698,0.64649796,-0.089651965,0.5032701,0.59943116,-0.035898328,0.56477475,0.4656489,-0.05797969,0.599808,0.38031927,-0.0767681,0.62562317,0.30856872,-0.09059671,0.44446364,0.57163465,-0.03841618,0.47702864,0.3976767,-0.058250483,0.4984033,0.28831163,-0.08280091,0.5145188,0.20002863,-0.09966625,0.38914895,0.5863659,-0.045521747,0.4053623,0.42149043,-0.08144516,0.42520875,0.31494904,-0.1171397,0.43859208,0.22677031,-0.14030616,0.334124,0.63496214,-0.054966107,0.366099,0.5378597,-0.09536461,0.387648,0.56503963,-0.10711447,0.39638418,0.6094454,-0.111159764,0.0,Three
0.35289672,0.93302417,8.168158e-07,0.43874282,0.8910551,-0.03585733,0.5033341,0.8116384,-0.046123125,0.4767047,0.70963615,-0.05102315,0.42446706,0.6552279,-0.056000814,0.5026034,0.600039,-0.02899868,0.56559086,0.4602695,-0.04553805,0.59943086,0.37803215,-0.056716226,0.6247935,0.30800185,-0.06414336,0.44476688,0.57327336,-0.03426875,0.48121554,0.3938756,-0.05742906,0.5015252,0.28706756,-0.07525397,0.516189,0.20162275,-0.08304569,0.39157033,0.58891726,-0.042781934,0.40651494,0.42656118,-0.08005317,0.42651093,0.3245431,-0.1051436,0.44104913,0.23411319,-0.11581286,0.33600527,0.6472952,-0.052555114,0.373569,0.52530384,-0.07991061,0.39512902,0.5608444,-0.07346347,0.40040943,0.6243619,-0.06317938,0.0,Three
0.35342497,0.9343822,8.2407394e-07,0.43860093,0.8866417,-0.0363722,0.49931312,0.80848265,-0.046849757,0.4726364,0.7062918,-0.051718444,0.42014146,0.65151495,-0.056393478,0.50188476,0.5970508,-0.02705729,0.5665362,0.45591658,-0.04262782,0.59920967,0.37487727,-0.054474503,0.6231848,0.30574834,-0.062400207,0.44340917,0.57205063,-0.03162273,0.4808926,0.39296633,-0.0521941,0.50221807,0.28604975,-0.07023394,0.5163403,0.20113587,-0.07884338,0.3894663,0.58977664,-0.039608214,0.40396774,0.42884052,-0.07420361,0.42617756,0.3268128,-0.09980576,0.44050837,0.23580793,-0.11162972,0.3336778,0.6506261,-0.04898441,0.37262985,0.5309404,-0.07470571,0.39621335,0.56550705,-0.06798096,0.4011411,0.6285946,-0.057851918,0.0,Three
0.35521442,0.93002653,8.2550787e-07,0.43580493,0.89632183,-0.042404853,0.5008242,0.8108805,-0.057968188,0.47224724,0.7117748,-0.06867177,0.42412713,0.6460499,-0.08023455,0.5046283,0.59955275,-0.028987695,0.5642881,0.46526974,-0.048114512,0.59781307,0.38124865,-0.06492861,0.6230015,0.3090359,-0.07733949,0.44634876,0.5699297,-0.032152925,0.47971553,0.3963732,-0.050212935,0.499752,0.2888355,-0.07183944,0.5131822,0.20148176,-0.08623701,0.39219576,0.58100295,-0.039793056,0.4065914,0.42141822,-0.072942115,0.42573413,0.31832254,-0.103441365,0.4368607,0.23262903,-0.122489356,0.33861977,0.62398916,-0.049789153,0.3730147,0.5267422,-0.084205404,0.39361256,0.56001943,-0.08965351,0.3993264,0.61101174,-0.08927428,0.0,Three
0.3553133,0.92769325,8.345235e-07,0.43661773,0.8933408,-0.041002795,0.4996232,0.8082507,-0.056038897,0.47225687,0.7094654,-0.06618602,0.42436093,0.6462584,-0.07730035,0.504359,0.59840196,-0.03102805,0.56450504,0.4641327,-0.050202988,0.59844863,0.3802005,-0.06619416,0.6232978,0.30774558,-0.07789721,0.4467776,0.5688924,-0.034751415,0.48034865,0.39409715,-0.054144908,0.5004984,0.28646803,-0.07534493,0.51342666,0.19881791,-0.08863531,0.393098,0.5809499,-0.042396985,0.40655726,0.42060268,-0.07648287,0.425593,0.3188216,-0.10601846,0.43671745,0.23319897,-0.12362569,0.33932102,0.6272152,-0.052135497,0.37234005,0.5261757,-0.08611709,0.39271918,0.5617377,-0.089903146,0.39870825,0.616203,-0.08795395,0.0,Three
