f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.70896935,0.9209492,9.594833e-07,0.6390536,0.8846256,-0.030656284,0.58810204,0.7991146,-0.05299272,0.6084479,0.7209572,-0.07844959,0.6497134,0.66369706,-0.102660656,0.59703034,0.6308102,-0.035289302,0.5549054,0.50349003,-0.06659198,0.5333502,0.42786056,-0.08370898,0.51672184,0.35885376,-0.093550734,0.65405536,0.6183302,-0.046381656,0.65228146,0.45414484,-0.08037762,0.653245,0.35281852,-0.09866259,0.6575676,0.26887497,-0.105122104,0.7077622,0.64156485,-0.06119286,0.6857574,0.59038395,-0.10981344,0.66934097,0.6822353,-0.11272716,0.6652928,0.74384075,-0.09856678,0.75537634,0.68266165,-0.07826181,0.7312149,0.63336635,-0.11028639,0.71282816,0.7027017,-0.10020774,0.70698357,0.75626624,-0.08360719,1.0,Two
0.7163899,0.9187109,9.3873473e-07,0.64415026,0.8829056,-0.029304303,0.58827174,0.799814,-0.051698368,0.60623795,0.7215318,-0.07735512,0.6513843,0.66769403,-0.10192583,0.59861606,0.62762326,-0.03631734,0.55584884,0.50060344,-0.06728944,0.53368104,0.425227,-0.0839288,0.51649356,0.35662487,-0.0932744,0.6563774,0.6162408,-0.04791316,0.6552084,0.45013875,-0.08156037,0.6558321,0.3497873,-0.098144315,0.65942675,0.26635417,-0.10309981,0.711144,0.63990635,-0.06290214,0.68533623,0.58655035,-0.11178041,0.67203087,0.6805419,-0.11324465,0.6715443,0.7428304,-0.097669944,0.7613085,0.6821831,-0.07988817,0.73415506,0.6268983,-0.110868104,0.7177013,0.6989605,-0.09839235,0.71503365,0.7538596,-0.080058075,1.0,Two
0.7160441,0.92042047,9.523447e-07,0.64476776,0.88287634,-0.027391931,0.5917593,0.7922696,-0.04757755,0.61023813,0.7113164,-0.07228603,0.6531803,0.65723693,-0.09580832,0.6006793,0.6262109,-0.02966906,0.5580446,0.4997377,-0.060300037,0.53538066,0.42386854,-0.076643325,0.5178468,0.35589564,-0.08578441,0.65712804,0.614654,-0.043058675,0.65606683,0.4470077,-0.077163614,0.6562133,0.34555793,-0.09499701,0.660349,0.26271543,-0.1005874,0.7110594,0.6397276,-0.060208764,0.6871143,0.5828929,-0.10954532,0.6727268,0.67545015,-0.11146946,0.67190206,0.73853314,-0.09574848,0.75916713,0.68433017,-0.07937856,0.7346587,0.62731385,-0.109402806,0.7168231,0.69275445,-0.09718591,0.71293926,0.74537444,-0.079123355,1.0,Two
0.717264,0.9162059,9.559476e-07,0.64607245,0.8809347,-0.031730894,0.59169036,0.79264295,-0.05367156,0.61155,0.7103087,-0.07904104,0.6581927,0.65447605,-0.10303987,0.60146147,0.62647706,-0.03344131,0.5584645,0.499497,-0.06490758,0.5354543,0.42320496,-0.08156757,0.518153,0.35440937,-0.091029346,0.65857506,0.61160064,-0.04465072,0.65678304,0.4457273,-0.07885662,0.6562775,0.3440134,-0.09634567,0.66002405,0.26084876,-0.101816796,0.7122447,0.63494503,-0.060154136,0.68864524,0.5814837,-0.110142045,0.6746715,0.67522204,-0.11281229,0.6739149,0.7371712,-0.09763635,0.7595515,0.67768925,-0.078059085,0.7336508,0.6271854,-0.10999552,0.71664,0.6963581,-0.09965743,0.7135128,0.7489038,-0.08279255,1.0,Two
0.7183533,0.9195187,9.3925684e-07,0.6455863,0.8826651,-0.028527053,0.5899093,0.79474294,-0.04935115,0.6092494,0.71402067,-0.07406555,0.657483,0.66179353,-0.09784427,0.6023216,0.62627286,-0.031990584,0.5590203,0.50005317,-0.062084448,0.53643346,0.42371792,-0.07871551,0.5188236,0.35428324,-0.08839436,0.6590922,0.6127737,-0.04409634,0.65682316,0.44652408,-0.07683543,0.6566099,0.3434681,-0.09412985,0.6598433,0.26012695,-0.09983785,0.7129525,0.63592327,-0.059898764,0.6893087,0.5814096,-0.10867679,0.6744267,0.6733136,-0.11190937,0.67218184,0.73864126,-0.0972646,0.76063573,0.67828584,-0.077714026,0.7355428,0.6233097,-0.10922108,0.7189437,0.69161475,-0.09870724,0.71519053,0.74834275,-0.081611454,1.0,Two
0.71845764,0.92047244,9.545386e-07,0.6450398,0.8827864,-0.029567858,0.5906179,0.79551953,-0.051139623,0.6108038,0.7134899,-0.0765884,0.6603228,0.6616488,-0.10087609,0.60259324,0.627514,-0.032308802,0.55881613,0.49988383,-0.062251996,0.5361783,0.423303,-0.07859412,0.5184078,0.35390985,-0.08818901,0.6592897,0.61362207,-0.04427244,0.65720886,0.44619682,-0.07681817,0.6569436,0.34275913,-0.09369786,0.66036236,0.2595783,-0.099207275,0.7128618,0.63709193,-0.060143217,0.6892265,0.58029526,-0.10842274,0.67408717,0.6723879,-0.11109983,0.6719366,0.737308,-0.09622629,0.76024354,0.6800538,-0.078264795,0.73535556,0.6240077,-0.10929934,0.718089,0.6912034,-0.09882166,0.7137539,0.74722546,-0.08191939,1.0,Two
0.7166378,0.9161639,9.625971e-07,0.64585406,0.88095087,-0.029083032,0.59078336,0.79210794,-0.05016014,0.611051,0.7124512,-0.07525599,0.6551088,0.6559068,-0.09911959,0.60063374,0.62294424,-0.031224491,0.55899715,0.49643928,-0.061350495,0.5371262,0.4209199,-0.07722717,0.5201498,0.3523686,-0.08644646,0.65785366,0.60845137,-0.04346995,0.65721524,0.441827,-0.07699275,0.65696865,0.33964476,-0.09529118,0.6597664,0.25757295,-0.10163806,0.7118349,0.6317485,-0.059541684,0.68880045,0.57830125,-0.108536795,0.67343384,0.67064446,-0.11228152,0.6702772,0.7349817,-0.09820718,0.75956213,0.6740794,-0.07769763,0.734331,0.62602466,-0.10929564,0.71759427,0.6929361,-0.09972532,0.7134124,0.7462993,-0.083444774,1.0,Two
0.7173518,0.9151474,9.3501654e-07,0.64685386,0.8800535,-0.028460681,0.59126186,0.7904906,-0.048601333,0.61135864,0.70905983,-0.07278012,0.65915406,0.6577087,-0.095937274,0.59983003,0.6222447,-0.030665528,0.55926365,0.49538165,-0.060270708,0.53754836,0.4203527,-0.07600158,0.52087826,0.3519615,-0.08501222,0.6569492,0.60892123,-0.042934798,0.6573348,0.4429096,-0.07545355,0.6567605,0.34148723,-0.09262893,0.659367,0.2590452,-0.09824984,0.7110153,0.63261974,-0.05899783,0.68880814,0.57886964,-0.10756844,0.6741256,0.67092633,-0.110962905,0.67198586,0.7344724,-0.096607745,0.75903213,0.67599785,-0.07709864,0.7350418,0.62123984,-0.10801567,0.7182161,0.6893581,-0.097483054,0.71474856,0.74445164,-0.08065594,1.0,Two
0.71769893,0.9157983,9.501653e-07,0.64623475,0.87911564,-0.028112588,0.59128624,0.788802,-0.047951505,0.61235297,0.7089792,-0.07194833,0.65897423,0.6561985,-0.09503345,0.60050684,0.6243732,-0.030914858,0.5583624,0.4968681,-0.060579117,0.53643835,0.42131284,-0.076336905,0.51941997,0.35198042,-0.08537314,0.65772223,0.6103574,-0.04314182,0.65816617,0.44455206,-0.07554182,0.65800655,0.34237313,-0.092878275,0.6606275,0.2592768,-0.098732725,0.7116175,0.63332915,-0.059107132,0.68905556,0.5796008,-0.10777315,0.67463297,0.671883,-0.111487344,0.6726135,0.7358317,-0.09733221,0.7594513,0.6757856,-0.07704247,0.7355859,0.6214277,-0.10858549,0.71872866,0.68988746,-0.0985545,0.7148034,0.7457777,-0.081942014,1.0,Two
0.7150508,0.91403425,9.5189984e-07,0.64416724,0.8771899,-0.02999235,0.58915937,0.79064405,-0.05190669,0.6055605,0.7115505,-0.07765748,0.6480565,0.6537202,-0.1022493,0.60219723,0.62325084,-0.03323348,0.5587104,0.49616975,-0.06449708,0.53605026,0.42009273,-0.08097764,0.5185234,0.35053208,-0.09028329,0.66029847,0.6086,-0.044978954,0.65804774,0.44488832,-0.079510994,0.6580349,0.34315178,-0.09757414,0.660614,0.25971252,-0.10347671,0.7149142,0.6307306,-0.060640976,0.6875624,0.5788207,-0.11220615,0.6735074,0.6731941,-0.11601719,0.67242235,0.7377946,-0.10118671,0.7628391,0.6722343,-0.07822921,0.73407835,0.6232311,-0.11232919,0.7167143,0.6947788,-0.102759585,0.7135006,0.7514899,-0.08580708,1.0,Two
0.719748,0.9166683,9.223915e-07,0.6458498,0.8811602,-0.031240957,0.5923083,0.79667115,-0.05356575,0.61142266,0.71523917,-0.07892936,0.6545696,0.6574501,-0.102975324,0.6005185,0.62396127,-0.034101743,0.55883217,0.49702454,-0.06570775,0.536865,0.42049336,-0.08404248,0.5193299,0.350873,-0.09487537,0.6581986,0.6101783,-0.045295425,0.655617,0.4443664,-0.078902364,0.6561198,0.34213904,-0.09719056,0.6598855,0.25902623,-0.10377218,0.71297026,0.63302076,-0.06044562,0.6873288,0.57785326,-0.109465554,0.6726382,0.6688818,-0.112526745,0.670587,0.73269194,-0.09835301,0.7621739,0.67509776,-0.077893265,0.7360391,0.6195966,-0.10984668,0.7184757,0.6897553,-0.09907332,0.71423054,0.7466357,-0.082003735,1.0,Two
0.7176616,0.91707677,9.607962e-07,0.6453098,0.88023925,-0.030094512,0.591386,0.79332423,-0.052496716,0.6105744,0.71302414,-0.0787786,0.65517753,0.6564807,-0.103967614,0.6015015,0.6255495,-0.034518506,0.5597428,0.49823016,-0.06649641,0.5375942,0.42129844,-0.0840057,0.5200677,0.35119718,-0.09418581,0.65829706,0.61145,-0.046634793,0.65678823,0.44465292,-0.081251085,0.6573989,0.34202638,-0.09957169,0.6608415,0.25920528,-0.106059626,0.7120105,0.6340089,-0.06260895,0.688129,0.57905746,-0.11231354,0.67266953,0.6697677,-0.11580363,0.6695497,0.7339701,-0.101766825,0.7599869,0.6756498,-0.08074965,0.7346449,0.6212292,-0.11237134,0.71690845,0.6894794,-0.10196922,0.71150535,0.74615073,-0.08535174,1.0,Two
0.7170542,0.9152615,9.584448e-07,0.64561,0.87819034,-0.0306598,0.5919909,0.79137766,-0.053423896,0.6126803,0.7106945,-0.07999129,0.6615318,0.6578752,-0.10528544,0.6033768,0.6230876,-0.033591613,0.55957377,0.4956783,-0.064782456,0.5367161,0.42016768,-0.0814387,0.5189878,0.35225207,-0.09089498,0.6604399,0.6095812,-0.045406334,0.65796876,0.442488,-0.07925372,0.6572637,0.34107602,-0.09632798,0.6603338,0.2584155,-0.101509765,0.7145055,0.6334064,-0.06127449,0.6898269,0.5777412,-0.1102984,0.67518854,0.6721217,-0.11205505,0.6737229,0.73586667,-0.09631659,0.7626533,0.6763589,-0.07949973,0.73750883,0.62201387,-0.110325485,0.71966803,0.6898441,-0.09891307,0.715325,0.74353606,-0.08127812,1.0,Two
0.71695065,0.9157575,9.422818e-07,0.64646,0.880557,-0.030640423,0.5914002,0.7934525,-0.05342454,0.6107195,0.71330094,-0.079786,0.6578927,0.6601394,-0.104816094,0.59997016,0.6229813,-0.03522457,0.55849755,0.49559772,-0.067156754,0.53599,0.41960338,-0.08446893,0.51846033,0.3511829,-0.0944134,0.657278,0.61008364,-0.04700699,0.6564681,0.44300723,-0.081275865,0.6557869,0.34221646,-0.098859064,0.6585857,0.25928968,-0.10475715,0.7117203,0.6342104,-0.062653564,0.68968767,0.57932204,-0.111060515,0.6735958,0.6705223,-0.11297439,0.66998816,0.73327625,-0.098080404,0.76043844,0.67788994,-0.08070001,0.7385659,0.6218932,-0.110485375,0.7208604,0.6862749,-0.09877518,0.7159338,0.7384369,-0.08146871,1.0,Two
0.71819806,0.9167613,9.382309e-07,0.647003,0.88024914,-0.030614471,0.59270865,0.79570335,-0.053463265,0.6091763,0.7168934,-0.08002245,0.65241396,0.65867186,-0.105394885,0.6015103,0.6243936,-0.03500688,0.55878973,0.49795473,-0.06693387,0.5368295,0.4209746,-0.08404753,0.52015007,0.3510029,-0.09372334,0.6592855,0.60943407,-0.047004428,0.6570237,0.4435029,-0.08168344,0.65764046,0.34213984,-0.09978073,0.66168106,0.26001528,-0.105807796,0.7139949,0.6323595,-0.0628577,0.6904729,0.577478,-0.11357881,0.6750283,0.6702864,-0.11687396,0.671573,0.7349009,-0.10213147,0.7626945,0.67529017,-0.080770366,0.7390652,0.6179624,-0.11348809,0.72187763,0.68603075,-0.10290213,0.71631604,0.7430891,-0.085601956,1.0,Two
0.7184524,0.9186369,9.3717597e-07,0.64663535,0.8829697,-0.029990932,0.58960474,0.7917887,-0.051095866,0.6048107,0.7060211,-0.07544431,0.6522528,0.65393007,-0.09841344,0.6019585,0.6236196,-0.034322537,0.56119215,0.49642104,-0.0629982,0.5390384,0.4218661,-0.07842264,0.52126396,0.353872,-0.08798558,0.65977097,0.6112888,-0.045987964,0.65919554,0.44319516,-0.077722624,0.6591877,0.3416473,-0.09462867,0.66186756,0.25843754,-0.10095892,0.7142272,0.63644767,-0.061278645,0.6893816,0.57786363,-0.10818899,0.67044514,0.666556,-0.11158992,0.66435844,0.7296768,-0.098555304,0.7620502,0.6801819,-0.078827515,0.7366204,0.6222918,-0.10938207,0.7181582,0.68691576,-0.10002914,0.7126736,0.7418437,-0.08484852,1.0,Two
0.7181309,0.9184505,9.552152e-07,0.6468765,0.88408184,-0.032414272,0.5906015,0.796544,-0.054975547,0.60655147,0.71226263,-0.08064988,0.6530401,0.6549427,-0.1048204,0.60243875,0.62558466,-0.035695203,0.56121445,0.49754596,-0.06618264,0.53931,0.42104194,-0.08240568,0.52191615,0.35156527,-0.09197966,0.6598868,0.6110475,-0.046623737,0.6589274,0.44246596,-0.079596534,0.6584752,0.34051925,-0.09650658,0.660796,0.25746107,-0.10222835,0.71400076,0.6350851,-0.061611544,0.68925464,0.57695115,-0.11072974,0.67295927,0.66862583,-0.11341922,0.66912395,0.73213327,-0.0988637,0.7612331,0.6788748,-0.079006895,0.7369232,0.6214011,-0.110960975,0.71991295,0.68883425,-0.1007838,0.71541643,0.74471045,-0.08427447,1.0,Two
0.71871,0.9169066,9.563781e-07,0.64689887,0.8815172,-0.033561736,0.5920514,0.7954998,-0.05747544,0.61187977,0.7127369,-0.08433688,0.6613601,0.65496653,-0.10961191,0.60189277,0.62485427,-0.0353601,0.5591247,0.4960376,-0.066834256,0.5374412,0.4196316,-0.08343416,0.52125686,0.34993127,-0.09268947,0.66020006,0.6107347,-0.045507245,0.6575722,0.44295213,-0.07923208,0.65764976,0.34120712,-0.096166186,0.66121846,0.25841275,-0.1013482,0.7147598,0.6341355,-0.06003013,0.69073373,0.57816184,-0.11082235,0.6759658,0.67161465,-0.11432039,0.67364067,0.7358176,-0.099328496,0.7627708,0.676742,-0.07685782,0.7377496,0.62066656,-0.10978864,0.72157836,0.6905433,-0.099741146,0.71814305,0.7472959,-0.08274259,1.0,Two
0.7166753,0.91578466,9.744684e-07,0.64549005,0.88148063,-0.032358456,0.58962685,0.793925,-0.055976156,0.60860986,0.7114265,-0.082921684,0.65706676,0.65247315,-0.10827356,0.6014005,0.62259,-0.034285232,0.5592991,0.4950663,-0.06567687,0.5373041,0.41902798,-0.08219361,0.5206756,0.34985486,-0.09152938,0.65920174,0.6099366,-0.045380916,0.6583431,0.4414763,-0.079641014,0.65842265,0.33966318,-0.09710786,0.66178155,0.25702202,-0.102679536,0.71323764,0.63441026,-0.06075,0.6896241,0.5779946,-0.11199706,0.67340225,0.6707295,-0.11571719,0.6696795,0.7349091,-0.100997,0.7608187,0.6777,-0.07832874,0.73615515,0.6216617,-0.111376464,0.7193457,0.6909674,-0.101363756,0.7147124,0.7476539,-0.084569834,1.0,Two
0.7203661,0.9169977,9.421405e-07,0.64703584,0.88272,-0.033687398,0.59213406,0.79584676,-0.05736317,0.613179,0.7125714,-0.08364773,0.66251284,0.65467733,-0.108367965,0.60128486,0.62528485,-0.036271665,0.5595333,0.49602306,-0.067767285,0.5381491,0.41958234,-0.0845848,0.5218508,0.34998244,-0.09396902,0.6598042,0.6112261,-0.046089355,0.6569995,0.4432315,-0.07966386,0.65761656,0.34155035,-0.09657472,0.66172945,0.25883082,-0.10179718,0.7147153,0.63428396,-0.06015191,0.69181824,0.57935,-0.11078878,0.6770905,0.6722408,-0.11454619,0.6746831,0.7366654,-0.09986487,0.7632523,0.67634857,-0.07647368,0.7385855,0.62111366,-0.1097333,0.7221097,0.69152373,-0.09981883,0.7182693,0.7490235,-0.082864456,1.0,Two
0.71774626,0.9169025,9.643477e-07,0.6470961,0.88056654,-0.028473869,0.59062535,0.7920112,-0.049603827,0.6088486,0.71123075,-0.074831486,0.6549846,0.6564824,-0.09896065,0.6024941,0.62361,-0.033601053,0.55939424,0.4960276,-0.064076535,0.5374029,0.41953254,-0.080397524,0.5206276,0.34967178,-0.09017295,0.65986377,0.6088984,-0.04607528,0.65826136,0.44219962,-0.07964952,0.65944785,0.33941054,-0.09799098,0.66374964,0.25592402,-0.10489881,0.71400195,0.6319485,-0.062103763,0.69022167,0.5778967,-0.11029923,0.6727742,0.6678183,-0.11415337,0.6674174,0.7315736,-0.10093457,0.76155704,0.67440796,-0.08023748,0.73832095,0.6211657,-0.11126889,0.72031313,0.6856564,-0.10199391,0.71416783,0.73979,-0.086473085,1.0,Two
0.72254366,0.91896087,9.2897955e-07,0.6486897,0.88198334,-0.03009137,0.5939608,0.7921496,-0.05173977,0.61318535,0.7087488,-0.07699569,0.66133416,0.65346766,-0.10092956,0.60574687,0.6248065,-0.032523144,0.56287026,0.4977808,-0.06276425,0.5405492,0.42220673,-0.07916496,0.52265334,0.35329753,-0.08866973,0.6627795,0.60968226,-0.04434209,0.66094327,0.4406163,-0.07743019,0.6612055,0.33848426,-0.094390534,0.6643617,0.25655398,-0.09951109,0.7169253,0.6331352,-0.060039215,0.69019663,0.57641244,-0.10977323,0.67575073,0.66981053,-0.11270625,0.6742072,0.7351855,-0.09759175,0.7651963,0.676535,-0.07782104,0.73889846,0.6204412,-0.11034554,0.72108996,0.6909814,-0.09976802,0.7167333,0.7493437,-0.08239425,1.0,Two
0.7202927,0.91783893,9.512128e-07,0.6487588,0.88181907,-0.029051157,0.5937817,0.79053307,-0.050219923,0.61204195,0.7077387,-0.075393386,0.6586757,0.65225303,-0.09942861,0.6055506,0.625174,-0.032479282,0.5632004,0.49832037,-0.062322963,0.5403673,0.42251402,-0.07812779,0.5221647,0.3530763,-0.0876214,0.6616382,0.6105585,-0.045076977,0.6624906,0.440255,-0.077977695,0.66314375,0.3375755,-0.09511154,0.6656045,0.25557506,-0.10100819,0.7150166,0.6342583,-0.061415013,0.6898291,0.5747866,-0.110271715,0.67233783,0.66488606,-0.11363318,0.6667885,0.7289536,-0.099904425,0.76272047,0.67812127,-0.07983317,0.7376943,0.6221723,-0.11158199,0.71896815,0.6911578,-0.101580195,0.7121352,0.74903744,-0.08555079,1.0,Two
