f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.3012615,0.7619778,1.3589395e-08,0.37555152,0.69018394,0.004752975,0.41355512,0.61895406,-0.013412175,0.4439854,0.566082,-0.039622474,0.44275942,0.5161624,-0.06318974,0.32509837,0.48444688,-0.011987506,0.321238,0.39355052,-0.040551893,0.3560528,0.36347094,-0.052720908,0.38718796,0.37026435,-0.057005152,0.30261135,0.49532598,-0.033656485,0.41023907,0.47402066,-0.06796428,0.41890097,0.5442099,-0.07061542,0.39320603,0.5651562,-0.06490293,0.29625773,0.5270599,-0.05613651,0.4017415,0.53615624,-0.08548646,0.40093115,0.5964509,-0.072453,0.3729822,0.6092832,-0.058227275,0.29986903,0.5708803,-0.079096556,0.3824291,0.5829103,-0.09216867,0.3850844,0.62541276,-0.07687522,0.36010697,0.6376895,-0.06175582,0.0,X
0.3021659,0.7623607,-3.1064214e-08,0.37639675,0.694777,0.0068584657,0.41492274,0.6211168,-0.009527363,0.44469592,0.56754756,-0.034741428,0.4443511,0.5155708,-0.057412095,0.32939112,0.48384526,-0.0076371147,0.32610834,0.3907656,-0.035919875,0.3608705,0.3629295,-0.04778721,0.39094293,0.37256727,-0.051818367,0.30569845,0.4952825,-0.030561654,0.41384336,0.47475973,-0.06503252,0.42068696,0.54524845,-0.067872986,0.39245868,0.564834,-0.062198464,0.29695532,0.52648216,-0.05447605,0.4041091,0.5376497,-0.08435914,0.4014805,0.59938246,-0.07158912,0.37179494,0.6108434,-0.057407644,0.2976038,0.56974673,-0.078669764,0.38197342,0.58144027,-0.09226472,0.38263404,0.62581086,-0.07705712,0.35533375,0.6373667,-0.06197712,0.0,X
0.3040228,0.7630525,-1.2378582e-08,0.37682688,0.6929113,0.005472642,0.41541016,0.6196381,-0.011829829,0.44535452,0.56607777,-0.037471,0.44381642,0.5144599,-0.06055187,0.32965985,0.48306483,-0.010169472,0.32536575,0.38975537,-0.0384292,0.36118215,0.36289188,-0.05040459,0.3926105,0.3730675,-0.054353826,0.30601767,0.4953054,-0.032145765,0.4127888,0.4740157,-0.065898165,0.4203257,0.54470044,-0.06874457,0.3929977,0.5652903,-0.06327971,0.29718065,0.5274622,-0.054958846,0.40232122,0.5382267,-0.084048025,0.39987814,0.59887135,-0.07128245,0.37064284,0.61137193,-0.057126477,0.2974712,0.57127875,-0.078106895,0.38029385,0.57987404,-0.09085657,0.3830278,0.6221097,-0.075013995,0.35758734,0.6340264,-0.059389036,0.0,X
0.3013942,0.76547825,-4.042591e-08,0.37699214,0.6957294,0.0050596036,0.41548926,0.62220836,-0.012289424,0.44602227,0.5679212,-0.038377978,0.44313866,0.5176327,-0.0615245,0.32969993,0.48241034,-0.0076059587,0.32738554,0.38777676,-0.03851027,0.36354107,0.3602414,-0.0527536,0.3943217,0.37392068,-0.057732265,0.30661535,0.49394003,-0.02971766,0.41333473,0.47532234,-0.0661343,0.4209178,0.5454561,-0.069909,0.39443636,0.5672047,-0.06440486,0.29902208,0.5251599,-0.05336631,0.40413085,0.53885496,-0.08481438,0.40202597,0.6002358,-0.07292782,0.37418818,0.6133605,-0.058660537,0.30189252,0.5678417,-0.07757231,0.3850658,0.58239126,-0.09184284,0.38620263,0.62532234,-0.077519976,0.36107016,0.6364112,-0.06263162,0.0,X
0.30217615,0.7624488,-8.2925204e-09,0.3777599,0.68836653,0.0073483735,0.4172368,0.6147499,-0.008957481,0.4464723,0.561939,-0.03377182,0.44326234,0.5152825,-0.05618421,0.3298868,0.4799037,-0.0086602615,0.32549608,0.38804275,-0.036199745,0.36084276,0.36043212,-0.04855241,0.3932476,0.36902463,-0.053119656,0.30668297,0.49242014,-0.031401712,0.4136057,0.47502753,-0.06477231,0.42074183,0.5442599,-0.06849209,0.39462665,0.5653193,-0.06391395,0.29849887,0.5261825,-0.054624647,0.40273157,0.53739566,-0.08270495,0.4010357,0.59669507,-0.07008385,0.37400573,0.6099399,-0.05629203,0.29917392,0.57146925,-0.07813712,0.38016757,0.5811392,-0.08987117,0.3842693,0.62199074,-0.07384938,0.3620027,0.63429123,-0.058214795,0.0,X
0.30117399,0.7632858,-1.1915365e-08,0.37756515,0.6927113,0.0051336363,0.41628933,0.61903256,-0.011694926,0.44716206,0.56530476,-0.03688639,0.44647902,0.5132204,-0.05931369,0.33007497,0.48446724,-0.00906157,0.3266224,0.3884978,-0.03797438,0.36500388,0.3616323,-0.05036177,0.3969927,0.3766113,-0.054085683,0.30662856,0.49585444,-0.030189658,0.41292778,0.47277483,-0.06397356,0.42323032,0.5413462,-0.06708552,0.3974695,0.5631717,-0.06155496,0.2995579,0.5268239,-0.052417513,0.40529364,0.5371754,-0.08100534,0.40480858,0.59717226,-0.0688408,0.3769973,0.6099551,-0.055233497,0.30310205,0.5695724,-0.07513411,0.386544,0.5840809,-0.08767963,0.38726056,0.6270737,-0.07298014,0.36022848,0.639147,-0.05828005,0.0,X
0.3009132,0.76464814,-1.292957e-08,0.37789023,0.6925071,0.005984972,0.41721886,0.6180048,-0.010591894,0.44843197,0.5635488,-0.035667658,0.44597563,0.5135614,-0.05813791,0.32963267,0.483434,-0.007581635,0.32595128,0.3903343,-0.03621987,0.3635126,0.36351162,-0.048997287,0.39613274,0.37594688,-0.053291455,0.30690444,0.49511713,-0.029521145,0.4134216,0.47312737,-0.06359564,0.42227876,0.5424788,-0.06691896,0.3968416,0.56387836,-0.061405893,0.2998877,0.52679646,-0.052490365,0.405371,0.5365286,-0.08153062,0.40373814,0.5961837,-0.0693312,0.3759819,0.6086882,-0.055470485,0.303386,0.57015586,-0.07589109,0.3861915,0.5825814,-0.08862,0.38683912,0.6254374,-0.073634736,0.36035877,0.63722795,-0.058676157,0.0,X
0.30289233,0.761619,-1.6286245e-08,0.37729445,0.6896816,0.0074036536,0.4169297,0.61738104,-0.009752973,0.4468732,0.56464726,-0.03569813,0.44487715,0.5172583,-0.05920034,0.33214214,0.4793447,-0.008614218,0.3315008,0.38857147,-0.035987113,0.36688793,0.36372215,-0.047374804,0.39818949,0.37545675,-0.05111173,0.30843592,0.49149373,-0.031761743,0.41602105,0.4748225,-0.06455856,0.42067108,0.54548734,-0.06643044,0.39352545,0.56574416,-0.060369954,0.29946464,0.52451634,-0.0556046,0.404711,0.53779995,-0.083053395,0.40088,0.59817755,-0.06919283,0.3729364,0.61115587,-0.0547697,0.30016863,0.56929094,-0.079843745,0.3827311,0.5795993,-0.09145755,0.38578266,0.6220795,-0.075132735,0.3628956,0.63438106,-0.059366,0.0,X
0.30229303,0.7602639,-1.11547624e-08,0.3765551,0.6899864,0.0064974753,0.41558468,0.6194152,-0.011276822,0.44600213,0.5677329,-0.03760466,0.44629908,0.5185448,-0.061249066,0.33094057,0.47900155,-0.011161246,0.3300534,0.3874554,-0.03897372,0.36684525,0.36270773,-0.05015316,0.39814433,0.37675673,-0.05353785,0.30708665,0.4910623,-0.03372678,0.41552222,0.4736079,-0.06599563,0.42196146,0.54358655,-0.067320645,0.3946285,0.5635054,-0.06118617,0.29892287,0.5240128,-0.05702852,0.40525663,0.5373286,-0.083942786,0.40295136,0.59727144,-0.06987425,0.37462255,0.60986155,-0.055696845,0.30081046,0.56913674,-0.08084903,0.38461015,0.58179736,-0.09222062,0.38770324,0.6235421,-0.07609059,0.36370468,0.63553345,-0.06065441,0.0,X
0.3073451,0.76017034,6.9882735e-09,0.3801264,0.6885791,0.005221001,0.4170586,0.6165965,-0.012579513,0.44682792,0.5639796,-0.038956165,0.44488448,0.51429254,-0.062685706,0.33178213,0.48101205,-0.009987625,0.32738832,0.38871336,-0.039342333,0.36394602,0.36072904,-0.051437516,0.3953186,0.37300527,-0.055027243,0.30766723,0.4927438,-0.031938843,0.41426128,0.47190753,-0.06693746,0.42343447,0.5431735,-0.06944157,0.39765933,0.56473655,-0.0631179,0.29942098,0.5240954,-0.055012226,0.40507656,0.5366038,-0.08555805,0.40399805,0.5996022,-0.072546706,0.37620747,0.61320513,-0.05758733,0.301008,0.5675499,-0.07852241,0.3838525,0.5805103,-0.09211721,0.38741976,0.6238817,-0.076548755,0.3632069,0.63671553,-0.06075378,0.0,X
