f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.24422729,0.69096357,-6.1685876e-07,0.32823107,0.65833396,-0.035667572,0.39921728,0.5816742,-0.049090575,0.45005608,0.5095164,-0.05898354,0.49260575,0.46629465,-0.05836548,0.3398008,0.4582585,-0.038522545,0.3304647,0.44885337,-0.067789696,0.3264132,0.5261887,-0.075178996,0.3256457,0.5331176,-0.07730216,0.28540295,0.44218895,-0.03520013,0.276954,0.46422932,-0.06660013,0.2858508,0.556427,-0.06454788,0.29624,0.5467819,-0.060885,0.23412746,0.45010328,-0.037437964,0.22183767,0.44829473,-0.076302044,0.23784594,0.53497,-0.06411389,0.24793063,0.5579205,-0.04888566,0.18769345,0.45826483,-0.042797953,0.17371705,0.3730967,-0.075325586,0.16548245,0.31724584,-0.07863452,0.15564482,0.2481347,-0.07537566,0.0,Y
0.25229612,0.6820371,-5.8621833e-07,0.3369213,0.6558557,-0.03925552,0.40619522,0.58156055,-0.05552421,0.4574001,0.51301736,-0.06714644,0.50321305,0.47143358,-0.06853696,0.35127357,0.44708267,-0.043666452,0.3371272,0.4565376,-0.07230604,0.33216864,0.52775407,-0.07966522,0.331782,0.5312622,-0.082390435,0.29713765,0.426502,-0.039616954,0.2837412,0.469372,-0.06908374,0.29251915,0.5556673,-0.065913394,0.30596024,0.54352975,-0.062110517,0.24474305,0.43659243,-0.041198563,0.22891366,0.45477247,-0.07774377,0.24443859,0.53355247,-0.063862175,0.25632402,0.55035967,-0.048646193,0.19797537,0.45093963,-0.046539303,0.18379503,0.37084645,-0.080210045,0.17615314,0.31428558,-0.08312598,0.16715236,0.24466467,-0.079503685,0.0,Y
0.2540196,0.6809819,-5.825414e-07,0.3379147,0.6556145,-0.04021977,0.40730792,0.58195287,-0.057287242,0.45850474,0.5140696,-0.069924414,0.50314224,0.4723147,-0.07232548,0.3516195,0.45014328,-0.045174006,0.33854324,0.45563722,-0.07574623,0.33462262,0.5270096,-0.08350036,0.33342087,0.53215295,-0.08559312,0.29709443,0.43032473,-0.040750906,0.2855903,0.4688763,-0.07168966,0.29510745,0.55542576,-0.06824379,0.3070001,0.54389036,-0.06372779,0.24496734,0.439746,-0.04219773,0.2305007,0.45244914,-0.080425076,0.24623498,0.5334185,-0.06636141,0.25667772,0.55335945,-0.050242983,0.19840835,0.45254293,-0.047422785,0.18458804,0.3706991,-0.08127251,0.17643005,0.31461743,-0.083904594,0.16631436,0.24645492,-0.079798326,0.0,Y
0.2509547,0.6895135,-6.4717113e-07,0.335894,0.66217613,-0.041155986,0.40940124,0.58300936,-0.05680033,0.4595847,0.51218015,-0.0682525,0.5034424,0.47043312,-0.069224656,0.3472128,0.4466081,-0.040466234,0.34482926,0.45050195,-0.07062972,0.33674604,0.5274096,-0.077233635,0.33265883,0.53602743,-0.0778284,0.29404345,0.42550406,-0.0354221,0.2901818,0.46595836,-0.06810094,0.29517287,0.55556846,-0.066384435,0.30356035,0.5473799,-0.061609313,0.24283764,0.43545645,-0.036645684,0.23624806,0.45248696,-0.07846792,0.24989197,0.5391874,-0.068545334,0.2575987,0.56164837,-0.05328645,0.19704247,0.44816342,-0.04127764,0.18608357,0.36776787,-0.07517736,0.17870636,0.3138763,-0.07870941,0.1690157,0.24882248,-0.07463327,0.0,Y
0.24961899,0.68907416,-6.5935865e-07,0.33475304,0.66096884,-0.040262867,0.40889052,0.58187073,-0.055672936,0.45954525,0.51118964,-0.066870525,0.50363696,0.47004592,-0.06747782,0.34640566,0.44700986,-0.04058158,0.34535393,0.4500208,-0.07016417,0.33712262,0.5277565,-0.07634627,0.33167738,0.5353785,-0.07699904,0.29301548,0.42554528,-0.03595286,0.2901141,0.46589753,-0.06838167,0.29602858,0.5562607,-0.06633686,0.30382636,0.5473024,-0.061496593,0.24223639,0.4351877,-0.03738914,0.23653615,0.4528002,-0.07830245,0.25103477,0.53994054,-0.06761277,0.25802132,0.56204414,-0.05209918,0.19722742,0.44729283,-0.04221611,0.1854854,0.3668896,-0.075841546,0.17824292,0.31329107,-0.07922085,0.16832303,0.24836546,-0.07508095,0.0,Y
0.25011986,0.68621296,-5.855075e-07,0.33505702,0.65442234,-0.037636995,0.40692484,0.57930166,-0.05309755,0.45961455,0.5122947,-0.06500389,0.50511104,0.47362018,-0.066707484,0.35090885,0.44789752,-0.036105376,0.34156674,0.44758356,-0.06538027,0.33645087,0.5209343,-0.074630536,0.33766368,0.5273314,-0.07802013,0.29700777,0.42659503,-0.032717142,0.28728017,0.46151048,-0.063039,0.29497856,0.54817057,-0.062202144,0.30749547,0.53853554,-0.059073504,0.24511772,0.43474215,-0.035302747,0.23471035,0.4468066,-0.072132505,0.2473521,0.52911663,-0.06004074,0.2572225,0.5489429,-0.045079958,0.19846874,0.44517872,-0.04164246,0.1859574,0.36631712,-0.07238024,0.17791755,0.31187242,-0.07425863,0.16947123,0.24500915,-0.069751926,0.0,Y
0.250821,0.6843983,-5.835984e-07,0.33614495,0.65422213,-0.038759228,0.4070467,0.5796127,-0.054282352,0.45906946,0.51228994,-0.06579924,0.5042912,0.47308168,-0.06696371,0.35142398,0.44700968,-0.038529143,0.34083974,0.4483173,-0.0686607,0.33576444,0.5214225,-0.07852386,0.33668762,0.5278239,-0.082225665,0.2973674,0.42685932,-0.034336433,0.28625822,0.46213531,-0.06547139,0.29406413,0.548287,-0.06514791,0.30716407,0.53811806,-0.062497996,0.24525307,0.43513533,-0.036099143,0.23267964,0.44741288,-0.074137546,0.24594909,0.53026795,-0.06274899,0.25706804,0.5512262,-0.048112016,0.19858885,0.44572946,-0.041581262,0.18592542,0.36644554,-0.0732062,0.17752738,0.3117051,-0.075608134,0.16881151,0.24450898,-0.071497865,0.0,Y
0.24961115,0.6878613,-6.18815e-07,0.33394036,0.65766877,-0.03966575,0.40599662,0.58143115,-0.055902876,0.45902842,0.5106798,-0.0661473,0.50594854,0.47033903,-0.06535049,0.3508802,0.44837373,-0.04799072,0.33866137,0.44712955,-0.07683205,0.33375192,0.5269367,-0.08460687,0.33333287,0.52915233,-0.08896994,0.2966422,0.43054107,-0.043014046,0.28528917,0.45698643,-0.07329768,0.29273367,0.55272746,-0.07020635,0.30344313,0.5427954,-0.0674198,0.24369314,0.44096187,-0.043286473,0.23220867,0.44562396,-0.07940816,0.24489097,0.53310364,-0.06355846,0.25252548,0.55353147,-0.048073433,0.19612008,0.45349026,-0.04719014,0.18308786,0.370156,-0.08094122,0.17539518,0.31562614,-0.0840931,0.16584156,0.24336857,-0.08150807,0.0,Y
0.25099197,0.68294823,-5.9433603e-07,0.33663154,0.6553043,-0.03849391,0.40851915,0.5774959,-0.0519126,0.45970124,0.5078585,-0.06200665,0.5059086,0.46922162,-0.062605046,0.35093763,0.4480089,-0.034825362,0.33908403,0.4479031,-0.06576379,0.333165,0.5220338,-0.076258935,0.3336414,0.53097785,-0.07946699,0.29855394,0.42821813,-0.03016269,0.28479856,0.4614951,-0.06251122,0.29167134,0.54916364,-0.06304832,0.30514959,0.5432812,-0.06006716,0.2469438,0.43641412,-0.03182816,0.22856039,0.4480029,-0.072895266,0.24363214,0.53027344,-0.06531726,0.25815976,0.55241925,-0.051609557,0.19879109,0.44661573,-0.03666282,0.18649936,0.36363867,-0.069373436,0.17659281,0.30775398,-0.07320659,0.16677204,0.24167103,-0.06951547,0.0,Y
0.25266674,0.68579566,-6.178303e-07,0.33815002,0.657289,-0.0397818,0.40996867,0.5793902,-0.054742545,0.46082413,0.50852185,-0.065015264,0.50444424,0.46614197,-0.06464226,0.35071734,0.44645727,-0.04420037,0.3403871,0.44645903,-0.07232837,0.33532205,0.5236774,-0.07846632,0.33461824,0.531554,-0.08017423,0.29583865,0.42714524,-0.039583053,0.28691518,0.4616704,-0.07041003,0.29473415,0.55223346,-0.068525985,0.30565062,0.5451039,-0.06541214,0.24326092,0.43622345,-0.04052627,0.23256984,0.44533485,-0.07975305,0.2475051,0.5294622,-0.068910144,0.25751552,0.5520491,-0.05490817,0.19710499,0.4484136,-0.044893265,0.1856527,0.36379707,-0.07904527,0.17759523,0.30765492,-0.083375044,0.16789676,0.24040058,-0.0807742,0.0,Y
