f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,label
0.69557035,0.60936934,-3.7656872e-07,0.6281265,0.6127675,-0.04087644,0.5812115,0.64699954,-0.078857034,0.574395,0.72070205,-0.112523474,0.5941773,0.78056216,-0.1459488,0.5561468,0.49733546,-0.08224436,0.55151665,0.6649846,-0.1231696,0.5666857,0.7133388,-0.14886068,0.57440466,0.71396077,-0.16572022,0.6278412,0.4825091,-0.08802991,0.6246627,0.6905812,-0.12850848,0.62507313,0.74598116,-0.14566426,0.622454,0.75667244,-0.15627831,0.70127827,0.497799,-0.095208324,0.6922093,0.7079018,-0.12649474,0.68013746,0.73335844,-0.12564756,0.66891235,0.7171954,-0.12331479,0.76210797,0.5316798,-0.10705292,0.7543599,0.6827592,-0.12752242,0.7431481,0.6888246,-0.12333057,0.7344223,0.6574788,-0.11798586,1.0,Yes
0.7060299,0.5730807,-2.2933354e-07,0.6369313,0.58121324,-0.046802513,0.5870054,0.62334627,-0.08955685,0.5828628,0.70177066,-0.12583975,0.6125286,0.760549,-0.16006447,0.5679058,0.47388715,-0.09716837,0.56028026,0.6730595,-0.13884887,0.58694685,0.70703983,-0.16091108,0.6014279,0.6818122,-0.17545559,0.64270777,0.46293014,-0.099998444,0.6327759,0.69496304,-0.13872913,0.63912547,0.724368,-0.14976025,0.6399735,0.70131993,-0.15770811,0.71773326,0.4816394,-0.10415259,0.7004194,0.70211494,-0.13362722,0.6921308,0.701414,-0.12583974,0.6857367,0.6563156,-0.1196609,0.779626,0.5174082,-0.11370978,0.76522213,0.6780093,-0.13395071,0.75330114,0.6692269,-0.12760447,0.7467432,0.61926925,-0.12068159,1.0,Yes
0.7094137,0.5836828,-3.4776673e-07,0.63672394,0.5840425,-0.04406305,0.5831671,0.6140896,-0.08343295,0.573976,0.68267316,-0.1173936,0.59866947,0.7353926,-0.15007357,0.5697006,0.4726102,-0.0884824,0.56428087,0.663975,-0.13054095,0.59044963,0.71139807,-0.15338586,0.60181177,0.6960088,-0.16829677,0.64384925,0.46221477,-0.092726804,0.6352796,0.6803379,-0.13241832,0.64086545,0.7310603,-0.14528345,0.63827026,0.7207158,-0.15409495,0.71750116,0.4809188,-0.098529026,0.7037683,0.69301456,-0.13006939,0.693997,0.7166255,-0.12433091,0.68430114,0.68826187,-0.119079456,0.77787685,0.5165315,-0.10924663,0.76602453,0.6707659,-0.12954937,0.7539681,0.6757906,-0.12315641,0.74495214,0.6380735,-0.11637236,1.0,Yes
0.70234376,0.57880425,-3.5627212e-07,0.63368666,0.5810343,-0.0419423,0.5838086,0.61534935,-0.08122931,0.5778885,0.6881173,-0.11597756,0.6019009,0.74487096,-0.15074016,0.5717661,0.47230464,-0.08355193,0.5686496,0.6548645,-0.12624745,0.58239305,0.70216113,-0.15477648,0.58661616,0.6963974,-0.17371865,0.64601463,0.46542728,-0.089181654,0.64054227,0.67733026,-0.12873754,0.6374694,0.7236025,-0.1441936,0.6316948,0.72101617,-0.15410721,0.71990705,0.48569098,-0.09657936,0.70610344,0.68971545,-0.12747909,0.6955297,0.69373465,-0.12412263,0.68646085,0.6559874,-0.11975448,0.7805494,0.5217228,-0.1087533,0.7687533,0.6717738,-0.1288052,0.7563845,0.665457,-0.12237881,0.74774647,0.6195097,-0.11502112,1.0,Yes
0.7069025,0.58488774,-4.34709e-07,0.6394359,0.58614653,-0.03940542,0.590357,0.61634684,-0.07690924,0.5786222,0.682669,-0.110648,0.59134847,0.7383511,-0.14426036,0.5717969,0.47269028,-0.08066804,0.5665354,0.6352894,-0.12249615,0.579403,0.6872329,-0.14986844,0.5849395,0.69201607,-0.1680505,0.64431447,0.4632,-0.08752062,0.63607305,0.6647565,-0.12733386,0.6347623,0.7274749,-0.14490575,0.6319191,0.7403894,-0.15677506,0.71724427,0.48166883,-0.09568953,0.7033611,0.68272436,-0.12760614,0.68987304,0.7177188,-0.1270435,0.6783041,0.7050225,-0.12554742,0.77809745,0.5168711,-0.108345285,0.76916957,0.66069967,-0.12929043,0.7575111,0.6736359,-0.12505928,0.7482797,0.64772934,-0.120278016,1.0,Yes
0.7065646,0.59360206,-4.2032676e-07,0.6389131,0.5889238,-0.04129383,0.58753526,0.61280537,-0.07856268,0.5734842,0.6740176,-0.111087374,0.586735,0.72438586,-0.14275376,0.5724478,0.47149318,-0.0799591,0.56861544,0.64976025,-0.122628696,0.58427775,0.70074886,-0.1495636,0.58900887,0.69915646,-0.16661043,0.6478052,0.46572554,-0.08576778,0.6405061,0.6725638,-0.12695274,0.63772774,0.72601,-0.14156146,0.6322795,0.73063797,-0.14920248,0.7221992,0.48755902,-0.09352385,0.7075954,0.68747723,-0.125992,0.6951678,0.6986086,-0.12103407,0.6839753,0.66557586,-0.11435846,0.7829971,0.5261023,-0.10596202,0.76979303,0.6743598,-0.12660238,0.75676477,0.67393184,-0.11912153,0.7473669,0.632141,-0.11005974,1.0,Yes
0.70451784,0.59945136,-4.2198857e-07,0.6410961,0.591501,-0.04225667,0.58970135,0.6132426,-0.0792505,0.5752225,0.6715375,-0.11136693,0.58913755,0.7178876,-0.14160952,0.5692189,0.4711842,-0.08162705,0.5662124,0.64404,-0.123833925,0.58387333,0.6943378,-0.14844438,0.59168047,0.69287187,-0.16417117,0.64317656,0.46293095,-0.086646475,0.63720965,0.6692397,-0.12638697,0.63796186,0.72217417,-0.13999285,0.6352815,0.7228401,-0.14835282,0.71820354,0.4822911,-0.09369138,0.7066449,0.68300724,-0.12645613,0.69470006,0.70673525,-0.12162862,0.6832641,0.6809465,-0.116277196,0.7815534,0.5184674,-0.10559145,0.77227616,0.66507125,-0.12833449,0.7599503,0.674618,-0.12317418,0.7508542,0.64212793,-0.11638522,1.0,Yes
0.7134937,0.59961784,-2.8709536e-07,0.651495,0.596988,-0.046325874,0.59985167,0.62398666,-0.08623359,0.5878915,0.6859318,-0.119639404,0.6049794,0.737167,-0.15008128,0.5717454,0.47796133,-0.09034921,0.5612865,0.66071755,-0.13064903,0.5881013,0.69419956,-0.15315084,0.6039739,0.6732863,-0.16788277,0.6452337,0.46555576,-0.09191049,0.63749605,0.68999463,-0.1277951,0.64357865,0.7165382,-0.13814592,0.6449579,0.69584143,-0.14512418,0.7209242,0.48370332,-0.095020056,0.7072577,0.69843215,-0.12238319,0.7010586,0.6938449,-0.11314223,0.6958097,0.6472254,-0.10559595,0.7853353,0.5193083,-0.103706576,0.7714543,0.67639107,-0.124208316,0.76253283,0.6689239,-0.117265895,0.75983196,0.6211829,-0.10868537,1.0,Yes
0.7103458,0.5902915,-3.510823e-07,0.642724,0.590828,-0.043324266,0.5928169,0.62012255,-0.08176438,0.58367366,0.6862403,-0.11467222,0.6034541,0.73810637,-0.14541197,0.5724207,0.47536504,-0.08730548,0.56894785,0.66313076,-0.12630568,0.59018415,0.70673525,-0.14667125,0.5986556,0.69238776,-0.16022703,0.64712805,0.46509984,-0.09144902,0.6416736,0.6854926,-0.12773825,0.64435494,0.7269789,-0.13943626,0.64045477,0.7124954,-0.1483281,0.7218225,0.48180336,-0.096939564,0.7096314,0.69455636,-0.12596361,0.6984475,0.71242195,-0.12015854,0.6869662,0.6801247,-0.11591007,0.78391296,0.5150768,-0.10753997,0.77485454,0.66703534,-0.12825324,0.76244485,0.67418045,-0.12304932,0.7530342,0.63956153,-0.11722026,1.0,Yes
0.7101256,0.5905427,-3.5245887e-07,0.6431235,0.58540237,-0.043447997,0.5924235,0.6143031,-0.08334737,0.58108234,0.68195814,-0.1175293,0.59972566,0.7326049,-0.15002228,0.5731342,0.47146878,-0.09142342,0.5696934,0.65356576,-0.13381827,0.5889486,0.70030284,-0.15726261,0.5961227,0.696022,-0.1725134,0.6494845,0.46337676,-0.096402556,0.642472,0.6763255,-0.13788804,0.64417255,0.7288457,-0.1514297,0.6407659,0.7295681,-0.16022858,0.72554594,0.48317173,-0.102593735,0.7115399,0.69389236,-0.13510068,0.69581485,0.71950245,-0.12901428,0.68107164,0.6982441,-0.12345432,0.7884894,0.52026653,-0.11375528,0.7775595,0.6662015,-0.13645756,0.7643561,0.6682911,-0.1309368,0.75410074,0.632152,-0.12436175,1.0,Yes
